season	episode	anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear
4	2	kill:14,poison:3,fight:3,cut:2,fuck:2	kill:14,dead:14,die:8,died:3,alive:2	son:10,father:9,family:6,brother:6,mother:4	family:6,home:5,gate:3,house:2,door:1	men:12,man:8,people:7,boy:6,children:6	kill:14,lost:3,low:3,whore:3,worse:1	grace:14,like:11,well:7,please:6,love:5	mercy:1,sacred:1	love:5,whore:3,loved:2,fuck:2,lover:1	bloody:5,fuck:2,bitch:2,dumb:1,fucked:1
4	3	fight:8,war:8,murder:4,bastard:3,stubborn:2	war:8,murder:4,die:1,alive:1,dead:1	father:19,brother:12,sister:7,daughter:6,son:5	house:3,family:2,pet:2,maid:1,clean:1	lady:17,man:13,child:7,men:5,children:5	war:8,whore:5,shame:4,lose:3,weep:3	grace:22,good:16,love:10,like:10,well:8	lord:31,soul:4,souls:2,sins:2,hells:1	love:10,whore:5,fuck:2,ass:1,loved:1	bastard:3,fuck:2,ass:1,bitch:1,hell:1
4	4	kill:7,fight:7,murder:5,war:4,lying:4	dead:9,kill:7,murder:5,war:4,death:3	father:16,brother:11,son:6,mother:5,family:3	house:11,family:3,room:2,home:2,door:1	man:18,men:13,woman:6,girl:5,boy:4	kill:7,lying:4,war:4,whore:3,lose:3	good:18,like:14,well:11,safe:6,grace:6	lord:23,mercy:1,holy:1,sins:1,bless:1	whore:3,love:2,lover:2,ass:1,fuck:1	bastard:2,ass:1,fuck:1,bloody:1,damn:1
4	5	kill:13,fight:10,fuck:7,bastard:3,cunt:3	kill:13,dead:6,died:3,murder:2,alive:2	brother:8,sister:5,father:5,son:4,mother:4	home:4,door:2,room:1	boy:8,man:8,lady:5,people:4,men:4	kill:13,risk:3,lost:3,vicious:2,wrong:2	like:14,well:9,good:7,safe:7,please:6	lord:9,mercy:1,hell:1,sacred:1	fuck:7,ass:1,kiss:1	fuck:7,bastard:3,cunt:3,bloody:2,bitch:2
4	6	stupid:4,kill:4,wars:3,cut:3,fight:3	dead:7,kill:4,mourn:3,die:2,alive:2	mother:12,father:7,sister:6,brother:6,husband:6	family:3,gate:3,house:1,door:1,clean:1	lady:12,boy:9,men:9,man:8,girls:4	kill:4,wars:3,worse:3,vile:2,difficult:2	like:16,good:9,grace:9,please:7,love:6	lord:15,temple:3,hells:3,hell:1	love:6,loved:4,loves:3,virgin:2,fuck:1	bloody:3,bastard:2,fuck:1,hell:1,cunt:1
4	7	poison:6,kill:5,hated:4,murder:3,wars:3	kill:5,die:4,murder:3,war:3,burial:2	father:17,brother:7,son:6,family:5,wife:5	house:8,family:5,home:3,maid:2,families:1	man:10,men:9,people:6,children:4,child:3	kill:5,wars:3,whore:3,war:3,mad:2	grace:10,like:9,good:6,thank:6,won:6	lord:25,confess:4,mercy:3,temple:2,pray:1	fuck:3,whore:3,loved:2,incest:2,love:2	fuck:3,bastard:2,shit:1
4	8	kill:7,lies:5,fuck:4,evil:4,stupid:3	dead:7,kill:7,die:5,war:2,ghost:1	sister:13,father:9,brother:7,mother:7,aunt:6	door:5,home:4,family:3,gate:2,house:1	lady:13,people:11,man:8,men:7,girl:4	kill:7,lies:5,whore:5,worse:4,hurt:4	like:26,good:10,love:7,better:6,well:6	lord:17,mercy:2,faith:2,sin:1	love:7,whore:5,fuck:4,cock:3,loved:2	fuck:4,bloody:3,cock:3,bastard:1,damn:1
4	9	fought:6,kill:4,fight:4,cut:3,shit:3	die:12,dead:8,kill:4,death:3,slaughter:2	father:9,son:6,aunt:5,uncle:3,sister:2	home:4,door:4,family:2,house:2,garden:2	lady:14,men:11,man:11,boy:8,children:8	shame:4,kill:4,shit:3,sad:2,lies:2	like:10,well:7,happy:5,safe:5,loved:5	lord:25,mercy:1,confess:1,faith:1,hell:1	loved:5,love:4,fuck:2,naked:1,kiss:1	shit:3,damn:3,fuck:2,bloody:2,bitch:2
4	10	kill:14,fight:4,fucked:3,shit:2,cut:1	kill:14,die:6,death:3,dead:1	father:3,wife:2,brother:2,son:1,mother:1	gate:18,room:1,bed:1,homes:1	men:9,man:5,person:4,boys:3,baby:3	kill:14,lose:3,shit:2,difficult:2,lazy:1	won:9,like:8,love:6,well:5,good:3	lord:2,hells:1	love:6,fucked:3,loves:1,whore:1,lover:1	fucked:3,shit:2
5	1	fight:6,attack:3,war:3,shit:3,kill:2	dead:6,death:5,war:3,die:2,alive:2	father:11,brother:5,mother:5,sons:4,family:2	home:2,family:2	men:11,people:10,man:7,lady:4,boys:3	shit:3,war:3,doubt:2,kill:2,whore:2	grace:13,good:12,like:12,free:7,won:5	lord:14,mercy:2,soul:2,pray:1,priest:1	loved:3,whore:2,love:1,fuck:1,virgin:1	shit:3,bastard:1,fuck:1,bloody:1,damn:1
