baratheon	greyjoy	lannister	martell	stark	targaryen	tyrell	episode	season	time
stannis:2,robert:1,renly:2	theon:2	jaime:1,joffrey:1,cersei:5,myrcella:1	oberyn:3	lyanna:1,ned:15,catelyn:1,jon snow:4	aemon:1		2	5	42
stannis:1,renly:4	theon:3	tywin:4,tommen:3,jaime:1,cersei:2,tyrion:4		ned:9,arya:2,catelyn:1,robb:1	aemon:1	margaery:3	3	5	43
stannis:3,robert:1,shireen:1	theon:3	jaime:3,cersei:2,myrcella:1	elia:1,oberyn:3	lyanna:3,ned:5,jon snow:1	viserys:1,rhaegar:1	margaery:1,loras:4	4	5	44
stannis:2,robert:1	theon:3	tyrion:1		eddard:1,ned:9,catelyn:1,rickon:1,bran:1,jon snow:2	aemon:3,aerys:1		5	5	45
stannis:2,robert:1,renly:3	theon:4	lancel:2,tommen:2,cersei:3,jaime:4,joffrey:1,tyrion:2,myrcella:2	oberyn:2	eddard:1,arya:2,ned:7		olenna:1,margaery:4,loras:9	6	5	46
stannis:1,robert:2	balon:1,theon:5	lancel:1,tommen:2,cersei:3,joffrey:2,tyrion:1,myrcella:1		ned:6,robb:1,jon snow:2,bran:1	aegon:1,khaleesi:1,aemon:1	olenna:3,margaery:2,loras:2	7	5	47
stannis:4,robert:2	theon:4	tywin:1,jaime:1,tyrion:1		ned:8,rickon:2,robb:1,jon snow:3,bran:2		margaery:1	8	5	48
shireen:2,renly:1	theon:1	tommen:1,jaime:1,myrcella:2	oberyn:2	ned:4,jon snow:2	aegon:2		9	5	49
stannis:1	theon:1	myrcella:3	oberyn:3,elia:1	ned:6,jon snow:3		loras:1	1	6	51
stannis:1,robert:1,shireen:1,renly:1	theon:1	tommen:1,cersei:3,tyrion:1		benjen:1,ned:8,catelyn:1,lyanna:1,arya:1,robb:2,jon snow:6	aemon:1	olenna:1,loras:4	10	6	60
	balon:1,theon:1	tommen:1,jaime:1,cersei:1		benjen:2,ned:15,robb:2,brandon:1,lyanna:1,rickon:1,bran:2,jon snow:1	aegon:1	margaery:2	2	6	52
stannis:1,robert:1		cersei:2,myrcella:2,tyrion:1		ned:6,robb:2,bran:1,catelyn:1,arya:3,rickon:2,eddard:1,jon snow:3	aemon:1,rhaegar:1	margaery:1	3	6	53
stannis:3,shireen:1,renly:1	theon:3	tommen:1,cersei:1,lancel:1		ned:8,arya:1,rickon:4,bran:2,jon snow:2	khaleesi:1	margaery:5,loras:2	4	6	54
stannis:2	yara:3,euron:3,theon:3,balon:2	tywin:1,joffrey:1,cersei:1,tyrion:1		ned:8,rickon:1,bran:3,brandon:1	khaleesi:1		5	6	55
	theon:1	tywin:1,tommen:2,jaime:1,joffrey:1		benjen:1,ned:7,robb:1		margaery:6,loras:2	6	6	56
stannis:3	euron:1,theon:3	tommen:1,jaime:2,cersei:1		ned:7,lyanna:2,arya:1,rickon:1,robb:4,jon snow:1		loras:2	7	6	57
		tywin:1,jaime:4,joffrey:1,lancel:1,cersei:4		ned:5,arya:1,catelyn:4,robb:1		loras:2	8	6	58
stannis:3	yara:1,euron:2	jaime:2,tyrion:1		ned:6,rickon:1,jon snow:3			9	6	59
