time	date	Ageing	Aids	Animal Welfare	Bird Flu	BSE	Coal Pits	EU	Countryside	Crime	Defence	Drug Abuse	Economy	Education	Farming	German Reunification	GM foods	Housing	Inflation/Prices	Inner Cities	Local Govt	Low Pay	Morality	NHS	Northern Ireland	Nuclear Power	Nuclear Weapons	Pensions	Fuel Prices	Environment	The Pound	Poverty/Inequality	Privatisation	Public Services	Immigration	Scots/Welsh Assembly	Taxation	Trade Unions	Transport	Tsunami	Unemployment
0	19740901	7.0	1.0	1.0				7.0	1.0	15.0	5.0	4.0	52.0	13.0				9.0	14		2.0	6.0	7.0	27.0			1.0	10.0	7.0	3.0	1	11.0	1.0	6.0	29.0	1.0	6.0		3.0		28
1	19741001	4.0	1.0	1.0				9.0	1.0	14.0	9.0	4.0	52.0	14.0				11.0	13		3.0	8.0	7.0	19.0			1.0	11.0	4.0	4.0	1	14.0	1.0	5.0	26.0	1.0	4.0		3.0		27
2	19771101	8.0		1.0				6.0	2.0	18.0	4.0	5.0	52.0	12.0				9.0	14		3.0	7.0	7.0	21.0			1.0	10.0	4.0	5.0	1	11.0	1.0	5.0	22.0	1.0	2.0		2.0		23
3	19780801	6.0		1.0				6.0	1.0	19.0	5.0	3.0	55.0	11.0				11.0	17		3.0	7.0	7.0	15.0			1.0	8.0	5.0	4.0	1	13.0	1.0	5.0	22.0	1.0	4.0		2.0		30
4	19790201	6.0		1.0				6.0	2.0	17.0	6.0	3.0	55.0	14.0				10.0	16		4.0	8.0	7.0	20.0				9.0	5.0	5.0	1	13.0	1.0	4.0	19.0	1.0	2.0		4.0		33
5	19790401	9.0		1.0				5.0	3.0	18.0	6.0	5.0	52.0	10.0	1.0			10.0	17		4.0	8.0	6.0	19.0			1.0	9.0	6.0	6.0	2	11.0	1.0	5.0	21.0	1.0	2.0	1.0	4.0		32
6	19800201	6.0		1.0				3.0	1.0	17.0	5.0	5.0	54.0	13.0	1.0			11.0	17		5.0	8.0	8.0	20.0				8.0	7.0	2.0	1	12.0	2.0	5.0	20.0	1.0	4.0		5.0		34
7	19800401	6.0						5.0	1.0	14.0	7.0	4.0	61.0	11.0				8.0	15		4.0	5.0	9.0	18.0			1.0	8.0	4.0	3.0	2	10.0	1.0	6.0	23.0	1.0	4.0		5.0		35
8	19820901	6.0		1.0				5.0	1.0	18.0	9.0	4.0	59.0	14.0				7.0	14		3.0	7.0	8.0	22.0			1.0	10.0	6.0	4.0	2	11.0	2.0	4.0	26.0	1.0	5.0	1.0	4.0		34
9	19821001	4.0	1.0					8.0	1.0	14.0	7.0	3.0	58.0	11.0				7.0	15		3.0	6.0	7.0	16.0				7.0	4.0	3.0	2	10.0	2.0	4.0	19.0	1.0	3.0	1.0	4.0		37
10	19821101	7.0	1.0	1.0				6.0	1.0	15.0	6.0	3.0	61.0	13.0				6.0	19		3.0	8.0	8.0	16.0			1.0	9.0	8.0	3.0	2	9.0	1.0	3.0	20.0	1.0	4.0	1.0	4.0		34
11	19830301	6.0	1.0	2.0				4.0	1.0	20.0	9.0	6.0	55.0	15.0				8.0	18		3.0	7.0	6.0	20.0			1.0	8.0	15.0	3.0	1	10.0	2.0	4.0	21.0	1.0	5.0		3.0		40
12	19830401	4.0		1.0				5.0	1.0	18.0	9.0	4.0	57.0	13.0				6.0	12		2.0	5.0	7.0	22.0			1.0	7.0	13.0	3.0	2	8.0	1.0	3.0	23.0	2.0	3.0		4.0		36
13	19830601	4.0		1.0				7.0	1.0	20.0	9.0	4.0	64.0	13.0				6.0	12		2.0	6.0	6.0	22.0			1.0	8.0	6.0	2.0	1	7.0		4.0	24.0	2.0	2.0		2.0		38
14	19830701	5.0						9.0	2.0	21.0	7.0	5.0	61.0	13.0				8.0	12		3.0	6.0	7.0	17.0			1.0	7.0	6.0	3.0	1	10.0	1.0	3.0	20.0	1.0	3.0	1.0	3.0		33
15	19830801	4.0		1.0				7.0	2.0	19.0	8.0	5.0	66.0	15.0				7.0	15		2.0	6.0	7.0	17.0			1.0	10.0	8.0	4.0	2	10.0	1.0	5.0	22.0	1.0	4.0	1.0	3.0		33
16	19830901	5.0		1.0				8.0	2.0	23.0	9.0	6.0	62.0	15.0				6.0	15		2.0	4.0	7.0	16.0			1.0	8.0	9.0	4.0	2	8.0		3.0	23.0		4.0		2.0	 	32
17	19831001	3.0		1.0				4.0	1.0	24.0	10.0	5.0	68.0	16.0				6.0	12		3.0	4.0	5.0	21.0	1.0		1.0	7.0	5.0	3.0	2	9.0	1.0	5.0	24.0	1.0	3.0	1.0	2.0		30
18	19840101	5.0		1.0				3.0	1.0	29.0	13.0	7.0	59.0	16.0				9.0	13		2.0	7.0	11.0	17.0			1.0	8.0	6.0	4.0	1	9.0	1.0	6.0	21.0	1.0	4.0		2.0		30
19	19840201	5.0		1.0				4.0	1.0	31.0	11.0	5.0	61.0	16.0				6.0	15		3.0	3.0	6.0	17.0				9.0	5.0	3.0	2	8.0	1.0	4.0	23.0		3.0		2.0		26
20	19840301	8.0	1.0	1.0				4.0	1.0	17.0	13.0	3.0	57.0	15.0				5.0	15		1.0	5.0	6.0	19.0			1.0	10.0	7.0	5.0	1	8.0	1.0	5.0	27.0		4.0	1.0	1.0		29
21	19840401	6.0						3.0	1.0	22.0	15.0	4.0	51.0	14.0				8.0	14		3.0	6.0	6.0	26.0			1.0	8.0	7.0	5.0	2	7.0	1.0	5.0	31.0	1.0	4.0		2.0		28
22	19840601	3.0		1.0				3.0	2.0	17.0	18.0	3.0	55.0	20.0				8.0	11		2.0	4.0	6.0	26.0			2.0	7.0	11.0	3.0	2	6.0	1.0	6.0	26.0	1.0	4.0		3.0		27
23	19840801	4.0		1.0				2.0	2.0	22.0	22.0	4.0	62.0	14.0				5.0	16		3.0	5.0	5.0	20.0			2.0	9.0	9.0	4.0	1	7.0	1.0	6.0	17.0		6.0		3.0		24
24	19840901	4.0			1.0			4.0	1.0	18.0	16.0	4.0	54.0	17.0				6.0	18		4.0	5.0	6.0	19.0			1.0	6.0	15.0	4.0	2	8.0	2.0	5.0	26.0	1.0	7.0	1.0	3.0		25
25	19841001			1.0	1.0			3.0	1.0	23.0	12.0	5.0	60.0	16.0				6.0	16		3.0	5.0	5.0	19.0			1.0	6.0	8.0	5.0	3	6.0	2.0	6.0	25.0		6.0		2.0		28
26	19841101				2.0			4.0		22.0	14.0	6.0	60.0	21.0				6.0	14		4.0	5.0	7.0	19.0	1.0		2.0	7.0	8.0	7.0	2	8.0	1.0	6.0	26.0	1.0	7.0	1.0	2.0		27
27	19841201							3.0	1.0	18.0	15.0	5.0	61.0	21.0				7.0	12		4.0	6.0	6.0	18.0			1.0	9.0	4.0	4.0	2	9.0	1.0	6.0	25.0	1.0	4.0	1.0	2.0		27
28	19850101		1.0	1.0				4.0	1.0	23.0	17.0	4.0	54.0	15.0			1.0	8.0	11		3.0	5.0	6.0	18.0			1.0	11.0	2.0	5.0	2	7.0		6.0	27.0		6.0		1.0		28
29	19850201			1.0				2.0	1.0	23.0	16.0	6.0	59.0	18.0	1.0			5.0	11		4.0	5.0	7.0	21.0	1.0		1.0	10.0	3.0	6.0	2	8.0	1.0	6.0	27.0		5.0		2.0		29
30	19850301			1.0				2.0	1.0	24.0	12.0	5.0	57.0	18.0				7.0	13		3.0	5.0	6.0	19.0			1.0	9.0	4.0	4.0		8.0	1.0	5.0	31.0		5.0		1.0		26
31	19850401			1.0				1.0	1.0	19.0	17.0	5.0	61.0	18.0				6.0	12		4.0	4.0	6.0	18.0			1.0	10.0	3.0	6.0	2	7.0	1.0	5.0	30.0		4.0	1.0	2.0		24
32	19850501							2.0	1.0	24.0	15.0	7.0	63.0	17.0				6.0	10		3.0	5.0	6.0	16.0			1.0	7.0	3.0	5.0	1	9.0		3.0	28.0		4.0		1.0		26
33	19850601			1.0	1.0			2.0	1.0	26.0	12.0	7.0	65.0	16.0				6.0	8		3.0	5.0	4.0	19.0			1.0	5.0	4.0	5.0	2	6.0	1.0	3.0	29.0	1.0	5.0		2.0		21
34	19850701		1.0	1.0				6.0	1.0	20.0	11.0	5.0	71.0	23.0				5.0	9		4.0	5.0	6.0	22.0			2.0	10.0	6.0	5.0	3	6.0	1.0	5.0	38.0	1.0	7.0		3.0		22
35	19850801							3.0	1.0	25.0	11.0	7.0	55.0	21.0				5.0	11		4.0	4.0	8.0	24.0			1.0	7.0	7.0	5.0	2	6.0		4.0	29.0		6.0		3.0		24
36	19850901							4.0	1.0	25.0	14.0	8.0	55.0	19.0				5.0	8		4.0	5.0	8.0	20.0			1.0	7.0	4.0	6.0	2	7.0	1.0	4.0	33.0		5.0		3.0		21
37	19851001							2.0	1.0	25.0	19.0	4.0	48.0	14.0				5.0	8		3.0	5.0	9.0	17.0			1.0	5.0	2.0	7.0	1	8.0		4.0	29.0	1.0	4.0		2.0		20
38	19851101				1.0			3.0	1.0	24.0	25.0	3.0	49.0	12.0				5.0	9		2.0	3.0	11.0	20.0			1.0	5.0	2.0	8.0	1	7.0	1.0	4.0	33.0		3.0		2.0		27
39	19851201				1.0			3.0		26.0	15.0	4.0	52.0	14.0				5.0	10		3.0	4.0	9.0	16.0			1.0	6.0	2.0	9.0	1	6.0		2.0	24.0		2.0		1.0		22
40	19860101				4.0			2.0		32.0	17.0	7.0	54.0	12.0				5.0	9		2.0	1.0	10.0	16.0				3.0	1.0	5.0	1	6.0		3.0	25.0		2.0		1.0		30
41	19860201				6.0			2.0		24.0	20.0	4.0	55.0	11.0				7.0	8		2.0	4.0	6.0	24.0				4.0	4.0	8.0	1	6.0		2.0	27.0	1.0	3.0		1.0		25
42	19860301				1.0			4.0	1.0	28.0	10.0	10.0	54.0	12.0	1.0			8.0	12		6.0	3.0	11.0	16.0			2.0	5.0	4.0	9.0	1	7.0	1.0	5.0	25.0	1.0	4.0		2.0		28
43	19860401			1.0	1.0			5.0		30.0	7.0	5.0	59.0	12.0				8.0	10		4.0	3.0	14.0	13.0			1.0	3.0	1.0	8.0	2	6.0		4.0	30.0	1.0	3.0		2.0		20
44	19860501				1.0			1.0	1.0	28.0	9.0	5.0	65.0	13.0				6.0	13		2.0	3.0	8.0	15.0			1.0	4.0	2.0	8.0	1	8.0		3.0	29.0		3.0		1.0		23
45	19860601							1.0		32.0	10.0	4.0	67.0	11.0				8.0	12		3.0	2.0	9.0	12.0			1.0	3.0	1.0	7.0	2	5.0	1.0	3.0	25.0	1.0	2.0		2.0		23
46	19860701							1.0	1.0	34.0	11.0	5.0	70.0	10.0				6.0	13		2.0	2.0	7.0	14.0			1.0	3.0	2.0	6.0	3	5.0	1.0	3.0	21.0		2.0		2.0		24
47	19860801			1.0				1.0	1.0	35.0	13.0	6.0	66.0	10.0				7.0	17		2.0	3.0	7.0	12.0			1.0	4.0	2.0	6.0	3	8.0		1.0	22.0		2.0		2.0		15
48	19860901							2.0		38.0	13.0	5.0	62.0	9.0				8.0	18		2.0	3.0	8.0	13.0			1.0	4.0	3.0	7.0	2	6.0		2.0	22.0		3.0		2.0		15
49	19861001							1.0	1.0	33.0	10.0	6.0	58.0	12.0				7.0	21		2.0	4.0	7.0	18.0				4.0	4.0	6.0	2	8.0	1.0	3.0	27.0		3.0		2.0		14
50	19861101							1.0	1.0	40.0	12.0	7.0	55.0	12.0				9.0	22		3.0	4.0	7.0	17.0			1.0	5.0	8.0	8.0	1	7.0	1.0	3.0	27.0	1.0	6.0		1.0		11
51	19861201		1.0	1.0	1.0			3.0	1.0	47.0	15.0	7.0	41.0	12.0				13.0	26		3.0	4.0	9.0	15.0			1.0	4.0	10.0	7.0		6.0		2.0	25.0	1.0	5.0		2.0		7
52	19870101		1.0	1.0				3.0	2.0	39.0	15.0	6.0	42.0	13.0				11.0	23		2.0	3.0	6.0	16.0			1.0	4.0	15.0	7.0	1	8.0		2.0	26.0		7.0		2.0		9
53	19870201		1.0	1.0				4.0	2.0	38.0	20.0	6.0	32.0	16.0			1.0	12.0	22		2.0	4.0	6.0	19.0			1.0	7.0	16.0	9.0	1	7.0	1.0	3.0	30.0		9.0		2.0		6
54	19870301		1.0	1.0				2.0	1.0	41.0	13.0	6.0	34.0	13.0				15.0	21		2.0	5.0	7.0	19.0			1.0	7.0	9.0	8.0	1	8.0	1.0	4.0	37.0	1.0	9.0		2.0		6
55	19870401		1.0	1.0				4.0	1.0	35.0	20.0	8.0	33.0	14.0				13.0	11		3.0	4.0	7.0	23.0			1.0	6.0	6.0	7.0	1	7.0	1.0	3.0	42.0	1.0	11.0		2.0		6
56	19870701							3.0	1.0	40.0	17.0	7.0	23.0	17.0				10.0	11		4.0	4.0	9.0	24.0			2.0	6.0	6.0	10.0	1	7.0	1.0	4.0	44.0	1.0	11.0		3.0		6
57	19870801		1.0	1.0				3.0	1.0	50.0	16.0	8.0	18.0	17.0				12.0	9		3.0	4.0	10.0	25.0			1.0	6.0	4.0	7.0	1	5.0		3.0	44.0		8.0		3.0		6
58	19870901		1.0	1.0	1.0			2.0	1.0	47.0	20.0	7.0	20.0	18.0				9.0	8		3.0	4.0	8.0	33.0			1.0	5.0	5.0	8.0	1	5.0	1.0	3.0	40.0	1.0	7.0		4.0	0	9
59	19871001		2.0	2.0	1.0			4.0	2.0	37.0	21.0	6.0	13.0	21.0	1.0			15.0	6		2.0	4.0	8.0	33.0			2.0	6.0	6.0	10.0	1	6.0	1.0	4.0	46.0		7.0	1.0	4.0		7
60	19871101		2.0	2.0	1.0			6.0	1.0	38.0	20.0	9.0	11.0	19.0				12.0	5		2.0	3.0	7.0	40.0			1.0	6.0	2.0	6.0		5.0		3.0	41.0		8.0		3.0	0	6
61	19871201		1.0	1.0	1.0			4.0	1.0	41.0	22.0	7.0	10.0	17.0	1.0			11.0	4		2.0	4.0	7.0	36.0			1.0	6.0		7.0	0	3.0	1.0	3.0	43.0		8.0		2.0		8
62	19880101		1.0	1.0	1.0			3.0		55.0	25.0	8.0	9.0	19.0	1.0		1.0	9.0	3		2.0	2.0	9.0	26.0			2.0	5.0	1.0	8.0	-	6.0		4.0	35.0	1.0	6.0		3.0	0	7
63	19880201							3.0	1.0	35.0	39.0	7.0	7.0	22.0				16.0	3		2.0	3.0	8.0	30.0			2.0	6.0	1.0	9.0		5.0	1.0	3.0	40.0	1.0	7.0		3.0		7
64	19880301		1.0	1.0	1.0			4.0	2.0	35.0	27.0	6.0	10.0	22.0				10.0	3		3.0	2.0	7.0	37.0			2.0	8.0	1.0	13.0		6.0	1.0	3.0	40.0	1.0	6.0		3.0		8
65	19880401							3.0	1.0	36.0	27.0	7.0	9.0	23.0				11.0	3		3.0	3.0	6.0	37.0			2.0	7.0	1.0	10.0		5.0	1.0	3.0	38.0	1.0	6.0		3.0	0	7
66	19880501		1.0	1.0				2.0	1.0	40.0	27.0	9.0	10.0	19.0				10.0	5		3.0	2.0	8.0	36.0			1.0	8.0	1.0	12.0		5.0	1.0	4.0	36.0		9.0	1.0	4.0		8
67	19880601		1.0	1.0				7.0	2.0	37.0	36.0	11.0	14.0	22.0			1.0	8.0	7		4.0	3.0	6.0	27.0			3.0	8.0	2.0	19.0	1	4.0		3.0	25.0		7.0		2.0		6
68	19880701		1.0	1.0				3.0	1.0	33.0	35.0	5.0	9.0	21.0				7.0	4		1.0	2.0	6.0	32.0			2.0	10.0	2.0	13.0		5.0	1.0	3.0	38.0	1.0	9.0		3.0	1	6
69	19880801		1.0	1.0				3.0	1.0	32.0	40.0	6.0	9.0	18.0				6.0	4		3.0	2.0	6.0	31.0			1.0	7.0	2.0	11.0		5.0	1.0	3.0	38.0		8.0		2.0	1	6
70	19880901							3.0	2.0	30.0	37.0	5.0	8.0	20.0	1.0		1.0	5.0	2		2.0	2.0	5.0	38.0			3.0	7.0	1.0	8.0		5.0	1.0	2.0	40.0		7.0		3.0		6
71	19881001		1.0	1.0	1.0			3.0	1.0	26.0	38.0	6.0	8.0	19.0			1.0	8.0	3		3.0	2.0	4.0	32.0			2.0	7.0	3.0	10.0	1	4.0		2.0	45.0		7.0		2.0		5
72	19881101							3.0	1.0	37.0	36.0	4.0	9.0	20.0				6.0	3		2.0	1.0	5.0	35.0			2.0	10.0	6.0	10.0		7.0		3.0	38.0	1.0	7.0		2.0		6
73	19881201							3.0	2.0	41.0	25.0	5.0	8.0	19.0			1.0	7.0	2		2.0	2.0	6.0	35.0			2.0	10.0	3.0	10.0	1	5.0	1.0	2.0	35.0	1.0	6.0		3.0		6
74	19890101							3.0	1.0	36.0	27.0	5.0	10.0	25.0				5.0	3		2.0	2.0	5.0	38.0			1.0	20.0	4.0	12.0		5.0		2.0	41.0		5.0		2.0		6
75	19890201				2.0			3.0	2.0	30.0	23.0	3.0	9.0	28.0				6.0	2		2.0	2.0	5.0	47.0			1.0	12.0	5.0	11.0		5.0		3.0	35.0		7.0		3.0		7
76	19890301				1.0			3.0	2.0	26.0	29.0	5.0	9.0	28.0				6.0	2		3.0	2.0	6.0	37.0			2.0	13.0	2.0	9.0		8.0		3.0	30.0		8.0		3.0	0	5
77	19890401							3.0	1.0	28.0	34.0	6.0	11.0	25.0				6.0	2		3.0	2.0	5.0	33.0			2.0	13.0	3.0	8.0		6.0			30.0	1.0	7.0		3.0		9
78	19890501							4.0	2.0	36.0	26.0	7.0	10.0	28.0				6.0	2		3.0	2.0	7.0	30.0			2.0	11.0	4.0	9.0		7.0	1.0	2.0	28.0		7.0		3.0		7
79	19890601							3.0	1.0	34.0	41.0	7.0	13.0	27.0			1.0	4.0	2		3.0	1.0	5.0	29.0			1.0	14.0	1.0	6.0		4.0	1.0	2.0	25.0		9.0		3.0		7
80	19890701		1.0	1.0				5.0	1.0	31.0	31.0	6.0	10.0	26.0				6.0	2		4.0	1.0	5.0	34.0			1.0	12.0	3.0	6.0		6.0		3.0	30.0		7.0		4.0	1	6
81	19890801							5.0	1.0	25.0	46.0	5.0	11.0	21.0				5.0	3		3.0	2.0	7.0	28.0			2.0	10.0	5.0	6.0		6.0		2.0	32.0		8.0		4.0		7
82	19890901							4.0	1.0	24.0	56.0	4.0	13.0	19.0				6.0	2		2.0	1.0	4.0	28.0			1.0	8.0	4.0	4.0		7.0		1.0	35.0		4.0		3.0		7
83	19891001							7.0	1.0	25.0	58.0	3.0	10.0	20.0				5.0	1		2.0	2.0	5.0	29.0			1.0	8.0	2.0	7.0		7.0		2.0	32.0		6.0		5.0	1	8
84	19891101							19.0	1.0	30.0	16.0	4.0	11.0	24.0				6.0	2		2.0	1.0	4.0	36.0			1.0	11.0	1.0	7.0		7.0		2.0	33.0		8.0		5.0	1	8
85	19891201							9.0	1.0	40.0	14.0	7.0	11.0	26.0				8.0	2		3.0	1.0	10.0	36.0			1.0	14.0	2.0	6.0		5.0		3.0	27.0		8.0		4.0		7
86	19900101							5.0	2.0	29.0	24.0	6.0	12.0	30.0	1.0		1.0	9.0	2		3.0	2.0	6.0	44.0			1.0	13.0	2.0	4.0		8.0		3.0	33.0		6.0		4.0		8
87	19900201							8.0	1.0	29.0	25.0	5.0	10.0	26.0				7.0	2		3.0	2.0	6.0	38.0			1.0	14.0	1.0	6.0		7.0	1.0	3.0	40.0		7.0		4.0		8
88	19900301							7.0	2.0	26.0	34.0	5.0	10.0	24.0			1.0	8.0	2		3.0	2.0	6.0	34.0			2.0	11.0	1.0	5.0	1	8.0	1.0	3.0	26.0		8.0		4.0	3	7
89	19900401							6.0	1.0	30.0	40.0	5.0	10.0	25.0				6.0	2		2.0	2.0	6.0	33.0			2.0	13.0	2.0	4.0		7.0	1.0	4.0	25.0		9.0		7.0		6
90	19900501		1.0	1.0				9.0	1.0	27.0	47.0	6.0	10.0	22.0			1.0	5.0	2		1.0	2.0	5.0	32.0			2.0	12.0	2.0	5.0	1	6.0	1.0	3.0	24.0		6.0		6.0		6
91	19900601							7.0	2.0	28.0	47.0	7.0	11.0	26.0				7.0	3		2.0	1.0	4.0	36.0			2.0	20.0	1.0	3.0	1	5.0		3.0	25.0		9.0		4.0		7
92	19900701							8.0	1.0	27.0	36.0	6.0	10.0	29.0			1.0	7.0	3		3.0	2.0	5.0	34.0			1.0	15.0	2.0	4.0	1	4.0		4.0	26.0		8.0		5.0		8
93	19900801							9.0		28.0	38.0	6.0	10.0	23.0			1.0	6.0	4		4.0	1.0	4.0	34.0			2.0	8.0	3.0	4.0		3.0	1.0	2.0	30.0		8.0		6.0		7
94	19900901							11.0	1.0	28.0	34.0	4.0	10.0	27.0			1.0	7.0	2		3.0	2.0	4.0	40.0			2.0	12.0	2.0	2.0	1	5.0	1.0	5.0	31.0		9.0		8.0		7
95	19901001							16.0	1.0	20.0	35.0	5.0	7.0	28.0			1.0	7.0	2		1.0	1.0	4.0	44.0			1.0	10.0	3.0	3.0	1	4.0		3.0	28.0		5.0		7.0		6
96	19901101							17.0	1.0	21.0	47.0	6.0	9.0	25.0			1.0	8.0	3		3.0	2.0	4.0	34.0			3.0	9.0	3.0	4.0		5.0		3.0	30.0		8.0		7.0		7
97	19901201		1.0	1.0				9.0	1.0	19.0	47.0	3.0	9.0	29.0				8.0	2		2.0	2.0	4.0	34.0			4.0	10.0	1.0	2.0		6.0		3.0	36.0		7.0		5.0		7
98	19910101							5.0	1.0	22.0	41.0	6.0	11.0	27.0			2.0	6.0	3		4.0	2.0	7.0	35.0			2.0	12.0		4.0		6.0	1.0	5.0	31.0	1.0	10.0		7.0		8
99	19910201							7.0	1.0	26.0	28.0	6.0	9.0	33.0			1.0	5.0	2		4.0	2.0	5.0	37.0			3.0	13.0	1.0	3.0	1	5.0	1.0	3.0	35.0	1.0	10.0		6.0		8
100	19910301							9.0	2.0	23.0	26.0	4.0	10.0	32.0			1.0	6.0	2		4.0	2.0	4.0	36.0			3.0	13.0	1.0	4.0		5.0	1.0	4.0	29.0	1.0	11.0		9.0		8
101	19910401		1.0	1.0				12.0	1.0	22.0	26.0	5.0	12.0	33.0				5.0	2		4.0	2.0	4.0	41.0			4.0	11.0	1.0	4.0		6.0	1.0		29.0	1.0	10.0		8.0		7
102	19910501		1.0	1.0				7.0	1.0	29.0	40.0	4.0	11.0	27.0				5.0	2		3.0	2.0	6.0	46.0			3.0	10.0	1.0	2.0	1	5.0	1.0		26.0		7.0	1.0	7.0		8
103	19910601		1.0	1.0				12.0	1.0	25.0	21.0	6.0	10.0	26.0			1.0	5.0	2		2.0	2.0	4.0	40.0	1.0		2.0	11.0	1.0	2.0		5.0	1.0		34.0		8.0		8.0		7
104	19910701		1.0	1.0				13.0	1.0	24.0	37.0	6.0	14.0	28.0			1.0	7.0	2		2.0	3.0	5.0	40.0			4.0	12.0	1.0	2.0		5.0			29.0		6.0	1.0	7.0		9
105	19910801							9.0	1.0	24.0	20.0	6.0	12.0	33.0				7.0	3		3.0	3.0	5.0	45.0			4.0	10.0	1.0	2.0	1	6.0	1.0		35.0		6.0		10.0		10
106	19910901		1.0	1.0		1.0		11.0	1.0	26.0	24.0	4.0	9.0	33.0			1.0	6.0	2		1.0	2.0	6.0	43.0			4.0	11.0	1.0	4.0	1	6.0	1.0		29.0	1.0	4.0	1.0	9.0		10
107	19911001							26.0	1.0	22.0	21.0	6.0	10.0	27.0			1.0	6.0	3		3.0	1.0	5.0	41.0			2.0	9.0	1.0	3.0	1	6.0			29.0		6.0		9.0		7
108	19911101							22.0	1.0	25.0	24.0	5.0	13.0	30.0				5.0	2		2.0	3.0	3.0	39.0	1.0		3.0	10.0	1.0	2.0	1	6.0			33.0		6.0		5.0		8
109	19911201							7.0	2.0	19.0	26.0	5.0	15.0	32.0	1.0			5.0	2		2.0	2.0	3.0	49.0			3.0	9.0	1.0	3.0		7.0	1.0		27.0		7.0		6.0		10
110	19920101							5.0	1.0	18.0	64.0	2.0	13.0	27.0				5.0	3		2.0	2.0	3.0	42.0			9.0	9.0	1.0	2.0		5.0			26.0		7.0	2.0	9.0		8
111	19920201							4.0	1.0	20.0	69.0	5.0	10.0	27.0				6.0	2		1.0	4.0	4.0	44.0			11.0	11.0	2.0	2.0	1	5.0	1.0		27.0		5.0	1.0	11.0		9
112	19920401							5.0	1.0	21.0	64.0	6.0	12.0	27.0	1.0			4.0	3		2.0	3.0	4.0	35.0			9.0	6.0	1.0	1.0	0	5.0	1.0		34.0		3.0	2.0	6.0		6
113	19920501		1.0	1.0				8.0	1.0	23.0	35.0	6.0	12.0	29.0				6.0	4		1.0	5.0	4.0	38.0			7.0	13.0	1.0	2.0	1	7.0	1.0		23.0		5.0	4.0	12.0		9
114	19920601		1.0	1.0				8.0	1.0	30.0	40.0	6.0	10.0	29.0				6.0	3		2.0	5.0	5.0	42.0			10.0	12.0		3.0	1	6.0	1.0		18.0		3.0	11.0	8.0		9
115	19920701		1.0	1.0				8.0	1.0	28.0	35.0	7.0	7.0	32.0	1.0			6.0	4		2.0	4.0	3.0	45.0	3.0		8.0	9.0	1.0	2.0	1	6.0	1.0		18.0		4.0	2.0	11.0		10
116	19920801		1.0	1.0		1.0		8.0	3.0	28.0	34.0	7.0	10.0	34.0	1.0		1.0	6.0	2		1.0	2.0	5.0	41.0	1.0		9.0	9.0	1.0	2.0	1	9.0	1.0		21.0		4.0	1.0			8
117	19920901		1.0					11.0	2.0	31.0	10.0	9.0	12.0	37.0				8.0	3		1.0	3.0	4.0	55.0			2.0	11.0	1.0	2.0	1	4.0	1.0		22.0	1.0	3.0	1.0			10
118	19921001							14.0	1.0	31.0	13.0	10.0	9.0	29.0			1.0	7.0	2		1.0	2.0	4.0	54.0	1.0		2.0	11.0	1.0	4.0	1	5.0			32.0	1.0	4.0		17.0		10
119	19921101							14.0	3.0	34.0	13.0	13.0	8.0	32.0	1.0		1.0	7.0	1		1.0	2.0	5.0	50.0			3.0	9.0	1.0	3.0	2	4.0			39.0		3.0		16.0		6
120	19921201							10.0	1.0	29.0	19.0	6.0	8.0	28.0	1.0			5.0	1		2.0	3.0	6.0	66.0	1.0		2.0	9.0	2.0	4.0	1	6.0	1.0		13.0		5.0		12.0		8
121	19930101		1.0	1.0				11.0	1.0	37.0	18.0	7.0	8.0	30.0	1.0			4.0	2		1.0	2.0	4.0	58.0	1.0		3.0	10.0	1.0	3.0	1	7.0	1.0		15.0		2.0		14.0		8
122	19930201			1.0				13.0	1.0	28.0	11.0	5.0	7.0	28.0	1.0			4.0	2		2.0	1.0	4.0	72.0			1.0	10.0	1.0	3.0	1	5.0			18.0		6.0		18.0		10
123	19930301							13.0	1.0	23.0	13.0	5.0	12.0	32.0	2.0			3.0	2		2.0	2.0	4.0	66.0	2.0		2.0	6.0	2.0	2.0	2	6.0	2.0		16.0		3.0		22.0		9
124	19930401					1.0		19.0	2.0	19.0	40.0	4.0	15.0	29.0	2.0			5.0	1		2.0	2.0	3.0	49.0	2.0		2.0	8.0	2.0	2.0		4.0			12.0		2.0		10.0		14
125	19930501					1.0		7.0	1.0	14.0	57.0	3.0	12.0	31.0	3.0			4.0	2		2.0	3.0	4.0	49.0	2.0		3.0	7.0		2.0	1	5.0	1.0		17.0		2.0		8.0		12
126	19930601					1.0		9.0	1.0	15.0	60.0	4.0	15.0	30.0	3.0			4.0	2		1.0	2.0	2.0	43.0	1.0		4.0	7.0	2.0	3.0	1	4.0	1.0		27.0		3.0		5.0		11
127	19930701					2.0		22.0	2.0	22.0	2.0	4.0	13.0	35.0	7.0			6.0	2		2.0	3.0	4.0	54.0	1.0			8.0	3.0	4.0	1	5.0	1.0		23.0		5.0		9.0		13
128	19930801					1.0		20.0	3.0	32.0	2.0	5.0	12.0	34.0	4.0			6.0	2		2.0	2.0	4.0	52.0			1.0	10.0	3.0	8.0	1	6.0			17.0		5.0		11.0		11
129	19930901					1.0		24.0	2.0	29.0	2.0	9.0	10.0	44.0	7.0			6.0	2		1.0	2.0	4.0	58.0			1.0	11.0	4.0	6.0	2	6.0			14.0		4.0		11.0		10
