anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	2
0	0	0	0	0	0	1	0	0	0	3
0	0	0	0	0	0	1	0	0	0	4
2	0	0	0	1	0	3	2	0	0	5
1	0	1	0	0	1	2	2	0	0	6
1	0	3	0	1	0	2	3	0	0	7
0	0	4	0	0	0	2	0	0	0	8
0	0	0	0	0	0	0	0	0	0	9
0	1	0	0	0	0	5	1	0	0	10
0	0	0	0	0	1	0	0	0	0	11
0	0	0	0	0	0	0	0	0	0	12
0	0	0	0	0	1	1	0	0	1	13
0	0	0	0	0	0	0	0	0	0	14
0	0	0	0	0	0	0	1	0	0	15
5	1	4	0	0	1	9	3	2	2	16
1	2	0	0	0	2	6	1	0	0	17
0	2	0	0	0	1	1	0	0	0	18
0	0	0	1	0	2	1	0	0	0	19
2	0	0	1	0	1	4	0	0	1	20
7	2	3	1	1	3	4	1	1	1	21
6	1	0	1	1	2	2	0	0	0	22
0	2	3	1	0	0	1	0	0	0	23
0	0	0	0	0	0	0	1	0	0	24
0	1	0	0	0	0	1	2	0	0	25
0	0	0	0	2	0	0	0	0	0	26
0	0	0	0	0	0	0	0	0	0	27
0	0	2	2	0	1	1	0	0	0	28
3	5	2	0	3	2	4	3	1	0	29
4	7	0	0	1	5	3	1	0	0	30
0	0	2	1	0	0	0	1	0	0	31
4	1	0	0	1	3	3	1	0	0	32
1	1	1	0	1	0	3	0	0	0	33
6	5	4	1	2	6	4	0	0	0	34
4	0	2	0	2	0	4	0	2	2	35
1	0	0	2	0	0	6	0	2	0	36
3	0	1	0	2	0	5	1	0	0	37
0	0	0	0	2	1	4	1	1	0	38
1	0	1	0	3	1	9	0	2	0	39
0	0	1	1	1	1	3	2	0	0	40
3	0	1	0	0	0	3	4	0	2	41
0	1	0	0	0	0	2	0	0	0	42
1	0	0	0	4	1	1	2	0	0	43
1	0	0	2	0	0	1	1	0	0	44
1	1	1	1	0	0	3	0	1	1	45
3	2	1	0	1	2	3	0	0	0	46
0	0	0	0	0	0	3	0	0	0	47
0	2	1	0	0	0	1	0	0	0	48
0	0	0	0	0	0	4	0	0	0	49
6	2	2	1	0	3	9	1	0	0	50
1	1	1	2	1	0	2	4	0	1	51
2	3	1	2	2	2	2	1	0	0	52
0	0	0	0	0	0	0	0	0	0	53
0	0	0	1	0	0	0	0	0	0	54
0	0	0	0	1	0	0	0	0	0	55
0	0	0	0	0	0	0	0	0	0	56
0	0	0	0	0	0	0	0	0	0	57
0	0	0	0	0	0	0	0	0	0	58
0	0	0	0	0	0	0	0	0	0	59
