anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk
										0
										1
hostility:1		son:2,mother:1				friendship:1,interest:1				2
battle:1,enemy:1,fight:1,war:1,destroy:1	war:1	brother:2,son:2	houses:1		destroy:1,war:1,enemy:1	better:1,peace:1,please:1,loyalty:1,hope:1,luck:1				3
	die:1									4
	dead:1					won:1				5
murdered:1,fight:1	murdered:1,death:1	sister:1	home:1	lady:1		privilege:2	lord:1			6
cut:1,revenge:1	grave:1				revenge:1	true:1,good:1,please:1,won:1,smart:1				7
killed:1	killed:1				killed:1	grace:2,handsome:1				8
blame:1,attack:1		father:1,daughter:1		girl:1		clever:2,like:1,sweet:1,support:1,well:1,safety:1,innocent:1,respect:1,ready:1,superiority:1,safer:1				9
vile:1		cousin:1,sister:1,brother:1			vile:1	important:1,true:1				10
fucking:1,kill:1	kill:1				kill:1	please:1,truth:1,smart:1,care:1	holy:1	fucking:1	fucking:1	11
kill:2,torturing:1	kill:2,grieve:2	brother:2		boy:1,people:1,man:1	kill:2	grace:6,truth:2,please:2,love:1,pleasure:1,well:1,friend:1	lord:1	love:1		12
			doorstep:1	men:1,lady:1	wrong:1,doubt:1	loyal:1,won:1,like:1,truth:1,truths:1,loyalty:1,secure:1				13
attacking:1				lady:1	lose:1	won:2,truth:2,honored:1,happy:1,lucky:1,grace:1	lords:2,religion:1,preaching:1			14
kill:1,cut:1,humiliated:1	kill:1	father:1		people:1	kill:1	truths:1,good:1,well:1	lord:1			15
blame:2,argue:1		sister:1,brother:1	bed:1	people:1	rotten:2,lost:1,worried:1	admire:1,save:1,won:1,surprised:1	demon:2,monkey:2	incest:1		16
bitch:1						convince:1,welcome:1	demon:1,monkey:1		bitch:1	17
raping:1				women:1		well:3		raping:1		18
						better:1,enjoy:1,kind:1,thank:1				19
dump:1,piss:1		father:1,daughters:1	house:1	men:1	dump:1	good:1,prize:1,laugh:1,impressive:1,respect:1,true:1,like:1			piss:1	20
war:1,battles:1,warfare:1	war:1		home:1	men:2,boy:1	war:1,warfare:1	better:1,good:1,won:1,worship:1,sure:1,winning:1	lords:2,worship:1			21
		wife:2,cousin:1				profit:1,better:1,sure:1,well:1	lord:1			22
battle:1			maidenpool:3,house:2	girl:2		good:1	lord:3,lords:1			23
killed:2	killed:2				killed:2		lord:1			24
				girl:5,boy:1,man:1		friends:1				25
	death:1,deaths:1			man:3,girl:1	wrong:1	lovely:1				26
tortures:1,kill:1	kill:1	uncle:1		man:2,girl:1	kill:1	true:1				27
				men:1,man:1	sickening:1	love:2,beautiful:1,well:1,warm:1		love:2		28
stupid:1	die:1			men:3,people:1		like:2,please:1,smart:1				29
foes:1,piss:1						hurrah:1,friends:1,well:1,care:1	lord:1	cock:1	cock:1,piss:1	30
shit:2,offense:1,enemy:1	died:1			men:1	shit:2,enemy:1	well:1,perfecting:1,true:1,like:1,grand:1			shit:2	31
battle:1,insulting:1,cunts:1,tricks:1,wars:1,shit:1,insult:1	die:1	father:1		men:4,man:3	insult:1,wars:1,shit:1,insulting:1	win:1,well:1,friend:1	lord:1		cunts:1,shit:1	32
shit:1		sister:2	room:1		low:1,shit:1	won:1,wisdom:1			shit:1	33
						loves:1		loves:1		34
				men:2,man:2		wealthiest:2,like:2,thank:1,rich:1,happy:1,friend:1				35
idiot:1,rude:1					idiot:1,rude:1	wonderful:1,please:1,like:1				36
killing:1	killing:1	brother:1,mother:1		men:2	killing:1	better:2,kind:1,good:1,welcome:1	demonstration:1			37
	die:1,deaths:1	mother:1	house:2			welcome:1,honor:1				38
tricks:1		mother:1				true:1	mormont:1	lust:1		39
	died:1	mother:2,son:1	bed:1	lady:1,man:1		like:2				40
kill:1	death:1,kill:1,dying:1			lady:1,people:1	kill:1	safely:1,great:1,safe:1,bravely:1,good:1			bloody:1	41
enemies:2,battle:1		son:1		lady:2,woman:1	enemies:2	courage:3,well:1,kind:1,promise:1				42
fighting:2,kill:1,fight:1	kill:1	sons:1,brother:1	home:2	man:1	kill:1		lord:2			43
fighting:1		wife:1	home:1,room:1	men:2,boys:1,children:1		bless:1,party:1,good:1,thank:1	lord:2,bless:1,prayed:1			44
liar:3,lying:1				men:1	liar:3,lying:1	well:2,won:1,honest:1	lord:2			45
stupid:1	drowned:1		gates:1,yard:1,kitchen:1	boy:1,men:1						46
				people:1		better:1,party:1,well:1,honor:1				47
kill:1	kill:1				kill:1	like:3,ready:1,safe:1,won:1				48
killed:2,fought:1,defense:1	killed:2			boy:1,men:1,man:1	killed:2,defense:1	like:1	lord:4		bloody:1	49
			home:1	woman:1,man:1		love:2,better:1,friend:1,safe:1,well:1,hope:1,promised:1		love:2		50
			gates:1,door:1			like:1,cares:1				51
		married:1,father:1,mother:1	home:2,door:2		empty:1	love:1,romantic:1		love:1		52
fight:2,destroying:1,war:1	dead:2,war:1			men:1,children:1	destroying:1,war:1	rich:2,giving:1,win:1,support:1,trust:1,friend:1				53
	dead:1		gates:1	person:1,child:1		like:3,loved:1,good:1,gentle:1,carefully:1,opportunity:1		loved:1		54
						good:1				55
fighting:1,fight:1										56
	dead:1									57
										58
										59
