89	00:07:50,776	00:07:52,153	$How may I server you?
90	00:07:53,263	00:07:56,918	$All over Westeros, we hear$of temples being burned...
91	00:07:56,928	00:07:59,228	$Silence Sister's raped...
92	00:08:00,284	00:08:02,631	$bodies of holy men$piled in the streets.
93	00:08:02,641	00:08:05,237	$Wars teach people to$obey the sword...
94	00:08:05,247	00:08:06,315	$not the Gods.
95	00:08:06,345	00:08:09,495	$Perhaps the gods need$a sword of their own.
96	00:08:09,662	00:08:12,583	$In the days before the$Targaryens, the faith militant
97	00:08:12,613	00:08:14,763	$dispensed the justices$of the Seven.
98	00:08:14,822	00:08:19,022	$The faith militant was dissolved$more than two centuries ago.
99	00:08:19,449	00:08:22,649	$If I explain the holy$purpose to my son, the King
100	00:08:23,149	00:08:27,844	$I have no doubt he will sign a decree,$arming the believers you feel worthy.
101	00:08:27,854	00:08:31,698	$An army that defends the bodies$and souls of the common people?
102	00:08:31,728	00:08:34,495	$An army in service to$the Gods themselves.
103	00:08:34,785	00:08:36,435	$and to you, of course...
104	00:08:36,989	00:08:39,064	$as the chosen representative$of the Seven.
105	00:08:39,074	00:08:41,024	$An honor I never expected...
106	00:08:41,873	00:08:43,642	$or a deed ever wished for.
107	00:08:43,672	00:08:45,922	$And "why you were chosen.
108	00:08:47,497	00:08:49,997	$You and I know both$how the world works.
109	00:08:50,090	00:08:52,142	$Too often, the wicked$or the wealthiest
110	00:08:52,143	00:08:53,743	$are beyond the reach of justice.
111	00:08:53,872	00:08:57,791	$The King himself can't always$punish those who deserve it most.
112	00:08:57,881	00:09:00,881	$All sinners are equal$before the gods.
113	00:09:05,180	00:09:09,430	$What would you say if I told you of$a great sinner in our very midst
114	00:09:09,655	00:09:12,355	$shielded by gold and privilege.
115	00:09:14,606	00:09:17,106	$May the Father judge in justice.
116	00:09:53,765	00:09:54,765	$Get up!
117	00:09:55,902	00:09:57,830	$Help me!    Help Me!
118	00:10:08,486	00:10:09,536	$Get off me!
119	00:10:18,455	00:10:19,455	$Shut up!
120	00:10:28,357	00:10:31,791	$This is Lord Petyr$Baylish's establishment.
121	00:10:41,841	00:10:43,315	$Cock Suck!
122	00:10:44,810	00:10:46,110	$Boy Fucker!
123	00:10:47,213	00:10:49,050	$You buggering filth!
124	00:10:50,008	00:10:53,552	$There is a special place in the$Seventh Hell for your kind.
125	00:10:53,562	00:10:54,612	$Please...
126	00:10:54,867	00:10:56,467	$Please! I'll pay!
127	00:10:56,610	00:10:58,348	$I... I'll pay all of you!
128	00:10:58,986	00:11:00,336	$Yes you will.
129	00:11:36,050	00:11:37,116	$Seize him.
130	00:11:39,414	00:11:41,936	$Get your hands off of me!$-Sir Loras of House Tyrell...
131	00:11:41,966	00:11:44,553	$you have broken the$laws of Gods and men.
132	00:11:45,606	00:11:47,106	$Who do you think you are?
133	00:11:48,121	00:11:49,187	$Justice.
134	00:11:56,200	00:11:58,309	$Why is my brother in a cell?
135	00:11:58,644	00:11:59,884	$I... I don't know.
136	00:12:01,198	00:12:02,870	$I... I didn't do it.
137	00:12:02,880	00:12:04,728	$We both know who did.
138	00:12:05,520	00:12:08,325	$You told me she was$returning to Casterly Rock.
139	00:12:09,753	00:12:11,612	$You say your mothers$behind this?
140	00:12:11,642	00:12:14,059	$She's jealous you're$not hers anymore
141	00:12:14,069	00:12:16,874	$aresting my brother$is her revenge.
142	00:12:17,118	00:12:19,155	$Aren't you and mother$getting along?
143	00:12:24,825	00:12:26,021	$Oh, my sweet...
144	00:12:27,191	00:12:28,337	$Sweet King.
145	00:12:30,430	00:12:33,023	$Do you have any affection$for me at all?
146	00:12:35,139	00:12:36,139	$Of course I do
147	00:12:37,484	00:12:38,884	$you're my Queen.
148	00:12:38,971	00:12:43,521	$I can't bear to think that my brother$is locked in some grimy cell.
149	00:12:46,355	00:12:48,105	$I'll set him free for you.
150	00:12:48,541	00:12:49,641	$Do you promise?
151	00:12:57,089	00:12:59,889	$I demand that Ser$Loras be freed, now.
152	00:12:59,957	00:13:01,657	$Did I arrest him?
153	00:13:03,264	00:13:04,314	$Well... no.
154	00:13:05,332	00:13:07,645	$But, y-you armed the$faith militant.
155	00:13:07,675	00:13:10,071	$You gave the High Sparrow an army!
156	00:13:10,854	00:13:11,854	$I did.
157	00:13:13,660	00:13:17,210	$And your wife has every$right to criticize.
158	00:13:17,811	00:13:20,273	$We can not allow fanatics to$arrest the Queens brother
159	00:13:20,303	00:13:22,381	$no matter his perversions.
160	00:13:23,362	00:13:24,362	$Then...
161	00:13:26,642	00:13:28,899	$Can I tell Margaery you'll$have Sir Loras released?
162	00:13:28,929	00:13:32,279	$I told you, I'm not holding Sir Loras.
163	00:13:32,422	00:13:33,572	$You're the King
164	00:13:33,618	00:13:35,304	$I'm sure if you speak$to the High Sparrow,
165	00:13:35,334	00:13:38,008	$he'll release the poor boy.
