anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk
{}	{}	{}	{}	{}	{}	{'playing': 1}	{}	{}	{}	0
{'lies': 1, 'made': 1}	{'die': 1}	{'made': 1}	{}	{'punishment': 1}	{'lies': 1, 'made': 1}	{'funny': 1, 'what': 1, 'love': 3, 'that': 2, 'joke': 2, 'had': 1}	{}	{'love': 3, 'whore': 2}	{}	1
{'made': 1, 'fuck': 1}	{'good': 1}	{'king': 1, 'sister': 1, 'made': 1, 'son': 2}	{'golden': 2}	{}	{'made': 1, 'lose': 1}	{'good': 1, 'careful': 1, 'that': 3, 'hand': 1}	{}	{'fuck': 1}	{'fuck': 1}	2
{}	{'die': 1}	{'talking': 1, 'family': 1, 'imagine': 1}	{'family': 1}	{'boy': 1}	{'single': 1, 'lose': 1}	{'save': 2, 'what': 1, 'pride': 1, 'look': 1, 'that': 1, 'hand': 1, 'either': 1, 'swing': 1, 'has': 1}	{'single': 1}	{'thought': 1, 'though': 1}	{}	3
{'fought': 1}	{}	{'expect': 1, 'bronn': 2}	{}	{'child': 1}	{}	{'wins': 2, 'champion': 1, 'hope': 1, 'that': 1}	{}	{'who': 1, 'hope': 1}	{}	4
{}	{'good': 1}	{}	{}	{}	{}	{'good': 1, 'thank': 1}	{'mercy': 2}	{'who': 1}	{}	5
{}	{'food': 1, 'soldiers': 1}	{'matter': 1}	{}	{}	{}	{}	{}	{}	{}	6
{}	{}	{'matters': 1, 'asking': 1}	{}	{}	{}	{'better': 1, 'what': 1, 'like': 1, 'hands': 1, 'had': 1, 'haven\xe2': 1, 'that\xe2': 1}	{}	{'who': 1, 'shouldn\xe2': 1, 'else': 1}	{}	7
{}	{}	{'maybe': 1}	{}	{}	{}	{'better': 1, 'has': 1, 'than': 3, 'habit': 1}	{}	{'thought': 1, 'who': 1, 'habit': 1}	{}	8
{}	{'dying': 1}	{'exchange': 2}	{}	{}	{}	{'exchange': 2, 'have': 1, 'that': 1}	{}	{'thirsty': 1}	{}	9
{'fuck': 2}	{'dead': 1}	{'king\xe2': 1, 'king': 1, 'man': 1}	{}	{'man': 1}	{}	{'what': 1, 'that\xe2': 3, 'wine': 1}	{}	{'how': 1, 'fuck': 2}	{'fuck': 2}	10
{'fuck': 1}	{'soldiers': 1, 'bloody': 1}	{'prisoners': 1, 'poisoned': 1, 'taking': 1, 'working': 1}	{}	{}	{}	{'hard': 1, 'wine': 1, 'thank': 1, 'what\xe2': 1}	{}	{'thought': 1, 'fuck': 1}	{'fuck': 1, 'bloody': 1}	11
{}	{'return': 1, 'returning': 2}	{'brother': 1, 'man': 1}	{}	{'man': 1}	{}	{}	{}	{'hobb': 1}	{}	12
{'coward': 1, 'cut': 1, 'hello': 1}	{'flood': 1, 'coward': 1, 'stood': 1}	{'king': 1, 'mance\xe2': 1, 'preparing': 1, 'prepare': 1, 'pass': 1, 'man': 1, 'next': 1}	{}	{'men': 1, 'mance\xe2': 1, 'man': 1}	{'closing': 1, 'coward': 1}	{'pluck': 1, 'has': 2, 'hoping': 1, 'have': 2, 'freeze': 1}	{'closing': 1, 'hello': 1}	{'ghost': 1, 'how': 1, 'hoping': 1, 'pass': 1, 'thousands': 2, 'those': 1, 'should': 1}	{'hello': 1, 'pass': 1}	13
{'stewards': 2}	{'stewards': 2}	{'brothers': 1, 'maintaining': 1}	{}	{'recommends': 1}	{'stewards': 2}	{'have': 1, 'agree': 1, 'won\xe2': 2, 'that': 1}	{}	{'who': 1, 'those': 1}	{}	14
{}	{}	{'brought': 1}	{}	{}	{}	{'have': 1}	{}	{}	{}	15
