anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk
savages:1		brother:1		baby:1,man:1	sluts:1,savages:1	likes:1,won:1,true:1,honor:1,like:1	lord:2	sluts:1		0
enemies:2,destroy:1,enemy:1,kill:1,dangerous:1	kill:1	brother:1			enemies:2,enemy:1,kill:1,destroy:1	good:1,save:1,strength:1,agree:1	mormont:1			1
bastards:1						original:1			bastards:1	2
										3
mad:1					mad:1		lord:2			4
		father:1		boy:2,man:2		welcome:2,warmer:1,kind:1,true:1,charming:1	lord:2			5
trick:1,bastards:1		father:1,brother:1		boy:2	lost:1,hurt:1	like:2,tender:1,kind:1,kindness:1,well:1	lord:1		bastards:1	6
	alive:1	father:1,uncles:1,son:1	bed:1	lady:3		like:2,kind:1,pretty:1,easier:1,well:1,loyalty:1,prettier:1		ass:1	ass:1	7
battle:1,enemy:1,stupid:1,rebellion:1,offended:1	died:1	father:2,brothers:1		people:1	shame:1,despair:1,disappointment:1,enemy:1	great:1,careful:1,forgive:1,good:1				8
hell:1					worse:1	well:1,please:1	hells:1,hell:1		hell:1	9
bastard:2				lady:2		love:2,sure:1,like:1	lord:1	love:2	bastard:2,bloody:1	10
fought:1,piss:1,fight:1		father:1,mother:1	clean:1		worse:1,hurt:1	good:1,well:1,easier:1,thank:1			piss:1	11
stupid:2				people:1					bloody:1	12
savages:2,shit:1		brother:1		people:2	savages:2,wrong:1,shit:1	like:1,best:1			shit:1	13
battle:1,fought:1		wife:1		men:2,man:1		dear:1,grace:1				14
kill:1,killed:1	kill:1,killed:1			men:3	kill:1,killed:1	brave:3,warm:1,like:1				15
kill:1	kill:1		house:1	man:1	kill:1,hurt:1	happy:2,pleasure:1,well:1,like:1				16
	died:1	father:1	door:1,room:1	men:1,man:1	wrong:1	sweet:1				17
					dread:1					18
idiot:1		sister:2			sad:2,idiot:1	better:1,lover:1,grace:1,pretty:1,happy:1		lover:1		19
hate:2		son:1,brother:1,husband:1,mother:1		girls:4,boys:1,girl:1,children:1	worry:1	good:1,well:1	lords:1			20
