baratheon	greyjoy	lannister	martell	stark	targaryen	tyrell	time	episode	season
0	0	0	0	0	0	0	16	10	1
0	0	0	0	0	0	0	17	10	1
0	0	0	0	0	0	0	18	10	1
0	0	0	0	0	0	0	19	10	1
0	0	0	0	1	0	0	20	10	1
0	0	0	0	1	0	0	21	10	1
2	0	3	0	2	0	0	22	10	1
1	0	0	0	1	0	0	23	10	1
0	0	0	0	0	0	0	24	10	1
0	0	0	0	0	0	0	25	10	1
0	0	0	0	0	0	0	26	10	1
0	0	0	0	0	0	0	27	10	1
0	0	0	0	0	0	0	28	10	1
0	0	0	0	0	0	0	29	10	1
0	0	0	0	0	0	0	30	10	1
0	0	1	0	0	0	0	31	10	1
0	0	0	0	0	0	0	32	10	1
0	0	0	0	0	0	0	33	10	1
0	0	0	0	0	0	0	34	10	1
0	0	0	0	0	0	0	35	10	1
0	0	0	0	0	0	0	36	10	1
0	0	0	0	0	0	0	37	10	1
0	0	0	0	0	0	0	38	10	1
0	0	0	0	0	1	0	39	10	1
1	0	0	0	0	0	0	40	10	1
0	0	1	0	0	0	0	41	10	1
0	0	0	0	0	0	0	42	10	1
0	0	0	0	0	0	0	43	10	1
0	0	0	0	0	0	0	44	10	1
0	0	0	0	0	0	0	45	10	1
0	0	0	0	0	0	0	46	10	1
0	0	0	0	0	0	0	47	10	1
0	0	0	0	0	0	0	48	10	1
0	0	0	0	0	0	0	49	10	1
0	0	0	0	0	0	0	50	10	1
0	0	0	0	1	0	0	51	10	1
0	0	0	0	0	0	0	52	10	1
0	0	0	0	0	2	0	53	10	1
0	0	0	0	0	0	0	54	10	1
0	0	0	0	0	0	0	55	10	1
0	0	0	0	0	0	0	56	10	1
0	0	0	0	0	0	0	57	10	1
0	0	0	0	0	0	0	58	10	1
0	0	0	0	0	0	0	59	10	1
0	0	1	0	1	0	0	0	2	1
0	0	0	0	0	1	0	1	2	1
0	0	0	0	0	0	0	2	2	1
0	0	0	0	0	0	0	3	2	1
0	0	0	0	0	0	0	4	2	1
0	0	0	0	0	1	0	5	2	1
0	0	0	0	1	0	0	6	2	1
0	0	0	0	0	0	0	7	2	1
0	0	0	0	0	0	0	8	2	1
0	0	0	0	1	0	0	9	2	1
0	0	0	0	0	0	0	10	2	1
1	0	0	0	0	0	0	11	2	1
1	0	0	0	0	0	0	12	2	1
0	0	0	0	0	0	0	13	2	1
0	0	0	0	0	0	0	14	2	1
0	0	0	0	0	0	0	15	2	1
0	0	0	0	0	0	0	16	2	1
0	0	0	0	0	0	0	17	2	1
0	0	0	0	2	0	0	18	2	1
0	0	0	0	0	0	0	19	2	1
1	0	0	0	0	0	0	20	2	1
0	0	0	0	2	0	0	21	2	1
0	0	0	0	0	0	0	22	2	1
0	0	0	0	0	0	0	23	2	1
0	0	0	0	0	0	0	24	2	1
0	0	0	0	1	0	0	25	2	1
0	0	0	0	0	0	0	26	2	1
1	0	0	0	1	1	0	27	2	1
0	0	0	0	0	0	0	28	2	1
0	0	0	0	0	0	0	29	2	1
0	0	0	0	0	0	0	30	2	1
0	0	0	0	0	0	0	31	2	1
0	0	0	0	0	0	0	32	2	1
0	0	0	0	0	0	0	33	2	1
0	0	0	0	2	0	0	34	2	1
0	0	0	0	0	0	0	35	2	1
0	0	0	0	0	2	0	36	2	1
0	0	0	0	0	1	0	37	2	1
0	0	0	0	0	0	0	38	2	1
0	0	0	0	1	0	0	39	2	1
0	0	0	0	0	0	0	40	2	1
0	0	0	0	2	0	0	41	2	1
0	0	0	0	0	1	0	42	2	1
0	0	0	0	0	2	0	43	2	1
0	0	0	0	0	1	0	44	2	1
0	0	0	0	0	0	0	45	2	1
0	0	0	0	0	0	0	46	2	1
0	0	0	0	0	0	0	47	2	1
0	0	0	0	0	0	0	48	2	1
0	0	0	0	1	0	0	49	2	1
0	0	0	0	2	0	0	50	2	1
0	0	0	0	3	0	0	51	2	1
