anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk
kill:2,rapers:1	kill:2	brothers:1,family:1	family:1		kill:2	impressed:1,great:1,welcome:1,comfort:1,comfortable:1,honor:1,interest:1,lovely:1,grace:1		rapers:1		0
				lady:2,boy:1		good:1,grace:1	lord:1			1
										2
						welcome:1,honor:1,grand:1	lord:1			3
				girls:1		like:1,glad:1,thank:1	lord:1	asses:1	asses:1	4
shits:1	die:2,crypt:1	father:1,brother:1	room:2	men:2,people:1	shits:1	like:2,great:1,wisely:1,brave:1,handsome:1	lord:1		shits:1	5
mad:3	die:1	father:2			mad:3,screams:1	laughing:2,admire:1,safe:1,well:1,like:1				6
fighting:1	grievously:1	brother:1,son:1		man:2,woman:1,lady:1	shame:1,wrong:1,doubt:1	well:3,sure:1,agree:1,hoped:1	lord:5,praying:1,prayer:1			7
		brother:2		man:1		champion:1,grace:1,cares:1,grand:1,honor:1,winning:1	lord:2,lords:1			8
						wise:1,treasury:1,pleasure:1,forgive:1,best:1,grace:1	lord:3,lords:1			9
fight:1,ugly:1,fought:1,rebel:1,killed:1	killed:1	father:4		girl:1,girls:1	scream:1,killed:1	like:3,beautiful:1,love:1,truth:1,true:1,please:1		love:1		10
fuck:2,rebel:1				men:3,boy:1,girl:1	whores:2	better:1,darling:1,kindness:1,loyal:1,nice:1	lord:1	whores:2,fuck:2,virgins:1	fuck:2	11
enemies:2,enemy:1,liar:1,destroy:1,kill:1,killed:1,fight:1	kill:1,killed:1	uncle:1,brothers:1		lady:1	enemies:2,enemy:1,liar:1,destroy:1,kill:1,killed:1	save:2,loyal:1,strength:1,agree:1,friend:1,good:1	lord:1			12
idiot:1,liar:1,killed:1	killed:1,alive:1		room:1	lady:1	idiot:1,liar:1,killed:1	like:2,love:1,friend:1,truth:1,played:1		love:1		13
war:1	war:1	daughters:1	door:1		war:1	easier:1				14
fighting:1		sister:1		ladies:1,lady:1,girl:1		sweet:1,play:1,playing:1,hoping:1				15
hate:2,liar:2,kill:1	kill:1	married:1		boy:1	liar:2,kill:1,wrong:1	darling:1,well:1,like:1,truly:1				16
dangerous:1,hate:1,war:1,fight:1	war:1	sister:2			war:1	better:1,won:1				17
hated:1,hate:1,liars:1	die:1			boy:1,children:1,child:1	scary:1,liars:1	favorites:3,sweet:1	lord:1			18
smothered:1	death:1,dead:1			babies:1,women:1	wept:1,smothered:1	like:1,freeze:1	lord:1			19
	dead:2					true:1				20
				lady:4	wrong:1	welcome:1				21
				lady:2,people:1	lost:1	dear:1,blessing:1,friend:1,truly:1	lord:1,blessing:1			22
				man:1	lost:1	well:2,like:1				23
bastard:1	dead:1			boys:1		likes:1,like:1	lord:1		bastard:1	24
		son:1	clean:1	person:1,men:1,man:1	useless:1	charming:2,good:1,well:1	lord:2,mormont:1			25
		wife:2		man:2		funny:2,safest:1,good:1,share:1,like:1				26
bastard:1,tempers:1				man:1		interesting:1,improvement:1,care:1			bastard:1	27
hate:1		sister:2,father:2				better:1,lucky:1,like:1	lord:2			28
stupid:1,kill:1	kill:1,alive:1	brother:3,wife:1		boy:2,man:1	kill:1	like:1,won:1,calm:1,truth:1,promised:1,trust:1,true:1,friend:1,thanks:1	lord:1			29
war:2,lying:1,kill:1,cunt:1	war:2,kill:1	father:1,husband:1		boy:2,child:1,people:1	war:2,kill:1,lying:1	won:1,like:1			cunt:1,bloody:1	30
dangerous:2,temper:2,enemies:1,killed:1	killed:1			girls:1,man:1	killed:1,enemies:1	good:1,hope:1,loves:1		loves:1		31
										32
battle:1,dumb:1,rebellion:1				boy:1	dumb:1	strong:1,grace:1,lucky:1		breastplate:1	dumb:1	33
stupid:2,battle:1,shit:1,piss:1		sons:1,wife:1		boy:1,boys:1	shit:1	like:1,smart:1			shit:1,piss:1	34
		cousin:1			empty:3,smug:1	pride:1,grace:1,satisfied:1				35
cut:1,fighter:1,fucks:1,killed:1,kill:1,mad:1,shits:1,war:1	kill:1,war:1,killed:1	son:1,brotherhood:1	door:1	men:1	shits:1,kill:1,mad:1,killed:1,war:1	glorified:1,good:1,like:1,best:1		fucks:1	shits:1,fucks:1	36
						grace:1				37
fight:2,ugly:1,insulted:1				men:1,women:1	weak:1,insulted:1	good:1,like:1,easy:1				38
savages:1	dead:1				sluts:1,savages:1		lord:1	sluts:1		39
kill:1	kill:1	brother:1			kill:1,hurt:1	please:2,respect:1	mormont:1			40
										41
										42
										43
				man:1	disturbing:1	better:2,kind:2,ready:1,won:1				44
				girls:1		glory:2,better:1,eager:1,joking:1	lord:1			45
	die:2			boys:1,men:1		enjoy:1,funny:1,good:1,like:1,joke:1,peace:1,enjoying:1,comfort:1,hope:1	lords:1			46
offend:1,kill:1	kill:1	brother:1			kill:1	great:2,admiration:2,giving:1,sure:1,like:1				47
		brother:1				enjoy:1,well:1,warm:1,share:1,like:1	lord:1			48
weapon:1				man:2	weapon:1	good:2,easier:1				49
	alive:1			man:3		great:1,won:1,true:1,honor:1,advantage:1				50
				baby:1,boys:1		true:1				51
					worry:1	easy:1	lord:1			52
lies:1,kill:1	kill:1	sister:1		boys:1,men:1,man:1	lies:1,kill:1					53
						ready:1				54
		brother:1	beds:1			better:1,rich:1,care:1	lord:1			55
				boy:2	wrong:1	strong:1				56
battle:1				boy:2,girl:2		good:1,delicate:1				57
	die:1			men:1,child:1						58
	dead:3									59
