anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk
0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	2
0	1	0	0	0	0	1	0	0	0	3
0	0	0	0	0	0	0	0	0	0	4
0	0	0	0	0	0	0	0	0	0	5
2	0	0	0	1	2	1	0	0	0	6
1	1	1	0	0	2	7	0	0	0	7
3	3	1	0	2	3	3	0	0	0	8
2	2	1	0	4	1	5	0	0	1	9
4	2	0	0	3	2	4	1	0	2	10
0	0	1	0	0	0	1	1	0	0	11
0	0	1	0	2	0	1	1	0	0	12
3	0	0	0	1	0	0	0	0	0	13
1	2	0	0	1	0	0	1	0	0	14
1	1	2	1	0	1	0	0	0	0	15
4	1	3	1	2	4	9	0	0	0	16
0	0	5	0	5	1	5	0	2	0	17
3	0	1	0	1	3	5	0	0	0	18
2	1	0	1	3	2	3	2	0	0	19
0	0	0	0	0	1	4	0	0	0	20
1	0	0	0	0	0	0	0	0	0	21
0	2	1	0	0	0	1	0	0	0	22
2	2	3	0	2	4	7	0	0	0	23
1	1	1	0	2	2	3	0	0	0	24
0	2	0	0	0	1	6	0	0	0	25
2	1	0	0	1	0	3	0	2	0	26
1	1	2	0	0	1	5	0	0	0	27
0	1	2	1	0	0	3	0	0	0	28
0	0	0	0	0	0	7	0	0	0	29
2	1	3	3	0	3	3	0	1	0	30
3	0	2	2	0	1	2	0	0	1	31
1	0	4	1	0	0	4	1	0	0	32
4	1	4	1	2	3	1	0	2	0	33
0	0	0	1	1	2	1	1	1	0	34
0	0	0	0	1	1	9	1	0	0	35
1	1	2	2	2	1	3	1	0	0	36
0	0	1	0	1	0	3	0	0	0	37
0	0	0	0	1	0	2	0	0	0	38
1	0	0	0	2	0	3	0	0	0	39
2	0	0	0	0	0	5	0	0	0	40
3	3	0	0	2	1	5	0	0	0	41
5	1	0	0	3	4	2	1	0	0	42
2	2	3	0	2	2	3	2	0	0	43
0	0	0	0	3	0	1	0	0	0	44
1	1	3	0	2	1	2	0	0	0	45
0	0	3	1	0	1	4	0	0	0	46
0	0	0	0	3	0	10	0	0	0	47
1	0	1	0	0	1	7	0	0	0	48
1	0	2	1	2	0	8	1	0	0	49
0	0	0	0	0	0	0	0	0	0	50
0	1	0	0	2	0	2	0	0	0	51
0	1	0	0	2	0	3	0	1	0	52
2	2	3	0	3	3	3	0	0	0	53
0	1	0	0	4	0	4	0	0	0	54
1	1	0	0	1	0	3	0	0	0	55
0	0	0	0	1	0	1	0	0	0	56
1	1	2	1	0	0	1	1	0	0	57
0	0	0	0	0	0	0	0	0	0	58
0	0	0	0	0	0	0	0	0	0	59
