	anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear
0	{}	{'blood': 1, 'returning': 1}	{'king': 3, 'woman': 1, 'command': 1, 'brothers': 1, 'pardon': 1, 'make': 1, 'brothel': 1}	{}	{'woman': 1, 'command': 1, 'men': 2}	{}	{'what': 3, 'like': 1, 'shall': 2, 'had': 1, 'took': 1, 'hand': 2, 'have': 1, 'hands': 1, 'has': 2, 'grace': 1, 'charged': 1}	{}	{'thought': 1, 'hold': 1, 'honor': 2, 'who': 1, 'should': 1}	{}
1	{'hells': 1, 'hate': 1, 'war': 1}	{'die': 1, 'return': 3, 'war': 1, 'bloody': 1}	{'kingdom': 1, 'king': 2, 'brothers': 1, 'brother': 1, 'kingdoms': 1, 'matters': 2, 'command': 1, 'kingly': 1, 'man': 1}	{}	{'girl': 2, 'command': 1, 'man': 1}	{'war': 1, 'sad': 1}	{'loved': 1, 'what': 5, 'that': 4, 'true': 1, 'haired': 1, 'had': 1, 'grace': 1, 'have': 2, 'half': 1, 'fun': 1, 'winterfell': 1, 'hate': 1, 'than': 1, 'happened': 1}	{'hells': 1}	{'loved': 1, 'chose': 1, 'those': 1, 'should': 1}	{'hells': 1, 'bloody': 1}
2	{}	{}	{'mother': 1}	{}	{}	{}	{'khaleesi': 2}	{}	{}	{}
3	{'war': 2}	{'blood': 2, 'war': 2}	{'talking': 2, 'pay': 1, 'make': 1, 'march': 1, 'kingslayer': 1}	{}	{'boy': 1, 'bannermen': 1}	{'war': 2}	{'winterfell': 1, 'already': 1}	{}	{'house': 3}	{}
4	{'cut': 1}	{'woods': 1, 'blood': 1, 'dead': 1}	{'kind': 1, 'brother': 1, 'mance': 2}	{'hidden': 1}	{'boy': 1, 'mance': 2}	{'saddle': 1}	{'what': 2, 'have': 1, 'pretty': 1, 'that': 1, 'winterfell': 1, 'kind': 1}	{}	{'horse': 1, 'cock': 1}	{'cock': 1}
5	{'cut': 1, 'dwarf': 2}	{'dwarf': 2, 'alive': 1}	{'making': 2, 'man': 3, 'brother': 1, 'family': 1, 'prepared': 1}	{'family': 1}	{'man': 3}	{'dwarf': 2, 'lost': 1}	{'what': 3, 'save': 1, 'like': 1, 'have': 4}	{}	{'how': 1}	{}
6	{'fuck': 1}	{'wooden': 1, 'gods': 1, 'good': 1, 'today': 2, 'god': 1}	{}	{'wooden': 1}	{}	{}	{'happens': 2, 'good': 1, 'like': 1, 'have': 1, 'that': 1, 'shadow': 1, 'care': 1}	{}	{'how': 1, 'fuck': 1, 'else': 1}	{'fuck': 1}
7	{}	{'blood': 1}	{}	{}	{'boy': 1}	{}	{'what': 1, 'that': 1, 'haj': 4, 'won': 2, 'hope': 1, 'have': 2, 'khalakka': 4, 'has': 1, 'true': 1, 'wind': 1}	{}	{'horse': 1, 'whole': 1, 'hooves': 1, 'hope': 1}	{}
8	{}	{'today': 1}	{}	{}	{}	{'single': 1}	{'khalasar': 1, 'love': 1, 'khal': 1, 'shall': 1, 'truly': 1, 'khals': 1, 'rhaesheseres': 3, 'rhaego': 10}	{'single': 1}	{'who': 1, 'love': 1}	{}
9	{'whatever': 1}	{'bloody': 1}	{'looking': 1, 'sister': 1, 'parts': 1, 'horseparts': 1}	{}	{}	{'since': 1}	{'what': 3, 'finest': 1, 'love': 1, 'like': 1, 'that': 1, 'perhaps': 1, 'whatever': 1, 'looking': 1, 'greatest': 1, 'have': 4, 'has': 2, 'hope': 1, 'care': 1}	{'since': 1}	{'shoulders': 1, 'love': 1, 'who': 1, 'horseparts': 1, 'how': 1, 'without': 2, 'hope': 1, 'honor': 1, 'nobility': 1}	{'bloody': 1}
10	{}	{}	{'pays': 1, 'man': 1, 'smart': 1, 'son': 1}	{}	{'lady': 1, 'man': 1}	{}	{'tywin': 1, 'free': 3, 'what': 1, 'took': 1, 'have': 3}	{}	{'who': 1}	{}
