anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk
										0
										1
		family:1	family:1			luck:1				2
fought:1,cut:1,mad:1,enemies:1		father:2,sisters:1,wife:1		man:2	wrong:1,mad:1,enemies:1	great:1,good:1,fine:1,glad:1,best:1	lord:2			3
idiot:1,dumb:1,damned:1,fighting:1,rebellion:1		mother:1		man:1	idiot:1,dumb:1,whore:1	funny:1,won:1,grace:1		ass:1,whore:1	ass:1,dumb:1,damned:1	4
torturing:1,piss:1				man:2,boy:1,men:1	hurting:1,risk:1	joke:1,like:1,grace:1,win:1		breastplate:2	piss:1	5
idiot:1,shits:1		father:1		boy:1,people:1	idiot:1,shits:1	inspiring:1,good:1,thank:1			shits:1,bloody:1	6
						thank:1				7
	die:1		houses:1	girl:1	hurt:1	pleasure:1,well:1,friend:1				8
tricks:1					shame:1	honor:2,friend:2,nice:1	lord:1			9
										10
						wise:1				11
kill:2,murderer:1	kill:2,murderer:1	sister:2,father:1,son:1		lady:1	kill:2,wrong:1	handsome:1,good:1,well:1,reward:1				12
	die:1			lady:1						13
fight:1				woman:2,lady:1		fine:1,like:1			bloody:1	14
fury:1,rebellions:1						good:1	lords:1			15
		family:6,mother:4	family:6,house:2,bed:1			honor:2,playing:1				16
	dies:1		home:2	boys:1	worry:1	love:1,good:1,promise:1,smart:1	lord:1	love:1		17
jealous:2				person:1	jealous:2	important:2,generous:1,good:1,like:1,surprise:1,likes:1				18
jealous:1,fucked:1,fought:1,rebelled:1		father:3,family:1,wife:1	family:1	boy:3,people:1	serious:3,jealous:1,whore:1	freedom:1,nice:1	lords:1,lord:1	fucked:1,cock:1,whore:1	fucked:1,cock:1	19
	mourn:1	son:1	doors:1		wrong:1,hurt:1	blessing:1	lord:1,blessing:1			20
				men:1	doomed:1,doom:1	trust:2,save:1,honor:1,friend:1,like:1	doomed:1,doom:1			21
poisoned:1,kill:1	kill:1			man:2,boy:1	doubt:1,kill:1	dear:1,kind:1,good:1,nicely:1,trusting:1,peace:1,friend:1	lord:1			22
bastard:1,kill:1	kill:1	son:1		man:2	kill:1,worse:1	truth:1			bastard:1	23
war:2,savages:1	war:2,die:1	son:1			war:2,savages:1	ready:1,admire:1,good:1,friend:1				24
			house:1	boy:1,boys:1,man:1	lonely:1	beauty:2,sure:1,certain:1,important:1,likes:1,pretty:1,pleasure:1,trust:1,true:1	lord:2			25
	corpses:1				difficult:1	beautiful:1				26
		wife:1	bed:1	boy:1		friends:2,dignitary:1,certain:1,well:1,fondness:1	lord:3			27
		brother:1			disturbing:1	loyalty:2,friend:2,like:1,best:1,well:1,please:1				28
lying:1,kill:1,fuck:1,pissed:1	kill:1	father:4		boy:2	kill:1,lying:1	good:1,friends:1,promised:1		fuck:1	fuck:1,pissed:1	29
