	anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear
0	{}	{'woods': 1}	{'smartest': 1, 'sister': 2, 'master': 1, 'prisoner': 2, 'make': 1, 'man': 1}	{'home': 1}	{'assignment': 1, 'lady': 1, 'man': 1}	{}	{'what': 2, 'winter': 1, 'that': 4, 'harrenhal': 1, 'value': 1, 'lucky': 1, 'better': 1, 'have': 3, 'than': 1}	{'frozen': 1}	{'biggest': 1, 'assignment': 1, 'without': 1, 'home': 1, 'should': 1}	{'assignment': 1}
1	{}	{}	{'many': 1, 'sister': 1, 'kingslayer': 1}	{}	{'many': 1}	{}	{'had': 1, 'that': 1}	{}	{'ass': 1, 'how': 1, 'horse': 1, 'those': 1, 'shove': 1}	{'ass': 1}
2	{}	{'die': 1}	{'man': 1}	{}	{'man': 1}	{}	{'that': 3, 'won': 1, 'hand': 1}	{}	{'horse': 1}	{}
3	{'cut': 1, 'made': 2}	{}	{'sister': 1, 'made': 2, 'master': 1, 'small': 1, 'parts': 1, 'man': 2}	{'confidence': 2}	{'boy': 1, 'men': 1, 'man': 2, 'boys': 1}	{'made': 2}	{'confidence': 2, 'that': 2, 'perhaps': 1, 'hooked': 1, 'what': 1, 'free': 1, 'wonderful': 1, 'chanting': 1, 'have': 2, 'hope': 1}	{}	{'thought': 1, 'how': 1, 'hooked': 1, 'birds': 1, 'hope': 1}	{}
4	{'hated': 1, 'made': 1}	{'body': 1, 'god': 1, 'die': 1}	{'made': 1, 'magic': 1, 'remained': 1, 'matter': 1, 'parts': 1, 'patience': 1, 'moment': 1, 'person': 1, 'excellent': 1, 'small': 1, 'managed': 1, 'man': 1, 'patiently': 1}	{}	{'person': 1, 'moment': 1, 'managed': 1, 'man': 1}	{'since': 1, 'made': 1}	{'what': 1, 'like': 1, 'that': 2, 'hated': 1, 'had': 1, 'chamber': 1, 'have': 3, 'than': 1, 'special': 1}	{'since': 1}	{'house': 1, 'who': 2, 'those': 1}	{}
5	{'hello': 1}	{'good': 1}	{'commander': 2, 'pardoning': 1, 'sons': 1, 'stomach': 1, 'many': 1}	{}	{'mention': 1, 'men': 1, 'commander': 2, 'many': 1}	{}	{'knowing': 1, 'what': 2, 'good': 1, 'look': 2, 'that': 2, 'had': 2, 'wonder': 1, 'have': 4, 'save': 2, 'woke': 1, 'like': 2}	{'hello': 1}	{'how': 1, 'shoveling': 3, 'honor': 1}	{'hello': 1}
6	{}	{}	{'many': 1, 'mother': 4}	{}	{'many': 1}	{}	{'save': 1, 'have': 6, 'that': 1}	{}	{'how': 3, 'hold': 1, 'climbing': 2}	{}
7	{}	{'podrick': 1, 'odd': 1, 'prodigies': 2, 'oddest': 1}	{'woman': 1, 'prepare': 1, 'talking': 1, 'apparently': 1, 'make': 1, 'brother': 1, 'son': 1, 'extraordinary': 2, 'makes': 1, 'man': 1}	{'featherbed': 1, 'featherbeds': 2}	{'boy': 1, 'woman': 1, 'lady': 1, 'men': 1, 'girls': 3, 'man': 1}	{'missing': 1, 'sad': 1, 'since': 1, 'lost': 1, 'lose': 1}	{'what': 4, 'love': 1, 'that': 3, 'spoken': 1, 'hard': 1, 'had': 2, 'hasn': 1, 'helping': 1, 'rhaenyra': 1, 'than': 1}	{'since': 1, 'missing': 1}	{'how': 1, 'love': 1, 'title': 1, 'bit': 1, 'who': 1, 'cabin': 1}	{'title': 1}
8	{'warrior': 1, 'mad': 1}	{'warrior': 1, 'good': 2, 'buried': 3, 'returned': 1}	{'macabre': 1, 'son': 1, 'sons': 1, 'uncle': 1, 'mad': 1, 'margaery': 1, 'exciting': 1, 'drinking': 2, 'king': 1, 'mothers': 1, 'remains': 1, 'taking': 1, 'married': 1, 'part': 1, 'command': 1, 'main': 1}	{'room': 1}	{'lady': 1, 'command': 1}	{'warrior': 1, 'mad': 1, 'business': 1}	{'good': 2, 'love': 1, 'elsewhere': 1, 'that': 1, 'have': 1, 'grace': 2, 'best': 1, 'like': 5, 'superior': 1, 'what': 2, 'look': 1, 'had': 1, 'than': 1, 'better': 1, 'helps': 1, 'wing': 1}	{'business': 1}	{'thought': 1, 'love': 1, 'elsewhere': 1, 'else': 1, 'shower': 1, 'how': 1, 'bit': 1, 'should': 1}	{}
9	{}	{'gods': 2, 'return': 1, 'bodies': 1}	{'pay': 1, 'make': 1, 'margaery': 7, 'king': 6}	{}	{'lady': 6, 'arrangement': 1}	{}	{'love': 1, 'shall': 1, 'spoken': 1, 'agree': 1, 'have': 2, 'greatness': 1, 'grace': 1, 'glad': 1}	{}	{'how': 1, 'thousandfold': 1, 'love': 1}	{}
