anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk
bastard:2	dead:1,slaughtered:1	daughter:1,brothers:1,son:1	houses:1	boy:1,children:1	hurt:1	clever:1,friends:1,pretty:1			bastard:2	0
murdered:1,danger:1	murdered:1,died:1	sister:2	home:2,house:1			love:1,original:1		love:1		1
										2
				child:1						3
murders:1	ghost:1,murders:1			people:1						4
						easier:1				5
punished:1						grace:2,won:1,interest:1,assured:1,comfort:1,well:1,comfortable:1	mormont:1			6
bitches:1		mother:2,uncle:1		lady:2,boy:1,women:1		better:1,good:1	lord:2		bitches:1	7
		brother:1				good:1,hope:1,beloved:1	lord:1,prayers:1			8
ridiculous:1,piss:1	die:1			boy:1,men:1,child:1	ridiculous:1,whores:1,lost:1	certain:1,charms:1	pray:1,mercy:1	whores:1	piss:1	9
	death:2	brother:2,family:1	clean:1,family:1	boy:2,children:1	disagree:1	dear:2,good:1,love:1,interested:1,hope:1		love:1		10
fighter:1			home:1	boy:1,men:1	lost:1	grace:1,beauty:1,care:1,please:1,forgive:1,handsome:1			bloody:1	11
battled:1	crypt:1	mother:1		boy:1,child:1	screamed:1	like:1,grateful:1	pray:1			12
				man:1		good:1				13
cut:1				men:1,man:1		grateful:1,good:1,thank:1,strong:1,like:1				14
						good:1,thrilling:1,thank:1,sure:1,cares:1				15
cut:1			door:1	man:1		won:1,like:1,carefully:1,careful:1,special:1,impressive:1				16
						careful:1,best:1				17
		uncle:1,brother:1				better:1				18
										19
		families:1,son:1	families:1	woman:1,men:1		honor:1				20
kill:1	die:1,kill:1				kill:1					21
		mother:1				kind:1,good:1				22
	alive:1	mother:2				great:1,promise:1,honor:1,care:1				23
			beds:1			warm:1				24
bastard:1,wars:1,fight:1	bury:1	mother:1		girl:1,women:1	wars:1	great:1,honor:1,like:1,thank:1	lord:1	tits:2	tits:2,bastard:1	25
war:1	war:1	father:1,family:1	home:1,family:1	child:2,man:1	worst:2,war:1	trust:1,good:1,bold:1				26
threat:1,kill:1,war:1,fighting:1	kill:1,war:1	sister:1		boy:1,woman:1,men:1	kill:1,war:1	loved:1		loved:1		27
										28
rapers:1		brothers:1,family:1	family:1		doubt:1	impressed:1,lovely:1		rapers:1		29
killed:2,trick:1	killed:2,die:1	brother:2,nephew:1,sister:1,married:1,father:1	house:1		killed:2	honor:1,agree:1				30
bastard:2		brother:1,brothers:1		boy:2		nicely:1,well:1,like:1,smart:1			bastard:2	31
				lady:1		better:1				32
dangerous:1	die:1	mother:1	room:1	lady:2	wrong:1	care:2,good:1	lord:2			33
	dead:1		windows:1			please:1	mercy:1			34
										35
kill:1	kill:1	wife:1		men:1	kill:1	brave:1				36
		brother:1,mother:1	house:1	men:2,man:1		happy:3,pleasure:1,like:1				37
						welcome:1				38
										39
war:3,murder:2,kill:1,battle:1,weapon:1,killer:1	war:3,murder:2,killer:1,kill:1	brother:1	home:1	boy:1,child:1,lady:1,man:1	war:3,weapon:1,killer:1,kill:1	easily:1,sure:1,truth:1,innocent:1,fine:1,loyalty:1	lord:1			40
dangerous:1		mother:1		woman:1		party:1,attracts:1,trust:1	prayed:1			41
				man:1		love:1		love:1		42
bitch:1,enemies:1				men:2,woman:1,man:1	enemies:1	like:4,interesting:1,well:1			bitch:1	43
						good:1,love:1,like:1		love:1		44
										45
										46
offended:1				girl:1	shake:1					47
damn:1,mad:1	executioner:1			lady:3	upset:1,mad:1,scaring:1	sweet:1,won:1,well:1,like:1			damn:1	48
		sister:1,father:1		boy:3	worry:1	safe:1,friend:1	lord:1			49
bitch:1,cunt:1		sister:1		boy:2,lady:1	hurt:1	good:1,won:1	lord:2		bitch:1,cunt:1	50
						please:1				51
kill:1	kill:1				kill:1					52
attacked:1		daughter:1,son:1		girl:2,boy:1,woman:1	hurt:1		lord:2			53
liar:1,attacked:1		daughter:1	bed:1	boy:1,child:1	hurting:1,liar:1	true:2,darling:1	hells:1			54
liar:7,damn:1,punished:1,fight:1		daughter:1,son:1		girl:1,children:1	liar:7	gladly:1,great:1,grace:1			damn:1	55
damned:1,savaged:1		son:1	pet:1	lady:5	savaged:1	please:2,grace:2,happier:1,good:1			damned:1	56
trick:1			rooms:1	girls:1		better:1,grace:1,honor:1				57
				boy:1						58
										59
