anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1
1	0	0	0	1	1	5	2	1	0	2
1	0	2	0	4	0	9	1	0	0	3
3	3	3	0	3	2	7	3	0	0	4
1	1	3	0	0	0	4	1	0	1	5
0	0	2	0	0	1	3	1	0	0	6
0	0	2	1	2	0	3	1	0	0	7
1	2	3	0	2	0	5	2	0	1	8
0	0	1	0	0	0	2	0	0	0	9
2	0	6	2	1	0	4	4	0	1	10
1	2	3	0	3	0	4	0	0	0	11
0	0	3	1	0	0	4	2	0	0	12
1	2	0	0	4	1	2	1	0	1	13
2	0	0	0	0	0	3	1	0	2	14
1	1	1	0	0	1	1	0	0	0	15
0	0	2	0	1	0	7	1	0	0	16
1	0	2	0	0	0	0	0	0	0	17
0	0	0	0	0	0	1	0	0	0	18
0	1	5	0	5	0	8	2	4	0	19
2	0	2	0	3	1	3	0	0	1	20
2	2	7	2	2	3	0	0	0	0	21
0	0	0	0	0	0	0	0	0	0	22
0	0	0	0	0	0	0	0	0	0	23
2	0	0	0	1	2	3	1	0	0	24
7	3	2	0	1	3	4	0	1	1	25
1	0	0	0	0	0	3	1	0	1	26
1	1	4	1	1	0	7	0	1	1	27
0	0	0	0	1	1	3	0	0	0	28
0	1	0	0	0	0	2	0	0	0	29
2	2	1	0	2	0	9	0	1	0	30
0	0	0	0	0	0	0	0	0	0	31
0	1	0	1	0	0	4	0	0	0	32
3	6	0	0	0	4	1	0	0	0	33
0	1	0	0	1	0	0	0	0	0	34
0	0	0	0	0	0	2	0	0	0	35
0	0	0	0	2	2	0	0	0	0	36
1	0	0	0	1	1	4	0	0	1	37
3	1	2	0	2	4	6	0	0	0	38
1	0	3	1	1	2	6	0	3	0	39
2	0	3	0	2	2	2	0	0	1	40
0	0	3	0	1	2	6	2	1	0	41
2	0	1	1	3	3	5	1	1	1	42
2	0	6	0	4	2	4	1	4	0	43
4	1	0	1	3	3	2	0	4	0	44
1	3	0	0	0	2	0	0	0	0	45
0	0	1	0	1	2	2	0	0	0	46
2	0	0	0	6	1	0	0	0	1	47
0	2	0	0	1	1	5	0	0	0	48
0	0	0	0	3	0	0	0	0	0	49
6	4	3	0	3	5	1	0	0	0	50
0	2	2	0	2	0	5	1	0	0	51
3	1	0	0	0	1	1	0	0	2	52
0	0	0	0	0	0	0	0	0	0	53
0	0	0	0	0	0	0	0	0	0	54
1	1	1	0	2	0	4	4	0	0	55
0	0	0	0	2	1	4	4	0	0	56
0	0	4	0	2	0	0	2	0	0	57
0	0	1	0	0	0	0	0	0	0	58
0	0	0	0	0	0	0	0	0	0	59
