anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk
kill:2,bitch:1,mad:1,killing:1	kill:2,killing:1	father:1	gate:1,bed:1		kill:2,reject:1,mad:1,killing:1	share:1,won:1,please:1,well:1	mercy:1		bitch:1	0
kill:1	kill:1	nephew:1,mother:1		boy:1	kill:1	safe:1,won:1,original:1	sacrifice:1			1
										2
										3
										4
punish:1,kill:1	death:2,kill:1	daughter:2		people:2,lady:1	ignore:1,kill:1	laughing:3,perfect:1,certain:1,like:1	lord:4,demon:2,monkey:2	pervert:2,perversions:1		5
angry:2,cut:1,killed:1	killed:1	sister:1,father:1	bed:2,room:1,mattress:1	lady:3	killed:1	won:1,well:1	lord:3			6
bitch:1	dead:1	aunt:1,brothers:1,mother:1		lady:1		joke:1,well:1,thank:1,fine:1,grace:1	lord:1		bitch:1	7
war:2,threats:1,punish:1,dangerous:1,bitter:1,killed:1	war:2,dying:1,killed:1	father:1		man:2	war:2,killed:1	won:2,sure:1,true:1,like:1	lord:1			8
						grand:1				9
battle:1,blame:1,cheating:1,war:1	war:1,slaughter:1		bed:1	man:3	risked:1,war:1,lost:1	credit:1,brave:1,assurances:1,certain:1				10
battle:1,murdered:1,kill:1,war:1	dead:2,murdered:1,kill:1,war:1	son:1,brother:1,family:1,mother:1	family:1	men:2	ruin:1,kill:1,war:1	save:1,good:1				11
rape:1		family:4,sons:1,daughters:1	family:4,house:2	girl:1,man:1	selfish:1	easy:3,good:2,amuse:1,bright:1,better:1,benefit:1,interest:1,devotion:1	preach:1	rape:1,pregnant:1		12
		son:1								13
angry:1,killed:1	killed:1	son:1			killed:1,empty:1	liked:1				14
battle:1,killer:1,murder:1,killed:1	killer:1,murder:1,killed:1	son:2		men:1,babies:1	killer:1,killed:1	liked:1,forgive:1				15
bitch:1,torture:1	dead:3	married:1,daughter:1,grandson:1,son:1		girl:2,man:1,people:1		better:1,laughed:1	lord:1,lords:1		bitch:1	16
bastard:1,stupid:1,war:1,arrogant:1,killed:1	war:1,killed:1			boy:2	ignored:1,ruins:1,war:1,killed:1	well:1			bastard:1	17
savage:1,lying:1				girls:2,people:1	savage:1,lying:1	well:2,good:1		cock:2,naked:1	cock:2	18
kill:3	kill:3,dead:1	father:1,mother:1			kill:3	jokes:1,good:1				19
						good:1,please:1,like:1	lord:2			20
										21
kill:1	ghost:1,kill:1,dead:1	brother:6	window:1		kill:1,hurt:1					22
	death:1,alive:1,dead:1					safest:1,safe:1,well:1				23
shit:1			home:1		shit:1	please:1	lord:1		shit:1	24
		son:1			dreadfort:1	favorite:1,special:1	lord:1			25
killers:1	killers:1	son:3,brother:1		boy:1,man:1	killers:1	strongholds:1,best:1				26
killed:1,killing:1	killing:1,buried:1,killed:1	brother:1	home:1	baby:1	dreadfort:1,killed:1,weeping:1,killing:1	well:1				27
	dead:1			men:1		lucky:1				28
				people:1		better:1,great:1,sure:1,like:1				29
shit:1			door:1	woman:2,boys:1,people:1	shit:1	great:1,trust:1,friend:1			shit:1	30
shit:1		son:1	door:1	man:1	shit:1,difficult:1	better:1,rewarded:1,accept:1	lord:2,lordship:1		shit:1	31
	die:1,dead:1	mother:1,father:1,wife:1		child:2		better:1,good:1,friend:1,sure:1				32
kill:1	kill:1	family:2,son:1	family:2	girl:2	kill:1,empty:1	beautiful:1,sweet:1,love:1,easier:1,wealth:1	lord:1	love:1		33
	alive:1		house:2,home:2	lady:1,people:1		love:2,true:2,better:1,good:1,beauty:1		love:2		34
		married:1,wife:1				easy:2,enjoying:1,careful:1,best:1,friend:1	lord:2			35
	alive:1	father:1	window:1	children:2,person:1,child:1	worse:1,weeping:1	better:1,won:1,happiness:1,happy:1	spirit:1			36
				babies:1		jolly:1,happy:1				37
enemy:1,enemies:1				men:1	enemy:1,enemies:1	create:1,well:1,like:1				38
fuck:2,shit:1					shit:1	kind:1,warm:1,nice:1		fuck:2	fuck:2,shit:1	39
killed:1	killed:1			man:2	killed:1	like:1				40
			home:2		hurt:1	love:2,won:1		love:2		41
				man:1		dear:1,lovely:1	lord:2			42
		wives:1		men:3,child:2		well:1				43
		son:1	clean:1			better:2,certainly:1,sure:1,thank:1,hope:1,good:1				44
bastard:1		father:2,cousin:1			dread:1	better:2,definitely:1,well:1,grace:1,like:1			bastard:1	45
attacked:1	dead:1		door:1	men:1		credit:1	lords:1			46
evil:2,punish:1,war:1,enemies:1	die:1,war:1,died:1			woman:1,men:1,man:1	wrong:1,dread:1,war:1,enemies:1	faith:2,credit:1,rewarded:1,grace:1,forgive:1	faith:2			47
bastard:1,killed:1	die:1,killed:1	nephew:1		boy:3	killed:1	great:2,good:1,true:1	sacrifice:1		bastard:1	48
trick:1				woman:1	worry:1	kind:1				49
										50
			home:1	boy:1,people:1		gently:1				51
				boy:1		good:1,innocent:1	mercy:1			52
	die:1,dead:1		house:1	men:1	doomed:1	party:1,well:1,grace:1	lord:1,doomed:1			53
war:3,lies:1,fight:1	war:3,death:1,died:1				war:3,lies:1	better:1,play:1,convince:1,true:1	lord:2			54
mock:1				people:1		ready:1,love:1,like:1,grace:1		love:1		55
										56
		mother:1		people:1	hurt:1	won:1				57
										58
										59
