anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	2
2	0	1	0	4	0	2	0	0	0	3
2	1	1	0	0	1	3	2	0	1	4
0	0	2	0	1	0	3	2	0	0	5
1	1	0	3	0	1	0	3	1	0	6
4	7	4	1	5	2	2	1	1	0	7
1	3	0	1	1	1	2	1	0	0	8
0	3	0	1	2	0	2	0	0	0	9
0	0	1	0	2	1	7	1	0	0	10
0	3	0	2	0	0	1	0	0	0	11
7	4	1	1	2	6	5	0	0	0	12
5	3	0	0	2	1	5	0	1	4	13
0	0	0	6	1	0	1	4	0	0	14
2	0	2	0	2	1	1	1	0	0	15
1	1	0	1	1	0	1	2	0	0	16
4	2	0	1	2	2	5	2	1	0	17
1	0	2	1	1	0	3	2	0	0	18
0	0	2	0	0	0	1	0	0	0	19
1	2	0	0	1	1	1	0	0	0	20
1	2	0	0	3	1	3	0	0	0	21
1	1	1	0	2	1	1	0	0	0	22
1	1	0	0	1	1	1	0	0	0	23
1	0	0	0	0	0	0	0	0	1	24
0	0	0	0	0	0	0	0	0	0	25
0	0	1	0	0	0	9	2	4	0	26
0	0	3	0	1	0	1	0	0	0	27
5	3	0	0	1	2	8	2	0	2	28
0	0	0	2	1	0	0	0	0	0	29
8	2	0	0	0	7	1	0	0	2	30
1	1	1	0	4	0	1	0	1	1	31
1	0	0	0	1	1	2	0	0	0	32
0	0	3	0	3	1	7	0	0	0	33
0	2	3	0	2	0	9	1	0	0	34
2	1	1	0	0	0	3	0	0	0	35
1	0	0	0	3	1	4	0	0	0	36
1	0	1	0	2	1	6	0	2	0	37
0	0	2	0	1	0	1	1	0	0	38
2	2	1	0	1	1	1	0	0	0	39
1	0	1	1	3	3	3	3	1	0	40
0	0	0	0	1	0	0	3	0	0	41
0	0	0	0	5	0	1	0	0	0	42
0	0	0	0	0	0	6	0	0	0	43
2	0	3	0	5	2	5	0	0	0	44
0	0	2	0	2	0	4	0	0	0	45
0	0	1	0	3	0	6	0	0	0	46
1	1	1	0	1	1	1	0	0	0	47
0	1	0	0	0	0	3	0	0	0	48
1	0	0	0	0	0	2	0	0	0	49
1	3	1	0	1	3	5	0	1	0	50
7	2	1	0	2	7	6	1	0	1	51
1	0	0	0	1	1	4	1	0	0	52
4	2	0	0	2	2	4	0	0	0	53
1	1	0	0	3	3	3	0	0	0	54
0	0	0	0	0	0	1	0	0	0	55
1	0	0	0	1	1	6	0	1	0	56
0	0	0	1	1	0	1	0	0	0	57
0	0	0	0	0	0	0	0	0	0	58
0	0	0	0	0	0	0	0	0	0	59
