anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk
war:1	war:1	father:2,brother:2,daughters:2,marries:1,sons:1,cousins:1,wives:1		boys:1,man:1,boy:1	losing:1,war:1,loses:1	peace:1	lord:1	incest:1		0
bastard:1,fought:1,bastards:1,disgusting:1		father:3,uncle:1,son:1		men:2,children:1	disgusting:1	trustworthy:1,won:1,well:1,original:1			bastard:1,bastards:1	1
										2
										3
				man:5,boy:3		okay:1,ready:1,friends:1,lovely:1,forgiveness:1,honor:1,friend:1				4
stupid:1,fuck:1,shit:1			home:1	boy:1	scare:2,shit:1	nicely:1,courage:1,free:1		fuck:1	fuck:1,shit:1,bloody:1	5
				people:1	low:1,worry:1	funny:1,well:1			arse:1	6
bastard:1	die:1		home:2	boy:2,men:1		good:1,reward:1			bastard:1	7
battle:1		father:1	kitchens:1			lovely:1,friend:1,bravery:1	lord:1,belief:1			8
		father:1		men:1	disadvantages:1	friends:3,good:2,like:1,welcome:1,brighter:1,important:1,glad:1,easy:1,dear:1,friend:1,best:1,likes:1	lord:3			9
threats:1,threatened:1,threaten:1				man:1	disappointed:1	played:1,honor:1,free:1,like:1	lord:2			10
		cousin:2,father:2,brother:1				grace:3,faith:1,good:1,safe:1,perfected:1	spirit:2,faith:1			11
lies:1,kill:1,attacked:1,war:1,fighting:1,killing:1	dead:3,kill:1,war:1,killing:1			men:3,man:2,people:1	lies:1,kill:1,war:1,lost:1,killing:1		lord:1,mormont:1			12
greedy:1	die:1,died:1	mother:1,wives:1	bed:1	woman:1,men:1,man:1	serious:1,shook:1	dignity:1,confidence:1,brave:1,blessed:1,like:1	blessed:1			13
						well:2,sure:1,nice:1				14
	ghost:2	daughters:1			hurt:1	sure:1,brave:1				15
cruel:2,mad:2				boy:2,baby:1	mad:2,risk:1,lose:1	please:2,won:1	lord:1	pregnant:1		16
				baby:1,person:1,girl:1			mormont:1			17
										18
				woman:1		like:2				19
										20
		father:1		child:1		like:1	lord:1			21
blame:1,rapers:1		father:2		men:2,women:1		better:1,smiling:1,trust:1,love:1,excited:1		rapers:1,love:1		22
punish:1		wives:2,father:1,wife:1		women:1	whore:1	good:1		whore:1		23
						sincerest:1,good:1,friend:1,please:1,accept:1,care:1				24
killed:1	killed:1			baby:1	killed:1,hurt:1	grace:1	lord:2			25
			house:1,houses:1	baby:1,girl:1,girls:1	sad:1	like:2,pleasure:2,beautiful:1,kind:1,lovely:1,intelligent:1,happy:1				26
hate:1				men:2,girl:1	losses:2,sad:1	happy:2,lovely:1,definitely:1,succeeded:1,wealthy:1				27
damn:1	mourn:1			boy:1,child:1		happy:2,good:1	lord:2		damn:1	28
bastards:2,murder:1,jealous:1,nasty:1,wars:1,killing:1	murder:1,killing:1	sister:2,brother:1		woman:1,babies:1,people:1	jealous:1,wars:1,killing:1	fine:2,peace:2,better:1,good:1,please:1,sure:1	lord:2		bastards:2	29
war:1	war:1,slaughtered:1	father:1	room:1	men:2,children:1,man:1	war:1	loyalty:2,honor:2,better:1,like:1,interest:1,appreciate:1,friend:1	lord:1			30
brutal:1				men:1		safe:2,enjoy:1,beautiful:1,well:1,surprisingly:1,hope:1,friends:1,friend:1	lord:1			31
murder:1	murder:1	mother:1		boys:1,infant:1,girl:1		friends:2	lord:1	breast:1		32
