anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk
						playing:1				0
										1
			house:1	men:2		courage:1,strength:1	lord:1			2
						grace:2,special:1				3
	mourn:1	husband:1				grace:3,like:1				4
				boy:3,child:1	shocked:3	love:2,easily:1,good:1,grace:1		love:2		5
		father:1,mother:1		man:1		great:1,interested:1,well:1,honor:1				6
murdered:1	murdered:1,dead:1	sister:1,sons:1,father:1,mother:1				liked:1,won:1,grace:1				7
fighting:2,wars:1	dead:1	sons:1	houses:2,gates:1	men:2	wars:1	win:1,grace:1				8
revenge:1					revenge:1	wise:1,freedmen:1,please:1				9
bastard:1		mother:1		boy:2	vulnerable:1	trust:1,well:1			bastard:1	10
						freed:1				11
attack:1	slaughtered:1		gate:2	men:2,girls:1		enjoy:1,kind:1,like:1,rich:1	lords:1		bloody:1	12
		niece:1	gate:1	man:1		strengths:1,wisely:1,welcome:1	lord:2		bloody:1	13
		uncle:2		lady:2,boy:1,child:1		beautiful:2,pleasure:1	lord:2			14
killed:2,destroy:1,poison:1	killed:2	father:2,mother:2,mummy:1,aunt:1,brother:1	door:1	baby:1,man:1	killed:2,destroy:1	wonderful:1,like:1				15
		cousin:1,uncle:1,son:1				pleasure:1,good:1	lord:1			16
	alive:1,died:1	wife:2,married:1,husband:1				like:2,trust:1,trusted:1	lords:1,lord:1			17
		husband:1	bathe:1							18
	mourn:2	husband:2,brother:1			scream:2	love:1		love:1		19
wars:1		husband:1		people:1	wars:1	trust:3,like:3,true:1,rich:1				20
				people:1		well:1,best:1	temple:1			21
cheat:1		brothers:1,family:1,mother:1	family:1			sure:1,respect:1,great:1,good:1,strong:1	temple:2			22
wars:1		family:1	family:1	woman:1	wars:1	respect:1				23
fucking:1,kill:1,hate:1,fuck:1	kill:1	brother:1		person:2	kill:1	better:1,good:1		fucking:1,fuck:1	fucking:1,fuck:1	24
		mother:1,daughter:1,grandfather:1		men:1	doomed:1	sweet:2,important:1,thank:1	doomed:1			25
		father:3,married:1,mother:1		people:1		enjoy:1,liked:1,good:1,like:1,delicious:1,cares:1,kind:1				26
cruel:1,murder:1,killed:1,arrogant:1	murder:1,killed:1	mother:3,uncle:2,daughter:1,family:1,married:1,aunt:1	family:1	woman:1	risking:1,whores:1,killed:1	loved:4,love:1,loves:1,well:1,lucky:1,grateful:1,save:1,handsome:1		loved:4,love:1,whores:1,loves:1		27
stupid:3,vile:2,liar:1		aunt:2		girl:1	vile:2,hurting:1,liar:1	pretty:1,loves:1,truth:1	lord:1	virgin:2,loves:1,pregnant:1		28
murdering:1	murdering:1			lady:2		pleasant:1,free:1	lord:1			29
		brother:1		lady:4		good:1,well:1,free:1				30
hell:1,kill:1	die:1,kill:1				kill:1	like:1	hell:1		hell:1	31
killed:2,bastard:1,cunt:1,fighting:1,fucking:1,shite:1,fight:1	killed:2,dead:1			boy:1	killed:2,shite:1,whore:1			fucking:1,whore:1	fucking:1,bastard:1,shite:1,cunt:1	32
fucking:1	dead:2					friend:2,friends:1,like:1		fucking:1	fucking:1	33
		daughters:2,sister:1	gardens:1		difficult:1,sad:1	beautiful:1,good:1,well:1,grace:1				34
angry:1,stupid:1,fighter:1,murdered:1	murdered:1,alive:1	son:2,sister:1,daughter:1		man:2	sad:1,difficult:1	love:2,save:2,jokes:1,good:1,truth:1,brilliant:1,joke:1		love:2		35
		daughter:1	gardens:1	girls:3	hurt:2	laughing:1,happy:1				36
		mother:1				please:1,best:1,loves:1	hells:1	loves:1		37
				lady:3		helping:1,thank:1	lord:1			38
kill:2,killed:1	kill:2,killed:1		clean:1	man:1	kill:2,killed:1		lord:3			39
ridiculous:1					ridiculous:1				bloody:1	40
piss:1				girl:1		freezing:1			piss:1	41
										42
						great:1				43
		brothers:1		men:1		like:1,care:1				44
				girl:1		better:1,liked:1,please:1				45
		sister:1,daddy:1		girl:1		please:4,like:3,pretty:2				46
		sister:2				fine:2,helpful:1				47
	die:1,bury:1									48
idiot:1,cut:1				boy:1,lady:1	idiot:1	party:1,friends:1	lord:1			49
										50
cut:2		brother:1				won:1,free:1				51
				men:1		free:3,good:1	lord:1			52
fight:2				man:1		like:1,honor:1				53
					wrong:1	honor:1				54
	dead:1	brothers:1		man:1	lost:1		hells:1			55
				boy:1			hells:1			56
	dead:1	brother:1			worse:3	safe:2,respect:1				57
										58
										59
