anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk
2	2	3	1	1	1	4	0	0	0	0
1	1	0	1	2	3	1	0	1	0	1
0	0	0	0	0	0	1	0	0	0	2
0	0	0	0	0	0	0	0	0	0	3
0	0	0	0	0	0	0	0	0	0	4
0	0	0	0	0	0	1	0	0	0	5
2	1	1	1	0	3	7	1	0	0	6
0	1	0	2	2	0	7	2	1	2	7
1	0	2	1	2	0	2	0	1	1	8
2	0	0	2	1	1	7	0	0	1	9
0	0	2	2	2	0	9	3	0	0	10
2	1	0	0	1	1	2	1	1	1	11
0	0	0	0	2	0	10	1	0	0	12
1	0	0	0	3	1	0	2	1	1	13
0	0	0	0	0	3	5	2	1	0	14
1	0	0	1	2	0	3	0	0	0	15
2	2	2	0	3	2	3	0	1	0	16
2	0	6	1	1	2	5	0	2	0	17
4	3	6	0	2	3	2	0	1	0	18
0	0	1	0	0	0	0	0	0	0	19
0	0	1	0	0	0	0	0	0	0	20
0	0	0	0	0	1	4	0	0	0	21
2	0	0	0	1	0	5	0	0	0	22
0	0	2	0	2	0	2	0	1	0	23
1	1	5	1	3	0	5	0	0	0	24
0	0	1	0	1	0	4	3	0	0	25
6	3	4	1	2	2	6	0	2	0	26
0	0	0	0	0	0	4	0	1	0	27
1	0	0	0	1	1	8	0	0	0	28
2	3	5	1	0	1	4	0	0	1	29
1	1	0	0	1	0	3	0	0	0	30
2	1	0	0	3	2	2	0	0	0	31
2	0	0	0	0	0	1	0	1	1	32
0	0	0	0	1	3	4	0	0	0	33
1	1	1	0	0	1	2	0	0	0	34
5	2	0	0	2	2	4	0	1	0	35
3	4	3	0	5	2	4	0	0	1	36
6	2	0	0	1	3	2	0	0	0	37
1	0	0	0	2	0	6	0	0	1	38
1	1	2	0	2	2	7	0	0	0	39
1	0	1	0	3	0	2	0	0	0	40
2	2	1	0	2	2	8	1	1	0	41
1	0	1	0	1	0	5	0	0	0	42
0	1	0	1	0	1	7	0	0	0	43
1	0	0	0	2	0	5	0	0	0	44
0	2	0	0	1	0	1	0	0	0	45
1	4	3	0	1	1	8	0	1	1	46
0	0	0	0	0	0	1	0	0	0	47
0	0	2	2	0	1	6	0	0	0	48
0	0	0	0	2	0	2	0	0	0	49
2	3	3	1	3	2	5	0	0	0	50
4	2	1	0	2	2	4	0	1	2	51
0	0	0	0	1	0	2	0	0	0	52
7	2	1	0	1	2	8	0	0	0	53
2	0	1	0	0	0	4	0	1	1	54
0	0	0	0	1	1	2	0	0	0	55
2	1	0	1	0	0	0	0	1	2	56
0	0	0	0	0	0	0	0	0	0	57
0	0	0	0	1	1	1	0	0	0	58
0	0	0	0	0	0	0	0	0	0	59
