	anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear
18	{}	{}	{'nobleman': 1, 'handmaiden': 1, 'mace': 1, 'mastered': 1, 'imagine': 1, 'apart': 1}	{'ridden': 1, 'handmaiden': 1}	{'nobleman': 1, 'desired': 1, 'lady': 1}	{'sing': 1, 'worst': 1}	{'what': 1, 'like': 1, 'that': 2, 'had': 1, 'better': 1, 'handmaiden': 1, 'have': 1, 'shae': 2, 'pretty': 1, 'treated': 1, 'grace': 3}	{'sing': 1}	{'how': 2, 'horse': 1, 'without': 1}	{}
19	{'coward': 1, 'mocked': 1, 'lied': 1}	{'coward': 1, 'good': 1, 'alive': 1}	{'may': 2, 'maybe': 1, 'king': 1}	{}	{'battlements': 1, 'children': 1, 'women': 1}	{'coward': 1, 'lied': 1}	{'better': 1, 'what': 2, 'good': 1, 'have': 1, 'chambers': 1, 'has': 1, 'grace': 2}	{'morale': 1}	{}	{}
20	{'fuck': 4, 'dwarf': 1}	{'dwarf': 1}	{'kingsguard': 2, 'command': 1, 'king': 2}	{}	{'men': 1, 'command': 1}	{'dwarf': 1, 'lost': 1}	{'wine': 1, 'half': 1}	{}	{'fuck': 4}	{'fuck': 4}
21	{'forward': 2}	{'forward': 2}	{'king': 1, 'exactly': 1, 'uncle': 1, 'mandon': 1, 'mother': 1}	{}	{'myself': 1, 'men': 1, 'battlements': 1, 'mandon': 1}	{'forward': 2, 'business': 1}	{'what': 2, 'has': 1, 'grace': 2, 'have': 2, 'won': 1}	{'business': 1}	{'hold': 1, 'who': 1, 'should': 1}	{}
22	{'fuck': 1}	{'pod': 1}	{'king': 3, 'mandon': 1, 'talking': 1, 'make': 1, 'knocking': 1, 'kingdoms': 1, 'man': 1}	{}	{'men': 3, 'mandon': 1, 'man': 1, 'women': 1}	{'lost': 1}	{'what': 2, 'won': 1, 'glory': 1, 'that': 2, 'half': 1, 'grace': 1}	{}	{'houses': 1, 'asses': 1, 'show': 1, 'who': 2, 'fuck': 1, 'those': 1, 'honor': 1}	{'asses': 1, 'fuck': 1}
23	{'rallied': 1, 'war': 2, 'raping': 1}	{'war': 2, 'goodbye': 1}	{'son': 1, 'king': 1, 'sons': 2, 'panic': 1, 'mother': 1}	{}	{'lady': 1}	{'rallied': 1, 'sing': 1, 'war': 2, 'lost': 1}	{'what': 2, 'save': 3, 'have': 1, 'shall': 1, 'gentle': 2, 'won': 1, 'goodbye': 1, 'chamber': 1, 'has': 1, 'care': 1}	{'sing': 1, 'mercy': 1}	{'raping': 1}	{}
24	{}	{'die': 1}	{'looking': 1, 'king': 1, 'sons': 1, 'brother': 1}	{'home': 1}	{}	{}	{'better': 1, 'what': 1, 'look': 1, 'that': 1, 'looking': 1, 'won': 3, 'winterfell': 1, 'fine': 1}	{}	{'home': 1, 'bird': 1, 'those': 1}	{}
25	{'fuck': 1}	{}	{'halfman': 8, 'mother': 1}	{}	{'halfman': 8}	{}	{'sweet': 1, 'halfman': 8}	{}	{'fuck': 1}	{'fuck': 1}
26	{}	{'kingswood': 2, 'woods': 2}	{'king': 1, 'kingswood': 2, 'mother': 3, 'son': 1}	{}	{}	{}	{'loved': 1, 'what': 1, 'love': 2, 'like': 4, 'that': 1}	{}	{'loved': 1, 'grass': 1, 'love': 2, 'birds': 1, 'howling': 1}	{'grass': 1}
27	{}	{}	{}	{}	{}	{}	{'won': 1, 'spoke': 2, 'have': 1, 'that': 3, 'sharp': 2, 'has': 1, 'hall': 2}	{'soul': 1}	{'who': 1}	{}
