anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk	season	episode
				boy:1		love:1		how:1,love:1		59	1	1
madness:1	dead:1	king:3,madness:1,brothers:1,talking:1,maybe:1,son:1		boy:1,children:1	madness:1	what:2,have:2,pretty:1,that:1,winterfell:1,has:1,hand:1		houses:1		0	1	2
whatever:1	died:1	king:2,sister:2,may:1,andals:1,kingsroad:1	home:2			what:1,love:1,khal:1,whatever:1,original:1		home:2,house:1,love:1	danger:1	1	1	2
										2	1	2
				child:1						3	1	2
		pale:1				that:3,asshai:1,shadow:1,have:1		grass:4,horses:1,asshai:1,ghost:1,else:1	grass:4,asshai:1	4	1	2
						khaleesi:1,hands:1				5	1	2
		magister:1,extended:1				have:2,grace:2,what:1,won:1,that:1,has:1		hospitality:2,assured:1	assured:1	6	1	2
	good:1,today:1	looking:2,sympathies:2,mother:2,king:1,uncle:1,expected:1		lady:2,boy:1,women:1		looking:2,better:1,what:1,good:1,that:1,already:1,has:1,than:1		how:1,bitches:1		7	1	2
	good:1	brother:1				that:2,good:1,hope:1,beloved:1		hope:1,those:1,beloved:1		8	1	2
	abode:1,die:1,gods:1	maester:1,thinking:1,pain:1,may:1,taking:1,apparently:1		boy:1,men:1,child:1	lost:1	what:1,wintry:1,greatest:1,charms:1,wonder:1	mercy:1	whores:1		9	1	2
	good:1	brother:2,make:1,speaking:1,family:1	family:1	boy:2,children:1		what:1,good:1,love:1,disagree:1,have:1,has:1,hope:1,wonder:1		possibilities:1,whose:1,love:1,hope:1,how:1		10	1	2
	bloody:1		home:1	boy:1,men:1	lost:1	that:1,haired:1,took:1,have:1,hands:1,handsome:1,grace:1,care:1		home:1,show:1,how:1	bloody:1	11	1	2
	body:1,return:1	mother:1		boy:1,child:1		that:2,looked:1,like:1,have:1,perhaps:1,took:1		without:1,bird:1		12	1	2
	good:1	man:1		man:1		already:1,good:1,have:1				13	1	2
cut:1	good:1,blood:1	kingdoms:1,man:1		men:1,man:1		have:4,like:1,whatnot:1,already:1,thank:1,good:1				14	1	2
	good:1					good:1,gloves:1,thank:1,have:1,cares:1		how:1,who:1,gloves:1		15	1	2
cut:1		skinny:1,make:1,packed:1,man:1		yourself:1,man:1	close:1	have:2,poke:1,like:1,had:1,won:1,gloves:1,hack:1,carefully:1,careful:1,has:1,special:1		gloves:1,holes:1,how:1		16	1	2
						best:1,careful:1,have:1,sewing:1				17	1	2
	goodbye:1	taking:1,uncle:1,brother:1,walking:1				better:1,goodbye:1				18	1	2
										19	1	2
made:1,families:1	rode:1	son:1,woman:1,made:1		woman:1,men:1	made:1,families:1	what:2,have:2,that:2		choice:2,honor:1		20	1	2
	die:1,goodbye:1					hard:1,goodbye:1				21	1	2
	good:1	kind:1,mother:1,next:1				kind:1,good:1				22	1	2
	blood:1,alive:1	mother:2,manned:1,next:1		manned:1		have:3,great:1,care:1		thousands:1,honor:1		23	1	2
warm:1	gods:1,warm:1	kingsroad:1	beds:1		warm:1	half:2,what:1				24	1	2
aleena:1,wars:1	gods:1,bury:1,wars:1	marry:1,make:1,mother:1		girl:1,women:1	wars:1	that:3,what:2,have:2,thank:1,chances:1,had:1,great:1,looked:1,chance:1,like:1		tits:2,big:1,honor:1,should:1	tits:2	25	1	2
war:1	good:1,war:1	king:1,speaking:1,family:1,man:1	home:1,family:1	child:2,yourself:1,man:1	worst:2,war:1	that:3,what:2,have:2,already:1,perhaps:1,hard:1,good:1,sharp:1,has:1,than:1		home:1,trust:1,horselord:1,should:1		26	1	2
