anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk
										0
										1
		wife:1				grace:1				2
attacked:2		brothers:1		men:2,woman:1		peace:2,like:1,honor:1	lord:1			3
war:1,shit:1	war:1	wife:2			war:1,shit:1	honor:1,loving:1			shit:1	4
shits:1,piss:1		father:1			shits:1	fun:1,grace:1			shits:1,bloody:1,piss:1	5
hate:1,damned:1,killing:1	die:1,killing:1	brothers:1,brother:1,mother:1		girl:2,man:1	sad:1,killing:1	loved:1,true:1	hells:1	loved:1	damned:1	6
										7
					hurt:1					8
										9
war:2,attacked:1	war:2	father:3	house:2	boy:1	war:2		lord:1			10
		brother:1	house:1			pretty:1				11
piss:2,cut:1,killed:1	killed:1,dead:1			boy:1	wrong:1,killed:1	kind:1		cock:1	piss:2,cock:1	12
										13
killed:2,enemy:1,cut:1	killed:2	brother:1		man:1	killed:2,enemy:1,lost:1,hurt:1	save:1,well:1	lord:1			14
	alive:1	family:1	family:1	man:2		rich:2,like:1				15
stupid:1,fuck:1,killed:1	killed:1	father:1			killed:1,hurt:1	well:1,care:1		fuck:1	fuck:1	16
fighting:2						perfect:1,good:1,like:1				17
	death:1	father:1				hope:1	pray:1			18
enemies:1		wives:1		boy:1	weep:1,enemies:1	well:1				19
						won:2,true:1				20
				people:2		love:1		love:1		21
						truly:1				22
						love:1,wealth:1,hope:1	mormont:1	love:1		23
savages:1		sister:1			savages:1	honor:1,loyalty:1,care:1,like:1			bloody:1	24
										25
		son:1		lady:1,man:1		free:3,rich:1,smart:1				26
				lady:2,ladies:1,man:1		honest:1	confess:2,lords:1			27
vile:1,lied:1,cheated:1		uncle:1	bathing:1	girl:1,man:1	vile:1,whored:1,sins:1,lied:1	good:2,convincing:1	confess:1,sins:1	naked:1,whored:1,tits:1	tits:1	28
murder:1,confronted:1,blamed:1	murder:1	sister:2,husband:1,son:1	bed:1	man:2,boy:1		hope:1	lord:2,confessing:1			29
	executioner:1					joke:1,trust:1,enjoyed:1,freeze:1				30
bother:1		son:1	door:2			elegant:1,well:1	lord:2			31
fight:1	death:1,slaughter:1	husband:2		lady:4,man:2	shameful:1	honor:4,champion:2,agreed:1,love:1	lord:1	love:1		32
fight:1		brother:1				gladly:1,champion:1,glad:1,happy:1				33
fucked:1,enemy:1,vicious:1,fuck:1				girl:2,man:1	enemy:1,vicious:1	like:3,grace:2		fucked:1,fuck:1	fucked:1,fuck:1,bloody:1	34
fought:1,prick:1,mad:1	died:1,slaughtered:1	brother:1		boy:1,girls:1,babies:1,women:1	mad:1,whore:1	grace:2,easy:1,lucky:1,heroic:1		whore:1	prick:1	35
			homes:1	children:1,women:1		grace:1				36
cut:1		wife:1	house:2	man:2,men:1		like:1	lord:1			37
attacks:1,angry:1,mad:1,attacking:1	dead:1	wife:1	homes:1	men:1	mad:1	well:2,sure:1	lord:1			38
	death:1		house:1	men:1		better:1,shared:1,grand:1	lord:3			39
enemy:1,wars:1				man:1	enemy:1,wars:1	wins:1,richest:1,wise:1,bold:1,admirable:1	lord:1			40
attack:3,fight:1										41
										42
fight:1				man:1						43
fight:1						honor:1	mercy:1			44
			home:1	man:3						45
		mother:2		lady:1		like:3,important:1,well:1,sure:1,care:1				46
rude:1		mother:1		lady:1	rude:1	beautiful:1,like:1,care:1				47
cruel:1,rudeness:1		married:1	room:1	lady:2,ladies:1	rudeness:1	forgive:2	lords:1			48
				girls:1		popular:1,generous:1,friends:1,like:1				49
prick:1,war:1,attacked:1	war:1			lady:1,man:1	war:1		lord:2		prick:1	50
stupid:1,punishment:1	dying:1	father:1	home:1	babies:1		brave:2,please:2,gentle:2,strong:2,love:1,cares:1,good:1,safety:1	hells:1	love:1		51
idiot:1		sons:1,father:1		girls:1	idiot:1	like:2,beautiful:1				52
							lord:1			53
		sister:1			whore:1			whore:1		54
kill:2	kill:2				kill:2	please:1	sacred:1			55
cut:1		ma:1		baby:1		promised:1				56
				men:1		promised:1				57
						please:2				58
kill:1	kill:1				kill:1					59
