anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk
						playing:1				0
										1
lies:1,stupid:1,punishment:1	die:1				whore:2,lies:1	love:3,joke:2,grateful:1,opportunity:1,funny:1		love:3,whore:2		2
kill:1,fuck:1	kill:1	son:2,sister:1,father:1			kill:1,lose:1	perfect:1,good:1,innocent:1,brilliant:1,careful:1,friend:1	sacrifice:2,lord:1	fuck:1	fuck:1	3
	die:1	family:1	family:1	boy:1	lose:1	save:2,pride:1,adventure:1				4
fought:1				child:1		wins:2,enjoy:1,champion:1,hope:1				5
fighting:1						please:2,good:1,thank:1,welcome:1	mercy:2			6
						like:1				7
					hurt:1	better:1				8
		father:1,aunt:1			worse:3	better:1				9
	dying:1									10
fuck:2,poisoned:1,kill:1,killing:1	kill:1,dead:1,killing:1			man:1	kill:1,killing:1			fuck:2	fuck:2	11
fuck:1		brother:1		man:1		welcome:1,thank:1		fuck:1	fuck:1,bloody:1	12
	ghost:1					surprised:1,friend:1	lord:1			13
cut:1			gate:2,gates:1	men:1,man:1		hoping:1,freeze:1	lord:1			14
		brothers:1				agree:1	lord:2			15
					lonesome:1	like:1	lord:1			16
bother:1	dies:1	sister:4,father:2		girl:2,ladies:1		love:1,pretty:1		love:1		17
kill:1,damn:1	kill:1	wives:1,wife:1			kill:1	gratitude:2,better:1,warm:1,surprised:1			damn:1,bloody:1	18
fucking:1,fighting:1	dead:1			man:1	risked:1,risk:1	friend:2,strong:1		fucking:1,cock:1	fucking:1,cock:1,bloody:1	19
bastard:1,kill:1,shit:1,evil:1	kill:1				kill:1,shit:1	like:2,great:1,good:1,liked:1			bastard:1,shit:1	20
			window:1,door:1	woman:1		well:1,like:1,hope:1				21
revenge:1,war:1,killing:1	die:1,war:1,killing:1	sons:1		women:2	revenge:1,war:1,killing:1	talents:2,favor:1,wise:1,forgive:1,respect:1				22
enemy:1,kill:1,enemies:1	kill:1				enemy:1,kill:1,enemies:1	best:2,well:1				23
				lady:1	disturb:2	please:1				24
lies:2			bath:1	lady:1	lies:2	good:2,devoted:1,humor:1,joke:1,jokes:1,strength:1,truth:1,best:1	lord:1			25
trick:1,lies:1,piss:1				men:1,man:1	lies:1,screaming:1	creates:1,bravest:1,truth:1		lust:1	piss:1	26
spite:1		daughter:1	home:1	men:1	doubt:1,upset:1,sin:1	well:1,thank:1	lord:1,sin:1			27
lies:1		daughter:1			lies:1	strong:1,truth:1	lord:1			28
killed:1,fight:1	killed:1	brother:1			killed:1	trust:3,good:1				29
dumped:1,brutality:1	slaughtering:1	sons:1		men:3,man:2,boys:1,girls:1,babies:1	dumped:1	like:4,faith:2,treat:1,pleasuring:1,freed:1	faith:2			30
evil:3,fought:1,argue:1,war:1,enemies:1	war:1	sons:1,father:1		men:1,man:1	war:1,enemies:1	good:2,helping:1,freedom:1,kindness:1,fine:1	priests:1			31
cunts:1,fucking:1	die:1				whore:1	well:1		fucking:1,whore:1	cunts:1,fucking:1	32
					wrong:1,hurt:1	like:1,thanks:1				33
cut:1,stupid:1		brother:2				like:2,reward:1,nice:1				34
		father:1,brother:1	bedding:1		worst:1,worse:1	playing:1				35
				lady:2	hurt:1	comfort:1,treat:1,agree:1	lord:1			36
				people:2,lady:1	difficult:1	good:2,easy:2,thank:1,nicely:1,peacetime:1,wonderful:1,thanks:1,best:1,nice:1				37
		daughters:1,mother:1	home:1	people:2,girl:1		like:2,sure:1,pretty:1				38
offend:1,screwing:1,offensive:1,kill:1	kill:1			lady:5,people:2	screwing:1,kill:1	interesting:1,like:1,truly:1	lord:1	screwing:1	screwing:1	39
	dead:1	brotherhood:1,father:1,mother:1		boy:1,lady:1		like:2,trusted:1				40
ugly:1,hates:1	dead:2	sister:1,aunt:1,brotherhood:1		lady:1		better:1,liked:1,well:1,like:1,friendly:1	lord:1			41
hated:1		married:1	house:1	lady:1		sure:2	lord:1			42
		sister:2,daughter:1			worried:1	kind:2,great:1,honest:1,like:1				43
bother:1,killed:1	killed:1,dead:1				desperately:1,killed:1,difficult:1	enthusiasm:1,care:1,true:1,shares:1,joy:1				44
		sister:2,father:1,family:1	family:1	boy:1,girl:1		easier:1,promised:1,like:1				45
killed:1	killed:1	brother:2,mother:1		baby:1	disappointment:1,killed:1			cock:2	cock:2	46
	die:1	sister:1		children:1	wrong:1,disagree:1	perfect:1,hope:1				47
raped:1,killed:1,killing:1	killed:1,killing:1			children:1	wronged:2,killed:1,killing:1	champion:1		raped:1		48
			home:1							49
dangerous:2,bothers:1		family:1,mother:1	door:1,family:1	people:4,person:1,girls:1	scary:1	certainly:1,safe:1,well:1,like:1,important:1	lord:3			50
stupid:1		married:1	door:3	children:1	ruin:3,ruined:2,ruining:1	like:2,careful:1				51
kill:1	kill:1	aunt:2,mother:1	home:1		kill:1,worry:1	better:1,like:1				52
		mother:1		child:1	hurt:1	love:2,beautiful:1,loved:1,strength:1,better:1,opportunity:1		love:2,loved:1		53
		aunt:1					lord:1			54
		aunt:1				like:1				55
liar:1,lied:1	dead:1	sister:1,father:1,husband:1,mother:1		people:1,child:1	whore:2,liar:1,empty:1,lied:1	kissed:3,promise:1,love:1,like:1		kissed:3,whore:2,love:1		56
killed:1	killed:1	wife:2			killed:1	sweet:2,silly:1				57
		sister:1				loved:1		loved:1		58
										59
