anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk
										0
										1
										2
weapons:1,destroyed:1,enemy:1	dead:1			men:2	weapons:1,destroyed:1,enemy:1	grace:1,truth:1				3
	dead:1					won:1,forgive:1,grace:1				4
										5
	alive:1		gates:1		lost:1	save:1				6
						good:1				7
killed:1	killed:1			men:1	killed:1	sure:1,grace:1	lord:1			8
war:1	war:1	family:2	family:2	boy:3,girl:1	war:1,empty:1	grace:2				9
kill:1,dumb:1	kill:1			man:1	kill:1,dumb:1	like:2,grand:1,true:1,hoping:1			dumb:1	10
stubborn:1	grave:1	son:1				beautiful:1,welcome:1,like:1,thank:1				11
		uncle:1				please:1,thank:1,forgive:1				12
threatening:1,war:1	war:1	niece:1	room:1		war:1	agrees:1,lovely:1,safety:1,like:1,excellent:1				13
battlefields:1,war:1,hell:1	war:1	sister:1		men:1,people:1	war:1		hell:1,lord:1		hell:1	14
	death:1	son:1,father:1,nieces:1,brother:1,mother:1		girls:1		won:1,love:1,hope:1,importance:1,engagement:1,accept:1,happy:1		love:1		15
punish:1,punished:1		father:1		man:3		good:1,value:1,free:1	mercy:1			16
humiliation:2		sister:1			hurt:1	better:2,love:2,play:1,luck:1		love:2		17
				woman:1,man:1	slut:1	beautiful:1,good:1,freedom:1,agreed:1,truth:1,handsome:1,glad:1,happy:1	mercy:1	slut:1		18
								cock:1	cock:1	19
				girl:4			lord:1			20
						free:2,sure:1,satisfactory:1,good:1,hope:1,best:1,welcome:1	lord:2			21
cut:1				man:2	lose:1	interest:2,good:1,promise:1,won:1,best:1,reward:1,glad:1	lord:1			22
cunts:1,hell:1,shit:1,fucker:1	die:1			boy:1	shit:1	good:1,sharing:1,kisses:1,kiss:1	hell:1	kisses:1,kiss:1,fucker:1	cunts:1,hell:1,shit:1,fucker:1	23
				lady:1		sweetness:1,likes:1				24
				girl:1		assure:1,well:1				25
				girl:1		better:1,thank:1		cockstand:1	cockstand:1	26
				girl:1		good:1				27
rebellion:1				man:2,girl:1						28
	die:1									29
		daughter:1,niece:1	home:1	people:1		thrilled:1,agreed:1,love:1,like:1,kindly:1		love:1		30
		daughter:1		man:1		love:2,innocent:1		love:2		31
fought:2,fight:2	dead:1	brothers:2,father:1,brother:1		people:1	disaster:1	well:1,truly:1				32
				person:1,man:1		true:1				33
hate:1		father:1,daughter:1	house:1			good:1				34
		father:2				forgive:1				35
		father:6	cleanse:1	girl:1		please:8,great:1,good:1	lord:2			36
		mother:12,father:4				please:13,faith:1,accept:1	lord:3,faith:1,sacrifice:1			37
		mother:1				please:5				38
						sure:1				39
										40
				man:1						41
angry:2,kill:2,fought:1,fighting:1,murder:1	kill:2,murder:1			men:3,man:2,people:1	kill:2	ready:1,like:1,triumph:1				42
cruelty:1,killing:1	death:1,killing:1				unpleasant:1,killing:1	great:2,easy:2,favor:1,vital:1,like:1				43
	die:1,died:1,dying:1	father:1		men:2,people:1,man:1	wrong:1	well:2,good:2,liked:1,true:1,great:1				44
						grace:1				45
										46
										47
										48
										49
						grace:2				50
										51
										52
										53
										54
										55
										56
										57
										58
										59
