anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk
killed:1	killed:1	sister:2,father:1,son:1		child:1	killed:1	good:2,thanks:1,important:1,thank:1				0
bastard:1,bitch:1,wicked:1		daughter:1,son:1		boy:1	ruins:1,wicked:1	true:1,please:1,grace:1			bastard:1,bitch:1	1
										2
										3
						win:1				4
jealous:2				girls:2,lady:1	jealous:2,hurts:1	please:2,fine:2,good:1,love:1,well:1,pretty:1,sweet:1,reward:1	lord:2	love:1		5
killed:1	killed:1	brother:1,wife:1		children:1	killed:1,lost:1	proud:1,pretty:1,nicer:1,agree:1				6
fight:2,fighting:1		father:2,mother:1	clean:1	men:1,people:1	wrong:1		lord:1	ass:1	ass:1	7
fuck:1,shit:1,fight:1		father:1,brother:1,wife:1			shit:1,screamer:1	safe:1,talent:1,like:1,beauty:1,won:1		fuck:1	fuck:1,shit:1	8
fight:2,attack:1,attacking:1				man:2		bold:1,best:1				9
bastard:1		father:1,mother:1	gates:1,home:1	lady:2		pleasure:1,welcome:1			bastard:1	10
		father:1			screamed:1	loved:1,prize:1		loved:1		11
savages:1,enemies:1		son:1		man:1	savages:1,dreadfort:1,smuggle:1,enemies:1	won:1,thanks:1,valuable:1	lord:2			12
enemy:1		father:2			enemy:1	trust:1	lord:1			13
murdered:1,murder:1	corpses:1,murdered:1,murder:1	father:1		boys:2		nice:1	lord:3			14
	alive:1,dead:1	father:1,brother:1		boys:1		ready:1,like:1				15
bastard:1,fuck:1,threat:1		family:2,brother:1	family:2,pet:1	men:1		welcome:1	lord:1	fuck:1	bastard:1,fuck:1	16
dangerous:1,lying:1,threat:1		father:5,sister:2,brother:1,wife:1	pet:1,maid:1		lying:1,weeps:1,whores:1,whore:1,weep:1	won:1,clever:1,friends:1,promised:1,forgive:1		whores:1,whore:1		17
		daughter:1,father:1	house:1	people:1	whore:1	grace:2,good:1,honored:1,grand:1,handsome:1,blessed:1,honor:1	lord:1,blessed:1	whore:1		18
war:1	war:1	uncle:1			war:1	wisdom:1,won:1,honor:1,grace:1,thank:1				19
				man:4		like:3,great:1,careful:1,grace:1				20
		married:1,wife:1	house:1	man:1	wrong:1	friendship:2,great:1,well:1				21
fight:1		sister:1,father:1		children:3,men:1	whore:3,whores:1	enjoyed:2,love:1,like:1		whore:3,love:1,whores:1		22
						faith:1,accept:1,comfortable:1	faith:1,lord:1			23
		sister:1,brother:1				well:1	lord:4,souls:2			24
hate:2		fathers:3		men:1	sins:1,empty:1	good:2,worshipped:1,sure:1,grateful:1	lord:1,worshipped:1,sins:1			25
stubborn:1		daughter:1,mother:1		child:3,lady:1		good:1,true:1	soul:2,lord:1			26
stubborn:1		daughter:1,uncle:1		lady:1		better:1,sweet:1,kind:1,smiles:1	lord:1			27
lies:1,war:1,evil:1,hell:1	war:1		cleansed:1	girl:1,women:1,child:1	screamed:1,lies:1,scream:1,war:1,sins:1	joy:2,heavens:1,love:1,like:1,sweet:1	hells:1,heavens:1,sins:1,hell:1	love:1	hell:1	28
										29
dangerous:1		sisters:1,father:1,brothers:1,mother:1		human:1	lose:2	glorious:1				30
										31
										32
			house:1							33
			houses:1			better:1,love:1,kiss:1	soul:1	love:1,kiss:1		34
wars:1	die:1			people:1	wars:1,worried:1	enjoying:1,love:1,thank:1,smarter:1,heartfelt:1,share:1,generosity:1,reward:1	lord:1	love:1		35
				person:1		love:1,like:1,care:1		love:1		36
war:2,killing:1	war:2,killing:1	brother:1,husband:1		lady:2,child:1,men:1,man:1	war:2,killing:1	peace:1,opportunity:1	lord:1			37
						good:3,love:1,like:1	lord:1	love:1		38
war:1	war:1				war:1	enjoy:1,lucky:1,thank:1				39
murder:2	murder:2	sister:1,married:1,fathers:1		child:1		beautiful:1,keen:1,certainly:1,luckily:1				40
war:1	war:1			lady:2,man:1	shame:1,war:1	grace:3,good:2,hope:2,love:1,thank:1,peaceful:1,true:1		love:1		41
		brother:3,daughter:1		lady:3		grace:3,gratitude:1,sure:1,love:1,truth:1,exciting:1,safely:1	lord:2	love:1		42
annoy:2,annoyed:2,annoys:1		brother:1	kitchens:1	man:2,girl:1,lady:1	shame:1	grace:4,good:1,well:1				43
						grace:2,pleasures:1,good:1,won:1	lord:1			44
despise:1,bastards:1		sisters:1,brothers:1,brother:1		lady:3,man:1	shame:1,despise:1	charmed:1,giving:1,please:1,tolerant:1,passion:1,relief:1,rich:1,luck:1	lord:3	passion:1	bastards:1	45
murder:1,rape:1	murder:1	daughter:1		people:1,children:1,women:1	low:1	amusement:2,enjoy:1	lords:1	rape:1		46
war:2	war:2			ladies:1	war:2	careful:1				47
	drowning:2					challenge:1,thank:1	lord:1			48
				gentlemen:1		ready:1,fine:1				49
fought:2,battle:1,fight:1		uncle:1				champion:3,well:2,sure:1,challengers:1,challenge:1,surely:1,true:1,grace:1,bravery:1,like:1				50
mad:1					shame:1,mad:1,lose:1	wins:1,careful:1,true:1,virtue:1,fine:1		lust:1		51
fight:1		father:1,uncle:1				honor:2,love:1,great:1,well:1,grace:1		love:1		52
					empty:1	good:1				53
						wonderful:2				54
		uncle:1				perfect:1,hero:1,good:1,well:1,grace:1				55
idiots:1				boy:1,lady:1		grace:2,please:1				56
		son:1				please:1				57
poisoned:1		son:1								58
					weep:2		lord:2,soul:1			59
