anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk
shit:2,battlefield:1,kill:1,killing:1,fighting:1,fight:1	die:1,kill:1,killing:1	son:1,daughter:1,mother:1	doorstep:1	men:2,people:2,man:1	risk:2,shit:2,killing:1,kill:1,scare:1	joy:2,won:1,grand:1,assure:1			shit:2	0
attack:1		nephew:1	gate:2,gates:1		distracted:1,weakest:1	smiles:1,promises:1,strongest:1,dear:1,smile:1,original:1,grace:1				1
										2
										3
										4
			home:2,gate:1		smuggler:1					5
		father:1		men:1,people:1		faith:3,good:1,well:1,glad:1	faith:3,lord:1			6
war:1	war:1				war:1,hurt:1	won:1				7
fuck:1,war:1	war:1		house:1		war:1	love:1,wise:1,like:1,grace:1		love:1,fuck:1	fuck:1	8
dangerous:1,war:1	war:1			men:1	war:1	sure:1,brave:1,grace:1,wisdom:1				9
				boys:1	weep:2	careful:1,grand:1,thank:1,pretty:1,grace:1	lord:1,soul:1			10
		brother:1,mom:1		boys:1		won:1,well:1,like:1		ass:1	ass:1	11
				man:1,women:1		beautiful:1,good:1,likes:1,warm:1,welcome:1,friends:1				12
killing:2,fucking:1	killing:2			women:2	killing:2	like:2,love:1	lord:1	fucking:1,love:1	fucking:1	13
hated:1,war:1	war:1,dead:1				war:1	nice:1				14
				boy:1		sure:4,good:2,trust:1				15
battle:1,cut:1					wrong:1	trust:3,well:2,hope:1	lord:2,priestess:1			16
			door:1	man:2	worse:1		lord:1			17
kill:1,killed:1,shit:1	kill:1,killed:1	brother:1		man:1	kill:1,killed:1,shit:1	play:2,welcoming:1,won:1,friends:1,friend:1			shit:1	18
		folks:1,nephew:1,sister:1		ladies:1,lady:1		friendship:1,great:1,safe:1,surely:1,romantic:1	pray:2,lord:2			19
battle:2,stupid:2,fighting:1		uncle:1	gates:1	lady:1,girls:1		kiss:3,safe:1,grace:1		kiss:3		20
fighting:1		brother:2		boys:1,lady:1	worst:1					21
cut:2						won:1,like:1				22
attack:1,stupid:1,hates:1			gate:1			liked:1,wise:1,amusing:1,surprise:1,surprises:1,true:1	lord:1			23
jealous:2,hates:2			doors:1	men:1,lady:1,child:1	jealous:2,doubt:1	grace:1,glad:1				24
battle:1,enemy:1,danger:1			maids:1,doors:1		enemy:1	certain:1,loyal:1,hope:1				25
attack:1						ready:1				26
				man:1						27
										28
										29
trick:1	die:1		gates:1			play:1,grace:1,played:1				30
						grace:2,perfect:1	praying:3,mercy:1			31
	death:1,died:1	father:2,mother:2		girl:1,man:1		like:2	mercy:2,praying:2,prayed:1			32
		brother:1	gates:1	person:1		better:1,inspired:1,courage:1,like:1,hoped:1	lord:1,spirits:1	seducing:1,cocks:1	cocks:1	33
weapon:1,bastards:1,rape:1				women:1,woman:1,man:1	weapon:1,shocked:1	good:2,glad:1,like:1,precious:1,fine:1,best:1		rape:1,tits:1	bastards:1,tits:1	34
			gate:1	men:2,man:1	serious:1	party:1,welcome:1	lord:1			35
fucking:1,kill:1	kill:1				kill:1			fucking:1	fucking:1	36
fucking:1,rape:1	dies:1,corpse:1		gate:3,clean:1	man:1				fucking:1,rape:1	fucking:1	37
fight:1		father:1				smile:1,please:1,like:1				38
				lady:1	worst:1,difficult:1	enjoy:1,better:1,grace:1,pretty:1				39
destroyed:1		daughter:1			destroyed:1	grace:3,interesting:1				40
battlements:1,mocked:1,lied:1	alive:1			children:1,women:1	lied:1	good:1,grace:1,truth:1	lord:1			41
						better:1				42
bastards:1,kill:1,fuck:1	kill:1				kill:1			fuck:1	bastards:1,fuck:1	43
fuck:3,shit:1,fight:1				men:1	wrong:1,shit:1,lost:1	nice:1		fuck:3	fuck:3,shit:1	44
										45
kill:2,battle:1,battlements:1	kill:2	uncle:1,mother:1		men:1,people:1	kill:2	grace:2,won:1				46
attack:2,fighting:1			gates:2	men:3,man:1						47
fight:5,kill:1,fuck:1,rape:1	kill:1		gate:1,door:1,houses:1	women:1	kill:1	won:1,riches:1,honor:1,glory:1,brave:1		asses:1,fuck:1,rape:1	asses:1,fuck:1	48
battle:2,fighting:1		son:1	gates:1		lost:2,hurt:1	safest:1,save:1,bravely:1,grace:1,care:1	hymn:1			49
war:2,rape:1,raping:1	war:2	sons:2,mother:1	door:1		war:2,hurt:1	gentle:2,save:2,won:1	pray:2,mercy:1	raping:1,rape:1		50
	die:1			lady:1		fine:1				51
killer:3,killers:3	killer:3,killers:3	sons:1,father:1,brother:1	home:1		killer:3,killers:3,hurt:2	safe:2,won:2,better:1				52
attack:1,bastards:1					hurt:1	won:1			bastards:1	53
fuck:1								fuck:1	fuck:1	54
fighting:1		mother:2			hurt:1	sweet:1,love:1,calm:1,loved:1		loved:1,love:1		55
evil:2		mother:1,son:1				like:2	lord:1			56
		father:2,mother:1				like:2,strong:2,love:1,safe:1,promise:1		love:1		57
fight:2,battle:1,damn:1		father:1			low:1	won:1,truth:1,proud:1	lord:1		damn:1	58
					weep:2		lord:2,soul:1			59
