anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk
0	0	1	0	0	0	2	1	0	0	0
0	0	0	0	0	0	1	0	0	0	1
0	0	0	0	1	0	4	2	0	0	2
1	0	0	0	0	1	1	0	0	0	3
0	0	0	0	2	0	2	0	0	0	4
2	1	1	0	1	1	5	2	0	0	5
0	3	0	0	2	0	2	0	0	0	6
1	1	0	0	1	0	4	0	0	1	7
0	0	0	0	0	0	0	0	0	0	8
0	0	0	0	0	0	0	0	0	0	9
0	0	0	0	1	0	0	0	0	0	10
0	0	0	0	1	0	2	0	0	0	11
0	0	0	0	0	0	0	0	0	0	12
0	0	0	0	0	0	2	0	0	0	13
4	2	0	0	1	0	0	0	0	0	14
0	1	0	1	1	0	0	1	0	0	15
0	0	1	0	0	1	2	0	0	0	16
0	4	1	0	2	0	1	0	0	0	17
0	0	0	1	0	0	1	0	0	0	18
0	0	0	0	0	0	0	0	0	0	19
1	0	0	0	0	0	0	0	0	0	20
1	1	0	0	1	1	1	0	0	0	21
0	0	0	0	0	0	0	0	0	0	22
0	3	0	0	3	1	1	0	0	0	23
1	0	0	0	1	0	2	0	0	0	24
0	0	0	2	1	0	4	0	0	0	25
0	0	2	1	2	2	11	1	1	1	26
2	0	1	0	3	1	8	0	3	0	27
0	0	2	0	0	0	2	0	0	0	28
0	0	0	0	0	0	0	0	0	0	29
1	0	0	0	1	1	1	0	1	0	30
1	1	0	0	0	0	2	0	0	0	31
6	2	1	1	1	2	9	1	0	0	32
0	0	0	0	2	0	7	0	0	0	33
0	0	0	0	0	1	7	0	0	0	34
2	1	1	0	0	2	8	0	0	0	35
0	0	0	2	0	1	1	0	0	0	36
0	0	0	0	1	0	1	0	0	0	37
0	0	0	0	0	0	0	0	0	0	38
0	0	0	0	0	0	0	0	0	0	39
0	0	0	1	0	0	0	3	0	0	40
0	0	4	0	2	3	4	7	0	0	41
1	0	3	0	2	1	7	2	1	1	42
0	0	3	0	0	0	7	2	0	0	43
0	0	0	0	0	0	0	0	0	0	44
0	0	0	0	0	0	0	0	0	0	45
0	0	1	1	2	1	5	4	1	0	46
0	0	0	0	0	14	0	0	0	0	47
12	0	2	0	0	30	0	2	13	13	48
6	0	0	0	0	24	0	1	11	7	49
3	0	2	0	0	24	0	0	5	3	50
0	0	0	0	0	11	0	0	0	0	51
2	1	0	0	0	1	6	1	0	0	52
4	0	0	1	1	0	1	0	0	2	53
0	1	1	0	0	0	1	1	0	0	54
1	0	1	0	1	1	0	0	0	0	55
0	0	0	0	0	0	0	0	0	0	56
0	0	0	0	0	0	0	0	0	0	57
0	0	0	0	0	0	1	0	0	0	58
0	0	0	0	0	0	1	0	0	0	59
