anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk
						playing:1				0
										1
fucking:2					wrong:1	ready:1		fucking:2	fucking:2	2
cunt:1			maiden:1	baby:2,girls:1,man:1		like:1		cock:1	cock:1,cunt:1	3
bitch:2,dumb:1				baby:1	dumb:1	kind:1,well:1,care:1			bitch:2,dumb:1	4
										5
	slaughter:1	brothers:2								6
cut:1,shit:1	dead:2			self:1,men:1	worst:1,shit:1		mormont:1		shit:1	7
	dies:1			men:1		good:1				8
ridiculous:1					ridiculous:1					9
				boys:1	shame:1	interested:3,grace:2,love:1,well:1,care:1		naked:1,love:1		10
						precious:1,grace:1				11
cut:2,kill:1	kill:1			boy:1	kill:1	precious:1,pride:1				12
										13
		son:1				bright:1,strong:1,proud:1				14
						sure:1,like:1,proud:1	lord:1			15
										16
	die:2,dead:2,drowned:1	son:1				faith:1,good:1,treat:1	lord:2,faith:1			17
fought:3		father:1		men:1	shame:3	honor:3,safe:1	lord:1			18
hell:1,fuck:1			gates:1,home:1	woman:2,boy:1,men:1			hell:1	fuck:1	hell:1,fuck:1	19
fought:1		grandfather:1	home:2		sad:1	great:1,important:1,true:1	lord:1			20
	death:1,suicide:1	families:1	families:1	lady:4,man:1	whoremonger:1	cared:1,great:1,beauty:1	lord:1	whoremonger:1		21
brutal:1	suicide:1	married:1,niece:1	door:1	girl:2,lady:2,boy:1		adored:1,like:1,assure:1				22
damn:1		uncle:1,daughter:1	room:1,kitchen:1	girl:1,child:1		please:1,truth:1,comfortable:1	lord:4		damn:1	23
lies:2,humiliated:1,torture:1		married:1,father:1,son:1			lies:2	friends:1	lord:2			24
		aunt:2,father:1	gates:1	lady:2,boy:1,woman:1,man:1	smuggled:1	safe:2,loved:1,true:1,well:1,friends:1,fine:1	lords:1,lord:1	loved:1		25
jealous:1		aunt:1,uncle:1,father:1		lady:2,woman:1	jealous:1	happy:2,loved:1,kind:1,love:1,truth:1,kiss:1,free:1	lord:5,confessed:1	loved:1,love:1,kiss:1		26
		aunt:1	door:2,doors:1	girl:1	whore:1	promised:2,loved:1,calm:1,sweet:1	lord:1	loved:1,whore:1		27
fought:1,mad:1	suicide:1	son:1	houses:1	boy:2,lady:1	mad:1	great:1,courage:1,well:1	lord:2			28
destroy:1,damn:1	die:1,dead:1	sister:1,son:1	house:1	boy:1,men:1,boys:1	destroy:1	support:3,adored:1,friend:1,loved:1	lord:2	loved:1	damn:1	29
										30
										31
				man:2						32
fighting:2						profits:1				33
poisoned:1,poison:1	died:1	married:1,brother:1		child:2						34
killed:2,fought:1	killed:2,dead:1,alive:1	father:1		man:2	killed:2	forgive:3,please:2,love:2,loved:1		love:2,loved:1		35
										36
	dead:1	father:1		boy:1	unimportant:1	thanks:1	lords:1			37
										38
		father:1,son:1	bath:1			promise:1,honor:1				39
				child:2,girl:1						40
			door:1	man:1		better:1,happy:1				41
killing:2,kill:2,weapon:1,killer:1,stupid:1,damn:1,killed:1,shit:1	kill:2,killing:2,die:1,killer:1,killed:1			men:1	kill:2,killing:2,shit:1,weapon:1,killer:1,killed:1,sad:1	happy:2,pride:1,great:1,good:1,like:1			damn:1,shit:1	42
	died:1	aunt:1,niece:1,family:1	gate:1,family:1	lady:3,ladies:1		well:1,honor:1	lords:1		bloody:2	43
	die:3,death:1,dies:1	uncle:1,mother:1	beds:1,home:1	people:1	worry:2	safe:2	lord:1			44
						thank:1,helps:1,innocence:1	lord:1			45
punishment:1,fight:1	die:2	nephew:1,sons:1,brothers:1		men:1		well:1,like:1				46
killing:2	killing:2,suicide:1	cousins:2,cousin:2	garden:1		killing:2	happier:2,well:1,kind:1,laughing:1,like:1				47
moron:1,morons:1				person:1,men:1		interests:2,joke:1,certainly:1,great:1,smartest:1				48
	slaughter:1		garden:1	men:1		sure:1,like:1				49
murdered:1,fuck:1	murdered:1,dying:1	father:1,family:1	family:1	men:1,children:1,women:1	dread:1			fuck:1	fuck:1	50
killed:1	killed:1				killed:1,weeping:1					51
fight:2,fighting:1						like:2,good:1,luck:1				52
killed:2,kill:1,fight:1	killed:2,die:1,kill:1	father:1,mother:1		man:2,men:1	killed:2,kill:1	thank:1,innocence:1	mercy:1			53
shit:1	dead:1	brother:1		man:1	shit:1				shit:1	54
murdered:3,raped:3,killed:2	murdered:3,killed:2,die:1	sister:1		children:2	killed:2		confess:1	raped:3		55
murdered:1,killed:1,raped:1	murdered:1,killed:1			children:1	killed:1			raped:1		56
killed:3,raped:2,murdered:1	killed:3,die:1,murdered:1,dying:1			children:3	killed:3		confessed:1	raped:2		57
killed:1,raped:1	death:1,killed:1		house:1	children:1	killed:1	like:1		raped:1		58
						playing:1				59
