anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk
										0
										1
										2
	buried:1			men:1		beautiful:1,treasure:1,sure:1				3
		brothers:1			weeping:1	warm:1,well:1,playing:1,best:1,nice:1				4
		mother:1,father:1,wife:1		children:2	wrong:1	loves:2,gentle:1,strong:1,smile:1		loves:2		5
	death:1			girl:1		well:3,thank:2,better:1,good:1				6
nasty:2,fighting:1,fight:1				lady:1		good:1,peace:1,thank:1		ass:1	ass:1	7
					wrong:1	thank:1				8
enemies:1					wrong:1,enemies:1					9
kill:2	kill:2				kill:2	good:3				10
dumb:1,killed:1	killed:1,dead:1			girls:2,men:1	scared:2,dumb:1,killed:1,worry:1	loyal:1,safe:1,brave:1,like:1,lover:1		naked:1,lover:1	dumb:1	11
	die:2			woman:2		care:2,loyal:1,won:1				12
cut:1					scream:1	sure:1,pretty:1		cock:1	cock:1	13
fighting:1				men:1,lady:1		good:2,sweet:1,won:1		tits:1	tits:1	14
				lady:1		trust:1,friends:1				15
				lady:1		friends:1				16
				ladies:2		forgive:1,lucky:1	lord:1			17
fucked:1				children:1	whores:1		lord:1,priest:1,prayers:1	fucked:1,whores:1	fucked:1	18
	dead:1			men:1		true:1,friend:1,truth:1	lord:1			19
tricky:1				girl:1,woman:1,lady:1		like:1				20
weapons:2		brotherhood:2		boy:1,girl:1,people:1	weapons:2	forgive:1	lord:3			21
war:1	war:1				witch:1,war:1,hurt:1	great:1				22
										23
								ass:1	ass:1	24
						please:2,play:1				25
	alive:1	daddy:1		boys:1		good:2,better:1,please:1,appreciate:1				26
cut:1,torturing:1						win:3,please:2,happy:1				27
fucking:1						like:1		fucking:1	fucking:1	28
	dead:1	father:1,brother:1				good:1	lord:3			29
liar:1,torturing:1					liar:1	win:1				30
cut:3,violation:1,fighting:1		father:1,daughters:1			violation:1,wrong:1	enjoy:1,thank:1,easy:1,win:1,please:1,well:1	lord:1,sacred:1			31
war:2	war:2	father:3,daughters:1			war:2		lord:2			32
		husband:1		man:1		good:1,please:1,peace:1,engagements:1,proud:1	lord:1			33
battle:1,war:1,fight:1	war:1,dead:1	daughter:1,daughters:1,wife:1		man:2,men:1	risk:1,war:1	won:1,prettier:1,win:1,carefully:1,freedom:1,engagement:1,heroic:1				34
war:1	war:1	mother:2,uncle:1		men:1,lady:1	losing:1,war:1,lost:1,sins:1	kind:1	lord:1,sins:1			35
kill:1,wars:1	execution:1,kill:1	father:2		people:1	kill:1,wars:1	safest:1,great:1,honestly:1				36
		father:1		lady:1,people:1		well:2,won:1,truth:1,hoped:1				37
punish:1	slaughter:1	daughter:1,grandson:1,mother:1		woman:1,men:1		beautiful:1,pride:1,promise:1,rich:1,strong:1,well:1				38
		cousins:1,sons:1,father:1,grandson:1		boy:2,boys:2,woman:1		beautiful:1,opportunity:1,tolerance:1,grateful:1	lord:1			39
kill:1	kill:1	sisters:1,brothers:1		people:2,children:1	kill:1,disagree:1,difficult:1	true:2,convincing:2,thanks:1,care:1				40
disgusts:1		grandson:2	house:1	children:3	disgusts:1,seriously:1	prized:2,sure:1				41
				man:1						42
cut:1										43
										44
						wonderful:1,definitely:1,well:1,like:1,happy:1				45
				lady:1		beautiful:2,wonderful:1				46
hell:1,killed:1	killed:1	family:5,father:2	family:5		worst:1,killed:1	certainly:1,actively:1	hell:1		hell:1	47
trick:1,battle:1,kill:1,killed:1,hates:1	kill:1,killed:1,dead:1	father:1	gate:1	people:1	kill:1,killed:1	thank:1				48
idiot:1,stupidity:1,poisoned:1,murder:1,danger:1	murder:1	father:1		children:2,boy:1	idiot:1,whore:1	won:2		whore:1		49
fucked:1		family:1	family:1	people:1	dull:1	superior:1,truly:1,sure:1,likes:1,like:1		fucked:1	fucked:1	50
				lady:3		good:1,trust:1,please:1	lord:3			51
ugly:1,fiery:1,enemies:1					shame:1,dread:1,enemies:1	flattering:1,certain:1,sure:1,friend:1				52
					dread:1	enjoyment:3,promise:1,friends:1,like:1,honest:1				53
enemies:1					enemies:1	luckily:1,good:1,daring:1,grateful:1,agree:1,friend:1				54
						love:1		love:1		55
										56
										57
										58
										59
