anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk
		sister:2,daughter:1		lady:1		better:1,friend:1,safe:1,lucky:1,value:1	lord:2			0
		daddy:1,father:1	home:1	man:1		smartest:1,well:1	lord:1			1
										2
										3
	die:1	sister:1				please:4,won:1		ass:1	ass:1	4
piss:1				man:1					piss:1	5
						hope:1	lord:1			6
cut:1,nastiness:1		sister:1		boy:1	wrong:1	confidence:2,wonderful:1,free:1				7
trick:1				man:2,boys:1,men:1	worse:1,dull:1	certain:1	demon:1			8
revenge:2,hated:1,fight:1,killed:1	die:1,killed:1		house:1	person:1	revenge:2,killed:1	resolved:1,eager:1	priestess:1			9
spite:1				man:1		valuable:1,like:1,special:1,excellent:1				10
attacked:2,killed:2,shit:2,revenge:1	killed:2			people:1	killed:2,shit:2,doubt:1,worse:1,revenge:1	honor:1,friend:1			shit:2	11
		sons:1		men:1		save:2,like:2,good:1,friend:1	lord:2,mormont:1			12
stupid:1				baby:1		beautiful:2,save:1				13
		mother:1								14
		mother:3		boy:1,men:1,girls:1,man:1		promise:7	lord:2			15
				woman:1,lady:1	loss:1,sad:1,lost:1,lose:1	interest:2,helping:1,love:1,friend:1		love:1		16
murdered:1	crypts:1,murdered:1,buried:1	brother:1,son:1	room:1	girls:2		merit:1,good:1,comfortably:1,interested:1,important:1	lord:1			17
mad:1,killed:1	buried:1,tomb:1,tombs:1,urn:1,killed:1	married:1,uncle:1		lady:1,people:1	wrong:1,mad:1,killed:1	like:3,grace:2,superior:1,sure:1,love:1,brightflame:1,importance:1,adoringly:1,exciting:1,best:1		love:1		18
battle:1,ridiculous:1,fighting:1,rebellion:1	buried:1,grave:1	son:1,sons:1,husband:1,mothers:1	shower:1		yearn:1,ridiculous:1	like:2,better:1,good:1,well:1,helps:1				19
		father:1				convinced:1,love:1,grace:1,glad:1,agree:1		love:1		20
defense:1			doors:1	lady:6	defense:1	bless:1,adore:1	bless:1			21
torturing:1		father:2,sister:1,brothers:1,son:1		boy:1,men:1	risk:1	bless:1,save:1	lord:2,bless:1			22
jealous:1		father:3,sister:2		men:3	jealous:1	loyal:2,trust:1	lord:1			23
murdered:1	murdered:1	father:1,brother:1		boys:2		better:1,like:1	lorded:1			24
		father:2			wrong:1,lost:1	proud:1				25
killed:1	killed:1				killed:1	please:1	lord:1			26
revenge:2	die:1,dying:1				revenge:2	giving:1,care:1				27
				woman:1,people:1	whine:1,lost:1	important:1,like:1			bloody:1	28
										29
war:2	war:2	sons:1,son:1			war:2	confidence:1,trust:1,sure:1				30
		daughter:1,family:1	family:1	children:2		love:1		love:1		31
distrust:2				boy:1,woman:1	distrust:2	good:1,like:1,better:1,likes:1,dear:1,strong:1,original:1,smart:1				32
			house:1,garden:1,houses:1	lady:1	dullest:1	strong:4,brighter:2,welcome:1,please:1,loves:1	lord:1	loves:1,seduce:1		33
			garden:1	girl:1,man:1	sadly:1	interesting:2,well:2,interest:2,clever:1,forgive:1,certain:1,hopes:1,shared:1		seduce:1		34
enemies:1	executioner:1	father:1,daughter:1		girl:1,babe:1	enemies:1	carefully:2,beautiful:1,easily:1,surprising:1,admired:1,admirers:1,interest:1,lovely:1	lord:1			35
dangerous:1,despise:1		marries:1		man:2,men:1	shame:1,despise:1,low:1	clever:2,enjoy:1,kind:1,wealth:1,truth:1,better:1,laugh:1,lovely:1	lord:1			36
war:1	war:1	family:1	family:1		disturb:1,war:1	kind:1,please:1,like:1,happiness:1	pray:1,prayed:1			37
idiot:1,ridiculous:1,torture:1	plague:3,die:1	cousin:1		girl:1,woman:1	idiot:1,ridiculous:1	beautiful:2,like:2	prayed:1			38
jealous:1,frustrating:1		married:2		children:1,people:1	jealous:1	happy:2,friends:2,great:1,good:1,love:1,sure:1,darling:1,handsome:1	lord:1	love:1		39
fought:1		sisters:1		man:1		good:2,like:2,best:1				40
bastard:1,kill:1,killed:1	death:1,kill:1,killed:1	brothers:1,daughters:1		man:1	kill:1,killed:1	good:1,laugh:1			bastard:1,bloody:1	41
cut:1	dying:1	sons:1,daughters:1,son:1		man:1		strong:2,glad:2	mormont:1			42
bastard:2,cut:1	die:1	wives:1		man:2,women:1		like:1			bastard:2	43
bastard:3,fucking:1		daughter:1		man:1	empty:1			fucking:1	bastard:3,fucking:1	44
										45
				lady:1		better:1,well:1,best:1				46
			home:1			like:1,easy:1				47
war:2,fighting:2	war:2,dead:1	brother:1	home:1		war:2	better:1,won:1				48
murder:2,fighting:1	ghosts:2,murder:2,die:1,dead:1,alive:1	brother:1,brotherhood:1		man:1	weak:1	true:1,won:1,well:1			bloody:1	49
cut:2,murdered:1,murder:1,murderer:1,dump:1,raped:1	dead:2,murdered:1,murder:1,murderer:1	brother:1,mothers:1	house:1,door:1	children:2,babes:2,boy:1,girls:1	dump:1	like:1,friend:1		breast:1,raped:1		50
murder:1,killed:1,killing:1,attacked:1	murder:1,killed:1,killing:1			boy:2,girl:1	killed:1,killing:1	bravest:1,truth:1,loves:1	lord:1,priest:1	loves:1		51
fight:1						good:1,wise:1				52
				boys:1						53
										54
										55
										56
										57
										58
										59
