	anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear
0	{'mad': 1, 'lied': 2}	{'soldiers': 1, 'good': 1, 'blood': 2}	{'brought': 1, 'king': 1, 'marriage': 1, 'mad': 1, 'talking': 1, 'make': 3, 'marry': 2}	{'bed': 1}	{'girl': 2, 'men': 1, 'lady': 3, 'child': 1, 'women': 1}	{'mad': 1, 'lied': 2}	{'what': 1, 'good': 1, 'like': 1, 'wondered': 1, 'that': 1, 'perhaps': 1, 'changed': 1, 'had': 1, 'great': 1, 'won': 2, 'have': 4, 'haven': 1, 'best': 2}	{}	{'how': 2, 'whore': 1, 'big': 1, 'house': 1, 'who': 2, 'bigger': 1}	{}
1	{}	{}	{}	{}	{}	{}	{}	{}	{}	{}
2	{'cut': 1, 'fuck': 2, 'lying': 1}	{}	{'king': 1, 'sister': 1, 'mother': 1, 'pay': 1, 'taking': 2, 'brother': 2, 'man': 1}	{}	{'girl': 2, 'men': 2, 'girls': 1, 'man': 1}	{'lying': 1}	{'like': 2, 'that': 2, 'hard': 1, 'had': 1, 'lucky': 1, 'free': 1, 'twins': 1, 'have': 1, 'hands': 1, 'ha': 1, 'saved': 1, 'than': 3}	{}	{'who': 3, 'fuck': 2}	{'fuck': 2}
3	{}	{}	{'paying': 1, 'may': 1, 'marrying': 1, 'make': 2, 'paid': 1, 'broken': 1, 'sons': 2, 'uncle': 1, 'imagine': 1, 'many': 1, 'company': 1, 'man': 2}	{}	{'many': 1, 'girl': 1, 'men': 2, 'girls': 1, 'man': 2}	{'lose': 1}	{'naharis': 1, 'love': 1, 'like': 1, 'grace': 2, 'hard': 1, 'winning': 2, 'broken': 1, 'twins': 1, 'have': 1, 'khaleesi': 1, 'agree': 1}	{}	{'who': 2, 'love': 1, 'titan': 3, 'how': 1, 'trusted': 2, 'whole': 1, 'honor': 1, 'those': 1}	{'dangerous': 1, 'titan': 3}
4	{'fucked': 1, 'unsullied': 2, 'war': 1}	{'odds': 3, 'war': 1}	{'may': 2, 'pay': 1, 'explain': 1, 'mother': 1, 'kingdoms': 1, 'sons': 6, 'seasoned': 1, 'many': 1, 'man': 1}	{}	{'yourself': 1, 'many': 1, 'girl': 2, 'men': 1, 'man': 1}	{'unsullied': 2, 'war': 1, 'choosing': 1}	{'like': 2, 'perhaps': 1, 'had': 2, 'grace': 1, 'better': 1, 'won': 1, 'have': 11, 'save': 1, 'than': 1, 'hope': 1, 'wine': 1}	{'choosing': 1}	{'ass': 1, 'how': 2, 'choosing': 1, 'fucked': 1, 'house': 1, 'hope': 1}	{'fucked': 1, 'ass': 1}
5	{}	{'good': 1}	{'looking': 1, 'maybe': 1, 'sons': 1, 'brothers': 1, 'maids': 1}	{}	{'boy': 1}	{}	{'what': 1, 'good': 1, 'like': 1, 'that': 1, 'perhaps': 1, 'share': 2, 'looking': 1, 'have': 1, 'half': 2, 'chambers': 1, 'grace': 1, 'gladly': 1, 'wine': 1}	{}	{'maids': 1, 'titan': 1, 'show': 2}	{'titan': 1}
6	{'fuck': 1}	{'rod': 1, 'rode': 2}	{'king': 1, 'smallest': 1, 'panic': 1, 'panics': 1, 'many': 1}	{}	{'boy': 1, 'many': 1}	{'sad': 1}	{'what': 2, 'like': 1, 'have': 2, 'vhagar': 2, 'fine': 1, 'grace': 1, 'vhag': 1}	{}	{'tho': 1, 'horse': 1, 'though': 1, 'thowg': 1, 'whole': 1, 'fuck': 1, 'hot': 1}	{'fuck': 1}
7	{'war': 1}	{'blood': 2, 'good': 1, 'returned': 1, 'today': 1, 'war': 1}	{'kingdom': 1, 'king': 3, 'spare': 1, 'small': 1, 'many': 4, 'man': 1, 'son': 2}	{'bedded': 1}	{'boy': 5, 'bannermen': 1, 'many': 4, 'men': 1, 'girls': 1, 'boys': 1, 'himself': 1, 'man': 1, 'lady': 1, 'women': 1}	{'war': 1}	{'what': 2, 'harm': 1, 'good': 1, 'grace': 3, 'that': 1, 'great': 1, 'free': 1, 'hand': 1, 'chance': 1, 'have': 1, 'has': 2, 'than': 1}	{}	{'how': 4, 'choose': 1, 'should': 1}	{}
8	{'unsullied': 1, 'hated': 1, 'made': 1, 'lying': 1, 'whatever': 2}	{'die': 1, 'gods': 1, 'god': 1}	{'made': 1, 'choking': 1, 'mothers': 1, 'pay': 1, 'man': 1, 'son': 1}	{'deny': 1}	{'yourself': 1, 'boy': 1, 'man': 1, 'children': 1, 'child': 1}	{'unsullied': 1, 'made': 1, 'lying': 1}	{'great': 1, 'naharis': 1, 'glory': 1, 'choking': 1, 'that': 1, 'hated': 1, 'whatever': 2, 'won': 3, 'have': 1, 'freed': 1, 'like': 1}	{}	{'whores': 1, 'choking': 1, 'who': 2, 'how': 1, 'bitch': 1, 'birth': 1, 'cock': 4, 'whore': 1}	{'cock': 4}
9	{'fucking': 1, 'fucked': 1, 'unsullied': 2}	{'gods': 1, 'die': 2}	{'past': 1, 'woman': 1, 'peeking': 1, 'fucking': 1, 'pay': 1, 'man': 1}	{}	{'girl': 1, 'woman': 1, 'men': 1, 'man': 1}	{'unsullied': 2, 'close': 1}	{'what': 2, 'won': 1, 'love': 1, 'like': 1, 'have': 3}	{}	{'fucking': 1, 'fucked': 1, 'who': 2, 'love': 1, 'whore': 1}	{'fucking': 1, 'fucked': 1}
