	anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear
0	{}	{}	{}	{}	{}	{}	{}	{}	{}	{}
1	{}	{}	{}	{}	{'lady': 1}	{}	{'harbor': 1, 'fine': 1, 'than': 1, 'have': 1}	{}	{}	{}
2	{'executed': 1, 'made': 1}	{'good': 2}	{'grandmother': 1, 'king': 2, 'executed': 1, 'pay': 1, 'past': 1, 'made': 1, 'man': 1}	{'petyr': 1}	{'tormented': 1, 'girl': 1, 'lady': 2, 'man': 1}	{'made': 1, 'worst': 1}	{'helping': 1, 'what': 1, 'good': 2, 'look': 1, 'that': 1, 'had': 2, 'grandmother': 1, 'looks': 1, 'saved': 3}	{}	{'how': 1, 'trust': 1, 'hollard': 1, 'house': 1, 'who': 3, 'should': 1}	{}
3	{'made': 1, 'lying': 1}	{'body': 1, 'die': 1, 'dying': 1, 'died': 1}	{'consummating': 1, 'may': 1, 'company': 1, 'brought': 1, 'moment': 1, 'man': 1, 'made': 1, 'animals': 1, 'remains': 1, 'make': 1, 'married': 2, 'markedly': 1, 'next': 3, 'looking': 1, 'marriage': 1, 'mother': 1, 'poisoned': 1}	{'home': 1, 'stabbed': 1}	{'moment': 1, 'men': 1, 'lady': 1, 'children': 1, 'man': 1}	{'unpleasant': 1, 'overflowing': 1, 'lying': 1, 'made': 1}	{'that': 2, 'great': 2, 'took': 1, 'have': 5, 'happiest': 1, 'than': 3, 'like': 1, 'what': 1, 'look': 1, 'had': 2, 'grandfather': 1, 'looking': 1, 'wonderful': 1, 'overflowing': 1, 'clawing': 1, 'hall': 1}	{}	{'home': 1, 'bit': 1, 'horrible': 2, 'should': 1}	{}
4	{'temperament': 1}	{'food': 1, 'good': 4, 'dead': 1}	{'king': 8, 'kind': 1, 'makes': 1, 'brother': 2}	{}	{'boy': 2, 'himself': 1, 'temperament': 1}	{'sinful': 1, 'single': 1}	{'what': 5, 'good': 4, 'that': 3, 'kind': 1, 'truly': 1, 'won': 1, 'alike': 1, 'hardly': 1, 'than': 1}	{'sinful': 1, 'single': 1, 'pious': 1, 'holy': 1, 'temperament': 1}	{'thought': 1, 'holy': 1, 'holiness': 1}	{}
5	{'afterwards': 1, 'straightforward': 1}	{'soldiers': 1, 'alive': 1, 'good': 2, 'afterwards': 1, 'straightforward': 1}	{'king': 7, 'family': 1, 'marry': 1, 'explained': 1, 'brother': 3, 'experience': 1, 'small': 1, 'kings': 1, 'drinking': 1, 'makes': 1, 'man': 3}	{'shipyards': 1, 'family': 1}	{'himself': 1, 'man': 3}	{'afterwards': 1, 'straightforward': 1}	{'happens': 1, 'what': 5, 'good': 2, 'that': 3, 'perhaps': 1, 'had': 1, 'great': 1, 'wisdom': 3, 'have': 2, 'winning': 1, 'has': 1}	{}	{'house': 2, 'whoring': 1, 'who': 3, 'how': 2, 'choice': 1}	{}
6	{}	{'dead': 1}	{'moment': 1, 'brother': 2, 'son': 3}	{}	{'boy': 1, 'moment': 1}	{}	{'what': 3, 'have': 1, 'that': 2, 'freedom': 1, 'happened': 1, 'chance': 1, 'happy': 1}	{}	{'how': 1}	{}
7	{'made': 1, 'hateful': 2}	{'gods': 1}	{'map': 3, 'woman': 2, 'fairmarket': 1, 'maybe': 1, 'made': 1, 'next': 1}	{}	{'woman': 2}	{'made': 1}	{'love': 1, 'hateful': 2, 'have': 3, 'care': 3}	{}	{'shop': 1, 'how': 1, 'love': 1, 'should': 1}	{}
8	{'warrior': 1, 'war': 1}	{'warrior': 1, 'good': 1, 'war': 1}	{'mom': 1, 'maiden': 1, 'may': 1, 'passage': 1, 'sons': 1, 'human': 1, 'mother': 2, 'makes': 1, 'man': 1}	{'maiden': 1}	{'girl': 1, 'human': 1, 'man': 1}	{'warrior': 1, 'blessings': 1, 'war': 1}	{'what': 2, 'good': 1, 'like': 3, 'that': 1, 'hay': 1, 'book': 1, 'have': 2, 'accepting': 1, 'care': 1}	{'mercy': 1, 'blessings': 1, 'rabbit': 1}	{'horses': 1, 'house': 2, 'who': 1, 'rabbit': 1, 'passage': 1}	{'passage': 1}
9	{'hell': 1, 'fuckers': 1, 'warrior': 1}	{'food': 1, 'gods': 1, 'good': 2, 'warrior': 1}	{'may': 1, 'reason': 1, 'brother': 1, 'man': 2}	{'beds': 1, 'home': 1}	{'man': 2}	{'warrior': 1}	{'what': 1, 'good': 2, 'like': 2, 'that': 3, 'hands': 1, 'had': 1, 'better': 1, 'chance': 1, 'twins': 1, 'have': 1, 'swing': 1, 'shared': 1, 'look': 1}	{'hell': 1}	{'hoster': 1, 'whole': 1, 'how': 2, 'home': 1, 'fuckers': 1, 'those': 1}	{'hell': 1, 'fuckers': 1}
