	anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear
0	{}	{}	{}	{}	{}	{}	{}	{}	{}	{}
1	{}	{'stood': 1}	{'smash': 1}	{}	{}	{}	{}	{}	{'titan': 1}	{'titan': 1, 'danger': 1}
2	{}	{}	{'man': 2}	{}	{'man': 2}	{}	{'dohaeris': 1, 'haha': 1, 'thank': 1, 'have': 1}	{}	{'house': 1}	{}
3	{'hello': 1}	{}	{}	{}	{}	{}	{'ghar': 1, 'everywhere': 1, 'have': 2, 'that': 1}	{'hello': 1}	{'else': 2}	{'hello': 1}
4	{}	{'food': 1, 'good': 2}	{'maester': 1, 'many': 1, 'marriage': 1, 'mother': 1}	{'petyr': 1}	{'many': 1, 'lady': 3}	{}	{'has': 1, 'what': 1, 'good': 2, 'have': 2, 'hair': 1, 'beloved': 1, 'ready': 1, 'accepted': 1, 'wings': 1, 'look': 1}	{}	{'thought': 1, 'horses': 1, 'horse': 1, 'beloved': 1}	{}
5	{}	{'gods': 1}	{'woman': 1, 'paid': 1, 'formality': 1, 'mother': 2}	{}	{'mentioned': 1, 'woman': 1, 'lady': 3, 'children': 1, 'men': 3}	{'since': 2}	{'what': 4, 'love': 1, 'like': 1, 'that': 1, 'free': 1, 'charge': 1, 'have': 1, 'happen': 1, 'save': 1, 'shadow': 3, 'happened': 1}	{'since': 2}	{'taste': 1, 'bit': 1, 'who': 1, 'love': 1}	{}
6	{'made': 1, 'wary': 1}	{'podrick': 1, 'somebody': 1, 'wary': 1}	{'king': 1, 'made': 1, 'family': 1, 'explain': 1, 'married': 1, 'experience': 1, 'parts': 1, 'uncle': 1}	{'family': 1}	{'lady': 4}	{'made': 1, 'wary': 1}	{'bowing': 1, 'has': 1, 'have': 3, 'beloved': 1}	{}	{'should': 2, 'shortly': 1, 'beloved': 1, 'choice': 1}	{}
7	{'wary': 1}	{'good': 1, 'podrick': 1, 'wary': 1}	{'maybe': 1, 'mother': 1}	{}	{'boy': 1, 'lady': 4, 'girls': 2}	{'wary': 1}	{'good': 1, 'that': 3}	{}	{'horse': 1, 'those': 1, 'should': 1}	{}
8	{'made': 1, 'hate': 1, 'war': 1}	{'war': 1}	{'sister': 1, 'made': 1, 'family': 1, 'marry': 1, 'son': 1, 'brought': 1, 'smirking': 1, 'make': 1, 'speaking': 1}	{'home': 1, 'highgarden': 1, 'family': 1}	{'boy': 1, 'children': 1, 'child': 1}	{'made': 1, 'war': 1}	{'better': 2, 'what': 2, 'like': 1, 'that': 2, 'has': 2, 'hate': 1}	{}	{'home': 1, 'who': 1, 'whore': 1}	{'danger': 1}
9	{'hate': 1, 'hates': 1}	{'food': 2, 'dies': 1, 'good': 1}	{'looking': 1, 'person': 2, 'sister': 3, 'pardon': 1, 'mother': 2, 'man': 1}	{'gardens': 1}	{'mentioned': 1, 'person': 2, 'man': 1}	{}	{'good': 1, 'that': 3, 'hair': 1, 'have': 1, 'fine': 2, 'grace': 1, 'stokeworth': 1, 'harp': 1, 'what': 3, 'like': 4, 'won': 2, 'hate': 1, 'handed': 1, 'looking': 1, 'definitely': 1, 'agree': 1, 'hates': 1}	{}	{'thought': 1, 'who': 3, 'else': 1}	{}
10	{'fucking': 1, 'made': 1}	{'good': 3, 'return': 2}	{'sister': 1, 'made': 1, 'path': 1, 'fucking': 1, 'marrying': 1, 'married': 1, 'bronn': 1}	{'disturbed': 1}	{'girl': 1, 'yourself': 1}	{'made': 1}	{'better': 2, 'what': 2, 'good': 3, 'love': 1, 'thank': 1, 'have': 1, 'that': 1}	{}	{'fucking': 1, 'chosen': 1, 'love': 1, 'how': 1}	{'fucking': 1}
11	{'unsullied': 1, 'made': 1, 'war': 2}	{'food': 1, 'bury': 1, 'war': 2, 'dead': 1}	{'made': 1, 'brothers': 1, 'pass': 1, 'sisters': 1, 'many': 1, 'brother': 4}	{'gardens': 2}	{'many': 1, 'girl': 1, 'girls': 1}	{'unsullied': 1, 'made': 1, 'war': 2}	{'loved': 1, 'what': 1, 'love': 1, 'that': 4, 'lucky': 1, 'have': 7, 'chair': 1, 'happy': 1}	{}	{'loved': 1, 'love': 1, 'shove': 1, 'how': 2, 'pass': 1, 'whole': 2}	{'pass': 1}
12	{'unsullied': 1}	{'understood': 1}	{'may': 1, 'information': 1, 'sons': 3, 'exercise': 1}	{}	{}	{'unsullied': 1}	{'what': 1, 'haven': 2, 'that': 2, 'harpy': 2, 'hand': 1, 'have': 2, 'has': 1, 'grace': 2}	{}	{'how': 1, 'who': 1, 'whore': 1, 'exercise': 1, 'should': 1}	{}
13	{'lies': 1, 'families': 1, 'mad': 2}	{'blood': 1, 'alive': 1}	{'information': 2, 'family': 1, 'king': 2, 'maybe': 1, 'son': 1, 'sons': 1, 'mad': 2, 'pay': 2, 'kingsguard': 1, 'man': 1}	{'family': 1}	{'men': 2, 'man': 1, 'citizens': 1}	{'lies': 1, 'families': 1, 'mad': 2}	{'knowing': 1, 'what': 4, 'has': 1, 'thank': 1, 'than': 2, 'that': 4, 'perhaps': 1, 'great': 2, 'free': 1, 'harpy': 1, 'better': 2, 'pride': 1, 'grace': 2, 'hope': 1}	{'mercy': 1, 'citizens': 1}	{'how': 2, 'hope': 1, 'show': 1, 'who': 1, 'those': 1, 'should': 1}	{}
14	{'fucking': 1, 'executed': 1, 'mad': 1, 'made': 1}	{'food': 1, 'gods': 1, 'good': 2}	{'king': 1, 'executed': 1, 'fucking': 1, 'except': 1, 'son': 1, 'talking': 1, 'made': 1, 'mad': 1, 'part': 2, 'man': 2}	{'accidentally': 1}	{'man': 2}	{'made': 1, 'mad': 1}	{'good': 2, 'that': 1, 'agreed': 1, 'hand': 1, 'already': 2, 'everywhere': 1, 'have': 1, 'hanging': 1, 'careful': 1, 'grace': 2, 'best': 3, 'like': 1, 'what': 3, 'thank': 1, 'harpy': 1, 'has': 3, 'hope': 1}	{}	{'thought': 1, 'without': 1, 'fucking': 1, 'who': 1, 'hope': 1, 'else': 1}	{'fucking': 1}
15	{'dwarves': 1, 'made': 1}	{'dwarves': 1, 'good': 1}	{'king': 1, 'made': 1, 'managed': 1, 'matter': 1, 'many': 1, 'man': 1}	{}	{'many': 1, 'managed': 1, 'man': 1}	{'dwarves': 1, 'made': 1}	{'great': 1, 'good': 1, 'like': 1, 'liked': 1, 'what': 1, 'won': 1, 'thanks': 1, 'fine': 1, 'grace': 4, 'thank': 3}	{}	{'how': 1, 'showed': 1, 'should': 1}	{}
16	{'war': 1}	{'good': 1, 'return': 1, 'war': 1, 'returned': 1}	{'maester': 2, 'woman': 1, 'son': 1, 'past': 1, 'matters': 1, 'moment': 1, 'uncle': 2, 'imagine': 1, 'commander': 1, 'man': 3, 'king': 9, 'kind': 1, 'capacity': 1, 'many': 1, 'brother': 2, 'experience': 1, 'unparalleled': 1, 'master': 4, 'pay': 1, 'small': 1}	{'puppet': 1}	{'moment': 1, 'himself': 2, 'woman': 1, 'embarassment': 1, 'many': 1, 'man': 3, 'commander': 1}	{'advising': 1, 'war': 1}	{'good': 1, 'that': 3, 'kind': 1, 'wisdom': 1, 'sycophants': 1, 'have': 4, 'hand': 4, 'than': 2, 'behalf': 1, 'respects': 1, 'what': 2, 'like': 1, 'had': 1, 'grace': 6, 'better': 1, 'grand': 2, 'has': 2}	{'advising': 1}	{'embarassment': 1, 'honor': 1, 'honored': 1, 'title': 1, 'assume': 1, 'chooses': 1, 'should': 1}	{'assume': 1, 'embarassment': 1, 'title': 1}
17	{'war': 1}	{'good': 1, 'war': 1, 'died': 1}	{'maester': 1, 'king': 1, 'patient': 1, 'diplomatic': 1, 'brother': 1, 'commander': 1, 'master': 1, 'animal': 1, 'mother': 3, 'sisters': 1}	{}	{'commander': 1}	{'war': 1}	{'what': 5, 'good': 1, 'like': 1, 'that': 5, 'had': 2, 'wonderful': 1, 'looks': 1, 'have': 1, 'has': 1, 'fine': 1, 'happened': 1}	{}	{'how': 3, 'authority': 1}	{}
18	{'executed': 1, 'whatever': 1, 'made': 1}	{'woods': 2}	{'king': 2, 'executed': 1, 'animals': 1, 'mance': 2, 'striking': 1, 'mother': 1, 'matter': 1, 'made': 1, 'treason': 1, 'sisters': 1, 'kindness': 1}	{}	{'girl': 1, 'mance': 2}	{'made': 1}	{'what': 4, 'won': 1, 'like': 2, 'that': 3, 'perhaps': 1, 'had': 1, 'whatever': 1, 'books': 1, 'free': 1, 'have': 1, 'respect': 1, 'especially': 1, 'kindness': 1, 'grace': 2, 'happened': 1}	{'mercy': 2}	{'how': 1, 'should': 1, 'showed': 1, 'show': 2}	{}
19	{'made': 1, 'reward': 1}	{'reward': 1, 'alive': 1}	{'king': 3, 'made': 1, 'make': 1, 'brother': 2, 'commander': 2, 'command': 1, 'expect': 1, 'man': 2}	{}	{'command': 1, 'man': 2, 'child': 1, 'girl': 1, 'men': 1, 'lady': 1, 'commander': 2}	{'unpleasant': 1, 'reward': 1, 'made': 1}	{'what': 2, 'like': 2, 'that': 3, 'win': 1, 'likely': 1, 'free': 1, 'stroke': 1, 'have': 2, 'winterfell': 1, 'grace': 2, 'look': 1}	{}	{'whose': 1, 'how': 1, 'house': 1, 'bit': 1, 'who': 2, 'honor': 1, 'thorne': 2}	{}
20	{}	{}	{'maester': 1, 'king': 1, 'mallister': 2, 'venison': 1, 'man': 1, 'commander': 3}	{'denys': 2}	{'boy': 1, 'commander': 3, 'man': 1}	{'seriously': 1}	{'winterfell': 3, 'tokens': 3, 'what': 1, 'happier': 1, 'like': 1, 'that': 5, 'than': 1, 'better': 1, 'shadow': 1, 'has': 2, 'true': 2, 'winters': 1}	{}	{'choice': 1, 'thorne': 2, 'nobility': 1, 'else': 1}	{}
