anger	death	family	home	humans	insight	negative	percept	positive	social	time
bothering:1				gentlemen:1,lady:3,guy:1,guys:1,boy:1	mean:4,complicated:1,remember:1,know:2,feelings:1	serious:1,hurt:1	butter:1,look:1,seen:1,tongue:1,saw:1,nose:1,feelings:1	good:2,ok:1,thank:1,dear:1,impressions:1,please:2,like:7	boy:1,group:1,give:2,lady:3,hey:6,gentlemen:1,talking:1,somebody:2,guy:1,pal:1,tell:1,guys:1	25
frustrating:1,bothering:1		relatives:1,ma:1,son:3	home:1	baby:1,partner:1,guy:1,guys:3	think:1,know:3,remember:2	lost:1	heard:1,loosen:1	great:1,good:1,ok:1,thank:1,helper:1,well:1,please:1,helping:2,sure:2,silly:1,easy:1,impressions:1,nice:1	help:1,helper:1,son:3,helping:2,heard:1,baby:1,partner:1,guys:3,name:1,ma:1,buddy:1,mention:1,hey:6,their:1,relatives:1,guy:1,bye:1,tell:1	26
	death:1			partner:1,guy:1,boy:1	think:1,know:1		looking:1,see:1,look:4,touch:3,shiny:1,watch:1,red:1	thankful:1,kind:1,sure:1,ok:2,fine:1,trust:3,friends:1	boy:1,hey:3,talking:1,call:1,telling:1,partner:1,guy:1,friends:1,hello:1	27
cheating:1,fight:1	death:1			man:1	question:1,idea:1,think:1		touch:1,look:1,listen:1	careful:2,love:1,ok:1,win:2,fun:1,wins:1,winner:1	love:1,give:1,question:1,us:1,fight:1,game:3,games:1,man:1,listen:1	28
		dad:1		kid:3	meant:1	scared:1,lost:1	looking:2,grabbed:1	wow:1,fine:1,lucky:1,winning:1	dad:1,someone:1,kid:3	29
				kid:2	idea:1		see:2,hear:1,grab:1	great:1,good:1,ok:2,nicely:1,calm:1,careful:1,fine:1,nice:1	hear:1,help:1,talk:1,kid:2	30
		father:1		man:2,mr:2		serious:1	grab:1,saw:1	awesome:1,ok:2,like:3,thrill:1	talking:1,name:1,mr:2,father:1,hey:1,man:2	31
							blue:1,grab:2	ok:1,ready:1,fine:1,wow:1,heh:2,nice:1		32
kill:1	die:1,kill:1	dad:1,son:1		mr:1	find:1,know:6	kill:1	blue:1,sweet:1,see:4,look:1,cool:1	funny:1,liked:1,goodness:1,ready:1,sweet:1,awesome:1,well:1	dad:1,everybody:1,give:1,hey:2,us:1,son:1,their:1,mr:1	33
ferocious:1,mad:1,wicked:1		dad:1,father:1,son:4		guy:1,kids:1,man:1	means:1,finds:1,know:1,mean:1	scares:1,mad:1,wicked:1	light:1,see:4,sounds:1,sharp:1	good:1,ok:1,like:1,well:1,please:2,amazing:1,sure:1,hope:1,nice:1	dad:1,kids:1,father:1,son:4,ask:1,guy:1,tell:1,talk:1,man:1	34
		father:1		boy:1,kid:1	know:1		looking:1,heard:1,say:1,taste:1	brilliant:1,ready:2,ok:2,happy:1	talking:1,boy:1,heard:1,father:1,hey:5,mention:1,say:1,willing:1,kid:1	35
battle:1,battling:1,fighting:1,maniac:1		dad:3,daddy:1,father:1		kids:1,kid:2			looking:1,heard:1,grab:1,loosened:1,speak:1	giving:1,wow:1,good:2,like:1,reward:1	dad:3,kids:1,name:1,talking:1,giving:1,daddy:1,father:1,hey:1,fighting:1,speak:1,heard:1,kid:2,help:1	36
			cleaning:1,clean:1	kid:1,man:1	think:1,find:1,know:2,thoughts:1,remember:1	screaming:1	saying:1,hard:1,watch:1,see:3,say:1,hear:3,screaming:1,speak:1	ready:1,cute:1,great:1,good:2,ok:3	everybody:1,saying:1,buddy:2,give:1,say:1,hear:3,kid:1,man:1,speak:1,help:1	37
				boy:1,man:1	thinking:1,remember:1	worries:2	orange:2,see:1,said:1,look:1	loved:1,play:1,ok:3,thank:1,excellent:1,fun:1,enjoyed:1	loved:1,said:1,boy:1,ya:1,hey:2,game:1,hi:1,everyone:1,bye:3,tell:1,man:1	38
rude:1	die:1	son:1		men:1,mr:1	thinking:1,understand:1,know:1,figure:1,means:3	scary:1,rude:1	orange:1,seen:1,white:1,see:1,say:1	play:2,ok:1,relax:1,smartypants:1,definitely:1,silly:1,trust:1,fine:1	someone:1,somebody:2,give:1,men:1,hey:4,us:1,son:1,excuse:2,say:1,asking:1,mr:1,ask:3,hi:1,hello:2	39
offended:1		son:1		kid:1	think:1,knows:1	upset:1	sound:3,saying:1,look:3,heard:1,see:1,louder:1,sounds:1,speaks:1,speaking:1,speak:1	sure:1,heaven:1,ok:1,like:1,well:1,important:1,thanks:1	saying:1,help:1,give:1,us:2,son:1,speak:1,heard:1,speaks:1,speaking:1,kid:1	40
disgusting:1		dad:1	cleaning:1,clean:3	people:1,kid:1	realize:1	disgusting:1	see:1,said:1,hear:1,look:1,seen:1,tastes:1	love:1,good:1,ok:2,pretty:1,ready:1,yay:1,surprised:1	dad:1,said:1,love:1,people:1,anybody:1,hear:1,hello:1,kid:1	41
		son:1			find:1	wrong:1	speak:2	wow:1,ok:1	help:1,ask:1,tell:1,speak:2,hey:1,son:1	42
